File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/284.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	1h_Avi_WT
Injection Number	65
Position	GC1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	19:32:51
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,596400
Signal Max.	28,321900
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,049950
0,008667	0,5	-0,109500
0,017000	0,5	-0,101700
0,025333	0,5	-0,088500
0,033667	0,5	-0,075650
0,042000	0,5	-0,048350
0,050333	0,5	-0,055900
0,058667	0,5	-0,041650
0,067000	0,5	-0,033300
0,075333	0,5	-0,024200
0,083667	0,5	-0,041900
0,092000	0,5	0,014900
0,100333	0,5	-0,029900
0,108667	0,5	-0,037100
0,117000	0,5	-0,034650
0,125333	0,5	-0,017700
0,133667	0,5	0,029350
0,142000	0,5	0,018300
0,150333	0,5	0,014900
0,158667	0,5	0,004050
0,167000	0,5	-0,000050
0,175333	0,5	-0,008300
0,183667	0,5	-0,000800
0,192000	0,5	-0,008600
0,200333	0,5	-0,004150
0,208667	0,5	-0,011950
0,217000	0,5	-0,004250
0,225333	0,5	-0,026450
0,233667	0,5	-0,021500
0,242000	0,5	0,001150
0,250333	0,5	-0,017300
0,258667	0,5	-0,028350
0,267000	0,5	-0,016800
0,275333	0,5	0,002400
0,283667	0,5	0,035650
0,292000	0,5	0,011150
0,300333	0,5	0,021950
0,308667	0,5	0,080600
0,317000	0,5	0,057150
0,325333	0,5	0,003250
0,333667	0,5	-0,017000
0,342000	0,5	-0,008450
0,350333	0,5	-0,015750
0,358667	0,5	-0,010700
0,367000	0,5	-0,011250
0,375333	0,5	-0,017050
0,383667	0,5	-0,007700
0,392000	0,5	-0,001300
0,400333	0,5	-0,027750
0,408667	0,5	-0,029750
0,417000	0,5	-0,026700
0,425333	0,5	0,010300
0,433667	0,5	0,036150
0,442000	0,5	0,019150
0,450333	0,5	0,014850
0,458667	0,5	0,019250
0,467000	0,5	0,007250
0,475333	0,5	0,002800
0,483667	0,5	0,005100
0,492000	0,5	-0,007650
0,500333	0,5	0,002000
0,508667	0,5	-0,003600
0,517000	0,5	0,003600
0,525333	0,5	-0,015350
0,533667	0,5	0,008200
0,542000	0,5	-0,008850
0,550333	0,5	-0,013550
0,558667	0,5	-0,018700
0,567000	0,5	0,013400
0,575333	0,5	0,044600
0,583667	0,5	0,060900
0,592000	0,5	0,042550
0,600333	0,5	0,048400
0,608667	0,5	0,037050
0,617000	0,5	0,044450
0,625333	0,5	0,040750
0,633667	0,5	0,050200
0,642000	0,5	0,041650
0,650333	0,5	0,037100
0,658667	0,5	0,048000
0,667000	0,5	0,024800
0,675333	0,5	0,029600
0,683667	0,5	0,043500
0,692000	0,5	0,031050
0,700333	0,5	0,027200
0,708667	0,5	0,033350
0,717000	0,5	0,067600
0,725333	0,5	0,106350
0,733667	0,5	0,098500
0,742000	0,5	0,103350
0,750333	0,5	0,095250
0,758667	0,5	0,105400
0,767000	0,5	0,098700
0,775333	0,5	0,099700
0,783667	0,5	0,093350
0,792000	0,5	0,095950
0,800333	0,5	0,096700
0,808667	0,5	0,099900
0,817000	0,5	0,088050
0,825333	0,5	0,117450
0,833667	0,5	0,111100
0,842000	0,5	0,095650
0,850333	0,5	0,101700
0,858667	0,5	0,105650
0,867000	0,5	0,160150
0,875333	0,5	0,171900
0,883667	0,5	0,176350
0,892000	0,5	0,158650
0,900333	0,5	0,163850
0,908667	0,5	0,159800
0,917000	0,5	0,167350
0,925333	0,5	0,163500
0,933667	0,5	0,170800
0,942000	0,5	0,163300
0,950333	0,5	0,173550
0,958667	0,5	0,170700
0,967000	0,5	0,173200
0,975333	0,5	0,204400
0,983667	0,5	0,190250
0,992000	0,5	0,174900
1,000333	0,5	0,186250
1,008667	0,5	0,196050
1,017000	0,5	0,232350
1,025333	0,5	0,239750
1,033667	0,5	0,232950
1,042000	0,5	0,235400
1,050333	0,5	0,230500
1,058667	0,5	0,238150
1,067000	0,5	0,237300
1,075333	0,5	0,247700
1,083667	0,5	0,237600
1,092000	0,5	0,251200
1,100333	0,5	0,251550
1,108667	0,5	0,267900
