File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/607.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	1h_PASC_WT
Injection Number	66
Position	GC2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	20:01:37
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,410950
Signal Max.	46,646251
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,057650
0,008500	0,5	-0,061650
0,016833	0,5	-0,057300
0,025167	0,5	-0,056750
0,033500	0,5	-0,062650
0,041833	0,5	-0,035750
0,050167	0,5	0,004300
0,058500	0,5	0,031250
0,066833	0,5	0,008050
0,075167	0,5	0,016900
0,083500	0,5	0,011100
0,091833	0,5	0,015550
0,100167	0,5	0,011700
0,108500	0,5	0,030200
0,116833	0,5	0,023650
0,125167	0,5	0,014600
0,133500	0,5	0,019450
0,141833	0,5	0,019400
0,150167	0,5	0,009450
0,158500	0,5	0,055750
0,166833	0,5	0,025950
0,175167	0,5	0,018600
0,183500	0,5	0,013200
0,191833	0,5	0,023100
0,200167	0,5	0,074950
0,208500	0,5	0,067850
0,216833	0,5	0,062150
0,225167	0,5	0,044500
0,233500	0,5	0,055050
0,241833	0,5	0,034150
0,250167	0,5	0,043900
0,258500	0,5	0,034100
0,266833	0,5	0,027550
0,275167	0,5	0,031600
0,283500	0,5	0,038900
0,291833	0,5	0,069800
0,300167	0,5	0,095650
0,308500	0,5	0,165700
0,316833	0,5	0,104700
0,325167	0,5	0,038700
0,333500	0,5	0,019250
0,341833	0,5	0,025250
0,350167	0,5	0,065050
0,358500	0,5	0,058750
0,366833	0,5	0,046600
0,375167	0,5	0,052550
0,383500	0,5	0,041600
0,391833	0,5	0,039600
0,400167	0,5	0,032250
0,408500	0,5	0,036700
0,416833	0,5	0,029550
0,425167	0,5	0,038400
0,433500	0,5	0,036700
0,441833	0,5	0,033500
0,450167	0,5	0,021850
0,458500	0,5	0,038800
0,466833	0,5	0,007750
0,475167	0,5	0,017650
0,483500	0,5	0,013050
0,491833	0,5	0,043450
0,500167	0,5	0,075400
0,508500	0,5	0,049100
0,516833	0,5	0,056650
0,525167	0,5	0,055750
0,533500	0,5	0,046850
0,541833	0,5	0,040700
0,550167	0,5	0,047800
0,558500	0,5	0,032800
0,566833	0,5	0,032550
0,575167	0,5	0,027150
0,583500	0,5	0,026000
0,591833	0,5	0,015700
0,600167	0,5	0,043750
0,608500	0,5	0,021500
0,616833	0,5	0,015650
0,625167	0,5	0,021150
0,633500	0,5	0,037450
0,641833	0,5	0,067750
0,650167	0,5	0,088050
0,658500	0,5	0,078400
0,666833	0,5	0,074950
0,675167	0,5	0,065350
0,683500	0,5	0,054500
0,691833	0,5	0,053400
0,700167	0,5	0,051200
0,708500	0,5	0,053400
0,716833	0,5	0,043200
0,725167	0,5	0,064850
0,733500	0,5	0,048150
0,741833	0,5	0,059600
0,750167	0,5	0,065950
0,758500	0,5	0,055700
0,766833	0,5	0,043500
0,775167	0,5	0,060100
0,783500	0,5	0,073100
0,791833	0,5	0,105750
0,800167	0,5	0,105650
0,808500	0,5	0,106250
0,816833	0,5	0,099300
0,825167	0,5	0,109850
0,833500	0,5	0,102600
0,841833	0,5	0,102400
0,850167	0,5	0,105500
0,858500	0,5	0,096850
0,866833	0,5	0,106600
0,875167	0,5	0,107550
0,883500	0,5	0,116500
0,891833	0,5	0,131550
0,900167	0,5	0,139300
0,908500	0,5	0,111600
0,916833	0,5	0,111550
0,925167	0,5	0,118100
0,933500	0,5	0,169100
0,941833	0,5	0,175150
0,950167	0,5	0,169000
0,958500	0,5	0,152850
0,966833	0,5	0,169700
0,975167	0,5	0,162450
0,983500	0,5	0,167900
0,991833	0,5	0,163300
1,000167	0,5	0,161500
1,008500	0,5	0,159050
1,016833	0,5	0,175350
1,025167	0,5	0,191850
1,033500	0,5	0,174950
1,041833	0,5	0,210450
1,050167	0,5	0,191950
1,058500	0,5	0,183000
1,066833	0,5	0,173950
1,075167	0,5	0,194450
1,083500	0,5	0,231850
1,091833	0,5	0,245350
1,100167	0,5	0,222500
1,108500	0,5	0,241050
1,116833	0,5	0,237150
1,125167	0,5	0,245200
1,133500	0,5	0,251700
1,141833	0,5	0,262950
1,150167	0,5	0,255250
1,158500	0,5	0,256000
1,166833	0,5	0,265750
1,175167	0,5	0,262500
1,183500	0,5	0,248150
1,191833	0,5	0,298550
1,200167	0,5	0,271050
1,208500	0,5	0,273750
1,216833	0,5	0,281800
1,225167	0,5	0,303000
1,233500	0,5	0,362800
1,241833	0,5	0,341900
1,250167	0,5	0,341350
1,258500	0,5	0,340950
1,266833	0,5	0,350150
1,275167	0,5	0,342700
1,283500	0,5	0,358950
1,291833	0,5	0,356700
1,300167	0,5	0,366700
1,308500	0,5	0,374650
1,316833	0,5	0,390750
1,325167	0,5	0,399450
1,333500	0,5	0,406350
1,341833	0,5	0,433450
1,350167	0,5	0,409950
1,358500	0,5	0,414450
1,366833	0,5	0,422450
1,375167	0,5	0,451050
1,383500	0,5	0,492450
1,391833	0,5	0,497250
1,400167	0,5	0,496050
1,408500	0,5	0,504800
1,416833	0,5	0,507300
1,425167	0,5	0,519600
1,433500	0,5	0,526600
1,441833	0,5	0,541400
1,450167	0,5	0,532350
1,458500	0,5	0,556850
1,466833	0,5	0,564900
1,475167	0,5	0,582750
1,483500	0,5	0,589900
1,491833	0,5	0,599650
1,500167	0,5	0,588550
1,508500	0,5	0,599950
1,516833	0,5	0,611900
1,525167	0,5	0,648750
1,533500	0,5	0,677700
1,541833	0,5	0,677950
1,550167	0,5	0,685250
1,558500	0,5	0,694750
1,566833	0,5	0,694050
1,575167	0,5	0,608150
1,583500	0,5	0,107800
1,591833	0,5	-1,026900
1,600167	0,5	-1,678550
1,608500	0,5	-0,516150
1,616833	0,5	1,677450
1,625167	0,5	3,708150
1,633500	0,5	5,741150
1,641833	0,5	7,567450
1,650167	0,5	8,569650
1,658500	0,5	8,559050
1,666833	0,5	7,990200
1,675167	0,5	7,282950
1,683500	0,5	6,597650
1,691833	0,5	5,996000
1,700167	0,5	5,626850
1,708500	0,5	5,677650
1,716833	0,5	6,658300
1,725167	0,5	8,660550
1,733500	0,5	10,331600
1,741833	0,5	10,130500
1,750167	0,5	8,470950
1,758500	0,5	6,718600
1,766833	0,5	5,441650
1,775167	0,5	5,445450
1,783500	0,5	4,580500
1,791833	0,5	5,108000
1,800167	0,5	6,219400
1,808500	0,5	7,388400
1,816833	0,5	8,187300
1,825167	0,5	8,388750
1,833500	0,5	7,879350
1,841833	0,5	7,063850
1,850167	0,5	6,290500
1,858500	0,5	5,692800
1,866833	0,5	5,206150
1,875167	0,5	4,850950
1,883500	0,5	4,562300
1,891833	0,5	4,309700
1,900167	0,5	4,093400
1,908500	0,5	3,890800
1,916833	0,5	3,727450
1,925167	0,5	3,621200
1,933500	0,5	3,500750
1,941833	0,5	3,388850
1,950167	0,5	3,313850
1,958500	0,5	3,255350
1,966833	0,5	3,236650
1,975167	0,5	3,203000
1,983500	0,5	3,199300
1,991833	0,5	3,194350
2,000167	0,5	3,245050
2,008500	0,5	3,317500
2,016833	0,5	3,488300
2,025167	0,5	3,812250
2,033500	0,5	4,476000
2,041833	0,5	5,487150
2,050167	0,5	6,753100
2,058500	0,5	8,614450
2,066833	0,5	12,117500
2,075167	0,5	17,615100
2,083500	0,5	23,148050
2,091833	0,5	26,662550
2,100167	0,5	27,866950
2,108500	0,5	27,647400
2,116833	0,5	26,837950
2,125167	0,5	25,852650
2,133500	0,5	24,889400
2,141833	0,5	23,984750
2,150167	0,5	23,045000
2,158500	0,5	22,146450
2,166833	0,5	21,283550
2,175167	0,5	20,412050
2,183500	0,5	19,526550
2,191833	0,5	18,733850
2,200167	0,5	18,015150
2,208500	0,5	17,360150
2,216833	0,5	16,755500
2,225167	0,5	16,279700
2,233500	0,5	15,807300
2,241833	0,5	15,426350
2,250167	0,5	15,074600
2,258500	0,5	14,774450
2,266833	0,5	14,528200
2,275167	0,5	14,242650
2,283500	0,5	14,006850
2,291833	0,5	13,798200
2,300167	0,5	13,613600
2,308500	0,5	13,433450
2,316833	0,5	13,284900
2,325167	0,5	13,137650
2,333500	0,5	13,012700
2,341833	0,5	12,908000
2,350167	0,5	12,834750
2,358500	0,5	12,755650
2,366833	0,5	12,712700
2,375167	0,5	12,684900
2,383500	0,5	12,645400
2,391833	0,5	12,632750
2,400167	0,5	12,666450
2,408500	0,5	12,751450
2,416833	0,5	12,877550
2,425167	0,5	12,942900
2,433500	0,5	12,888750
2,441833	0,5	12,704600
2,450167	0,5	12,527650
2,458500	0,5	12,444300
2,466833	0,5	12,439000
2,475167	0,5	12,432600
2,483500	0,5	12,415600
2,491833	0,5	12,395800
2,500167	0,5	12,374400
2,508500	0,5	12,335000
2,516833	0,5	12,306050
2,525167	0,5	12,256150
2,533500	0,5	12,191850
2,541833	0,5	12,148750
2,550167	0,5	12,122500
2,558500	0,5	12,132800
2,566833	0,5	12,156050
2,575167	0,5	12,197100
2,583500	0,5	12,327300
2,591833	0,5	12,620900
2,600167	0,5	13,119650
2,608500	0,5	13,870850
2,616833	0,5	14,796000
2,625167	0,5	15,746300
2,633500	0,5	16,568750
2,641833	0,5	17,166400
2,650167	0,5	17,472000
2,658500	0,5	17,431950
2,666833	0,5	17,141300
2,675167	0,5	16,680300
2,683500	0,5	16,251150
2,691833	0,5	15,960200
2,700167	0,5	15,905250
2,708500	0,5	16,155050
2,716833	0,5	16,777050
2,725167	0,5	17,936350
2,733500	0,5	20,040750
2,741833	0,5	23,508850
2,750167	0,5	28,640250
2,758500	0,5	34,982401
2,766833	0,5	41,142601
2,775167	0,5	45,377351
2,783500	0,5	46,646251
2,791833	0,5	44,975801
2,800167	0,5	41,196251
2,808500	0,5	36,529601
2,816833	0,5	31,959100
2,825167	0,5	28,069150
2,833500	0,5	25,129050
2,841833	0,5	23,157350
