File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/714.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank
Injection Number	1
Position	RA1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_Start after eluent change_50min_ED1
Type	Blank
Status	Finished
Injection Date	27.04.2022
Injection Time	11:45:34
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	45,000333
Data Points	5401
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-40,110901
Signal Max.	-2,491450
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-2,491450
0,008667	0,5	-6,201000
0,017000	0,5	-9,440900
0,025333	0,5	-12,140600
0,033667	0,5	-14,385000
0,042000	0,5	-16,299450
0,050333	0,5	-17,982300
0,058667	0,5	-19,434850
0,067000	0,5	-20,716800
0,075333	0,5	-21,846200
0,083667	0,5	-22,870350
0,092000	0,5	-23,767050
0,100333	0,5	-24,597100
0,108667	0,5	-25,331750
0,117000	0,5	-26,002400
0,125333	0,5	-26,628350
0,133667	0,5	-27,202100
0,142000	0,5	-27,676300
0,150333	0,5	-28,163900
0,158667	0,5	-28,611300
0,167000	0,5	-29,006950
0,175333	0,5	-29,369250
0,183667	0,5	-29,663100
0,192000	0,5	-29,985150
0,200333	0,5	-30,285150
0,208667	0,5	-30,573400
0,217000	0,5	-30,821750
0,225333	0,5	-31,075900
0,233667	0,5	-31,294350
0,242000	0,5	-31,516250
0,250333	0,5	-31,713550
0,258667	0,5	-31,904950
0,267000	0,5	-32,076450
0,275333	0,5	-32,266350
0,283667	0,5	-32,424400
0,292000	0,5	-32,545100
0,300333	0,5	-32,705900
0,308667	0,5	-32,849750
0,317000	0,5	-32,961250
0,325333	0,5	-33,058750
0,333667	0,5	-33,125150
0,342000	0,5	-33,249950
0,350333	0,5	-33,375300
0,358667	0,5	-33,467350
0,367000	0,5	-33,560101
0,375333	0,5	-33,648701
0,383667	0,5	-33,729851
0,392000	0,5	-33,803351
0,400333	0,5	-33,900351
0,408667	0,5	-33,966351
0,417000	0,5	-34,023751
0,425333	0,5	-34,095001
0,433667	0,5	-34,167351
0,442000	0,5	-34,206751
0,450333	0,5	-34,298001
0,458667	0,5	-34,359601
0,467000	0,5	-34,412801
0,475333	0,5	-34,435501
0,483667	0,5	-34,457501
0,492000	0,5	-34,533851
0,500333	0,5	-34,590751
0,508667	0,5	-34,624051
0,517000	0,5	-34,663301
0,525333	0,5	-34,708251
0,533667	0,5	-34,743451
0,542000	0,5	-34,794951
0,550333	0,5	-34,835551
0,558667	0,5	-34,879601
0,567000	0,5	-34,912051
0,575333	0,5	-34,972601
0,583667	0,5	-34,985401
0,592000	0,5	-35,030051
0,600333	0,5	-35,072451
0,608667	0,5	-35,106951
0,617000	0,5	-35,104201
0,625333	0,5	-35,102401
0,633667	0,5	-35,122001
0,642000	0,5	-35,184101
0,650333	0,5	-35,211801
0,658667	0,5	-35,240751
0,667000	0,5	-35,261951
0,675333	0,5	-35,292551
0,683667	0,5	-35,316951
0,692000	0,5	-35,346401
