File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/554.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Blank
Injection Number	11
Position	RA6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Blank
Status	Finished
Injection Date	27.04.2022
Injection Time	17:38:44
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-3,359850
Signal Max.	6,164350
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,069750
0,008500	0,5	0,096900
0,016833	0,5	0,131300
0,025167	0,5	0,159600
0,033500	0,5	0,191050
0,041833	0,5	0,220950
0,050167	0,5	0,257850
0,058500	0,5	0,277800
0,066833	0,5	0,360250
0,075167	0,5	0,343250
0,083500	0,5	0,376150
0,091833	0,5	0,399500
0,100167	0,5	0,444400
0,108500	0,5	0,539300
0,116833	0,5	0,532850
0,125167	0,5	0,555300
0,133500	0,5	0,578250
0,141833	0,5	0,609500
0,150167	0,5	0,627950
0,158500	0,5	0,649100
0,166833	0,5	0,672650
0,175167	0,5	0,695650
0,183500	0,5	0,725650
0,191833	0,5	0,759750
0,200167	0,5	0,765400
0,208500	0,5	0,785550
0,216833	0,5	0,842200
0,225167	0,5	0,838700
0,233500	0,5	0,854900
0,241833	0,5	0,880550
0,250167	0,5	0,921200
0,258500	0,5	1,014400
0,266833	0,5	0,967750
0,275167	0,5	0,987850
0,283500	0,5	1,017350
0,291833	0,5	1,046700
0,300167	0,5	1,048450
0,308500	0,5	1,068300
0,316833	0,5	1,095350
0,325167	0,5	1,105400
0,333500	0,5	1,135750
0,341833	0,5	1,155350
0,350167	0,5	1,171050
0,358500	0,5	1,196400
0,366833	0,5	1,222300
0,375167	0,5	1,216000
0,383500	0,5	1,239500
0,391833	0,5	1,255750
0,400167	0,5	1,319000
0,408500	0,5	1,366950
0,416833	0,5	1,372050
0,425167	0,5	1,358350
0,433500	0,5	1,392650
0,441833	0,5	1,384500
0,450167	0,5	1,414200
0,458500	0,5	1,415100
0,466833	0,5	1,435850
0,475167	0,5	1,446350
0,483500	0,5	1,470850
0,491833	0,5	1,486800
0,500167	0,5	1,480200
0,508500	0,5	1,518300
0,516833	0,5	1,517100
0,525167	0,5	1,521150
0,533500	0,5	1,537800
0,541833	0,5	1,571750
0,550167	0,5	1,636500
0,558500	0,5	1,676400
0,566833	0,5	1,647650
0,575167	0,5	1,672750
0,583500	0,5	1,669900
0,591833	0,5	1,682900
0,600167	0,5	1,672900
0,608500	0,5	1,720700
0,616833	0,5	1,706750
0,625167	0,5	1,720050
0,633500	0,5	1,731200
0,641833	0,5	1,728400
0,650167	0,5	1,728550
0,658500	0,5	1,781600
0,666833	0,5	1,762450
0,675167	0,5	1,770200
0,683500	0,5	1,782150
0,691833	0,5	1,818900
0,700167	0,5	1,898450
0,708500	0,5	1,911500
0,716833	0,5	1,909350
0,725167	0,5	1,898900
0,733500	0,5	1,919850
0,741833	0,5	1,911050
0,750167	0,5	1,929250
0,758500	0,5	1,924200
0,766833	0,5	1,932600
0,775167	0,5	1,941650
0,783500	0,5	1,953150
0,791833	0,5	1,947000
0,800167	0,5	1,990050
0,808500	0,5	2,000300
0,816833	0,5	1,980650
0,825167	0,5	1,981150
0,833500	0,5	1,998000
0,841833	0,5	2,052650
0,850167	0,5	2,108950
0,858500	0,5	2,106200
0,866833	0,5	2,088850
0,875167	0,5	2,103800
0,883500	0,5	2,090700
0,891833	0,5	2,101600
0,900167	0,5	2,121050
0,908500	0,5	2,133600
0,916833	0,5	2,120350
0,925167	0,5	2,140350
0,933500	0,5	2,141500
0,941833	0,5	2,150600
0,950167	0,5	2,207850
0,958500	0,5	2,180700
0,966833	0,5	2,165300
0,975167	0,5	2,183900
0,983500	0,5	2,188150
0,991833	0,5	2,278600
1,000167	0,5	2,292550
1,008500	0,5	2,262150
1,016833	0,5	2,261400
1,025167	0,5	2,273650
1,033500	0,5	2,269650
1,041833	0,5	2,280850
1,050167	0,5	2,289450
1,058500	0,5	2,285950
1,066833	0,5	2,294500
1,075167	0,5	2,301050
1,083500	0,5	2,330650
1,091833	0,5	2,320200
1,100167	0,5	2,424000
1,108500	0,5	2,343850
1,116833	0,5	2,338200
1,125167	0,5	2,342450
1,133500	0,5	2,371800
1,141833	0,5	2,443550
1,150167	0,5	2,407750
1,158500	0,5	2,394700
1,166833	0,5	2,408750
1,175167	0,5	2,415050
1,183500	0,5	2,422600
1,191833	0,5	2,439050
1,200167	0,5	2,448150
1,208500	0,5	2,445300
1,216833	0,5	2,450300
1,225167	0,5	2,478400
1,233500	0,5	2,458150
1,241833	0,5	2,476650
1,250167	0,5	2,502900
1,258500	0,5	2,481800
1,266833	0,5	2,478200
1,275167	0,5	2,503300
1,283500	0,5	2,536050
1,291833	0,5	2,631500
1,300167	0,5	2,560050
1,308500	0,5	2,577750
1,316833	0,5	2,579100
1,325167	0,5	2,595150
1,333500	0,5	2,585500
1,341833	0,5	2,606950
1,350167	0,5	2,602950
1,358500	0,5	2,597650
1,366833	0,5	2,612450
1,375167	0,5	2,618750
1,383500	0,5	2,607750
1,391833	0,5	2,657400
1,400167	0,5	2,642200
1,408500	0,5	2,626050
1,416833	0,5	2,631900
1,425167	0,5	2,656800
1,433500	0,5	2,727300
1,441833	0,5	2,744450
1,450167	0,5	2,733900
1,458500	0,5	2,713600
1,466833	0,5	2,743500
1,475167	0,5	2,723550
1,483500	0,5	2,736800
1,491833	0,5	2,744350
1,500167	0,5	2,748500
1,508500	0,5	2,741900
1,516833	0,5	2,758250
1,525167	0,5	2,769800
1,533500	0,5	2,762300
1,541833	0,5	2,796700
1,550167	0,5	2,766700
1,558500	0,5	2,758650
1,566833	0,5	2,761500
1,575167	0,5	2,791150
1,583500	0,5	2,863900
1,591833	0,5	2,892800
