File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/202.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_2a
Injection Number	38
Position	RD6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	06:35:41
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,674750
Signal Max.	769,958361
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,091850
0,008500	0,5	-0,088800
0,016833	0,5	-0,080300
0,025167	0,5	-0,071850
0,033500	0,5	-0,040050
0,041833	0,5	-0,066500
0,050167	0,5	-0,067350
0,058500	0,5	-0,037650
0,066833	0,5	-0,048150
0,075167	0,5	-0,063000
0,083500	0,5	-0,052650
0,091833	0,5	-0,028650
0,100167	0,5	0,021400
0,108500	0,5	0,036700
0,116833	0,5	0,037200
0,125167	0,5	0,020100
0,133500	0,5	0,022750
0,141833	0,5	0,006750
0,150167	0,5	0,009600
0,158500	0,5	0,004850
0,166833	0,5	-0,004500
0,175167	0,5	-0,001500
0,183500	0,5	0,004700
0,191833	0,5	-0,018800
0,200167	0,5	-0,018800
0,208500	0,5	0,000750
0,216833	0,5	-0,017250
0,225167	0,5	-0,021350
0,233500	0,5	-0,024450
0,241833	0,5	0,006600
0,250167	0,5	0,026150
0,258500	0,5	0,039350
0,266833	0,5	0,014000
0,275167	0,5	0,030750
0,283500	0,5	0,011950
0,291833	0,5	0,017200
0,300167	0,5	0,057650
0,308500	0,5	0,082600
0,316833	0,5	0,022750
0,325167	0,5	-0,005300
0,333500	0,5	-0,015200
0,341833	0,5	-0,027450
0,350167	0,5	-0,020400
0,358500	0,5	-0,012050
0,366833	0,5	-0,031800
0,375167	0,5	-0,033600
0,383500	0,5	-0,028500
0,391833	0,5	0,008550
0,400167	0,5	0,028150
0,408500	0,5	0,016100
0,416833	0,5	0,026350
0,425167	0,5	0,015650
0,433500	0,5	0,014000
0,441833	0,5	-0,003500
0,450167	0,5	0,001350
0,458500	0,5	-0,005200
0,466833	0,5	-0,000800
0,475167	0,5	-0,002050
0,483500	0,5	-0,013300
0,491833	0,5	-0,038750
0,500167	0,5	-0,008650
0,508500	0,5	-0,020150
0,516833	0,5	-0,023050
0,525167	0,5	-0,022000
0,533500	0,5	-0,016650
0,541833	0,5	0,035000
0,550167	0,5	0,025600
0,558500	0,5	0,019900
0,566833	0,5	0,014550
0,575167	0,5	0,013100
0,583500	0,5	0,008200
0,591833	0,5	0,014000
0,600167	0,5	0,012150
0,608500	0,5	0,018750
0,616833	0,5	0,018500
0,625167	0,5	0,030750
0,633500	0,5	0,003250
0,641833	0,5	0,002900
0,650167	0,5	0,024700
