File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/827.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_2b
Injection Number	44
Position	RE4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	09:28:18
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,040900
Signal Max.	584,780759
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,120650
0,008667	0,5	-0,114500
0,017000	0,5	-0,103800
0,025333	0,5	-0,086450
0,033667	0,5	-0,077900
0,042000	0,5	-0,073100
0,050333	0,5	-0,041400
0,058667	0,5	-0,047250
0,067000	0,5	-0,055700
0,075333	0,5	-0,025550
0,083667	0,5	-0,042800
0,092000	0,5	-0,068350
0,100333	0,5	-0,055300
0,108667	0,5	-0,052950
0,117000	0,5	-0,006050
0,125333	0,5	-0,016050
0,133667	0,5	-0,015900
0,142000	0,5	-0,025150
0,150333	0,5	-0,005050
0,158667	0,5	-0,024950
0,167000	0,5	-0,023050
0,175333	0,5	-0,028350
0,183667	0,5	-0,034300
0,192000	0,5	-0,038950
0,200333	0,5	-0,040950
0,208667	0,5	-0,035700
0,217000	0,5	-0,044600
0,225333	0,5	-0,001000
0,233667	0,5	-0,037900
0,242000	0,5	-0,046950
0,250333	0,5	-0,042900
0,258667	0,5	-0,029250
0,267000	0,5	0,004850
0,275333	0,5	-0,001250
0,283667	0,5	-0,026000
0,292000	0,5	-0,009200
0,300333	0,5	0,029500
0,308667	0,5	0,034850
0,317000	0,5	-0,029700
0,325333	0,5	-0,046600
0,333667	0,5	-0,050700
0,342000	0,5	-0,048100
0,350333	0,5	-0,031850
0,358667	0,5	-0,045300
0,367000	0,5	-0,059000
0,375333	0,5	-0,037050
0,383667	0,5	-0,055800
0,392000	0,5	-0,065050
0,400333	0,5	-0,056900
0,408667	0,5	-0,044850
0,417000	0,5	-0,001200
0,425333	0,5	-0,035800
0,433667	0,5	-0,033450
0,442000	0,5	-0,042050
0,450333	0,5	-0,030350
0,458667	0,5	-0,041000
0,467000	0,5	-0,031750
0,475333	0,5	-0,042750
0,483667	0,5	-0,039300
0,492000	0,5	-0,049850
0,500333	0,5	-0,038450
0,508667	0,5	-0,063050
0,517000	0,5	-0,043450
0,525333	0,5	-0,048050
0,533667	0,5	-0,061900
0,542000	0,5	-0,067750
0,550333	0,5	-0,039550
0,558667	0,5	-0,014000
0,567000	0,5	0,003300
0,575333	0,5	-0,009800
0,583667	0,5	-0,018300
0,592000	0,5	-0,007850
0,600333	0,5	-0,016850
0,608667	0,5	-0,018500
0,617000	0,5	-0,019000
0,625333	0,5	-0,018800
0,633667	0,5	-0,019250
0,642000	0,5	-0,010100
0,650333	0,5	-0,006450
0,658667	0,5	-0,008850
0,667000	0,5	0,006450
0,675333	0,5	-0,006350
0,683667	0,5	-0,024200
0,692000	0,5	-0,024150
0,700333	0,5	-0,011250
0,708667	0,5	0,028950
0,717000	0,5	0,045950
0,725333	0,5	0,031750
0,733667	0,5	0,024950
0,742000	0,5	0,023100
0,750333	0,5	0,023800
0,758667	0,5	0,026050
0,767000	0,5	0,028100
0,775333	0,5	0,016850
0,783667	0,5	0,023650
0,792000	0,5	0,022400
0,800333	0,5	0,042800
0,808667	0,5	0,036950
0,817000	0,5	0,055300
0,825333	0,5	0,027800
0,833667	0,5	0,028450
0,842000	0,5	0,023650
0,850333	0,5	0,062200
0,858667	0,5	0,085700
0,867000	0,5	0,090350
0,875333	0,5	0,078750
0,883667	0,5	0,087650
0,892000	0,5	0,073500
0,900333	0,5	0,081000
0,908667	0,5	0,080400
0,917000	0,5	0,081400
0,925333	0,5	0,077400
0,933667	0,5	0,075650
0,942000	0,5	0,085800
0,950333	0,5	0,084250
0,958667	0,5	0,112450
0,967000	0,5	0,102650
0,975333	0,5	0,086250
0,983667	0,5	0,080950
0,992000	0,5	0,094100
1,000333	0,5	0,129750
1,008667	0,5	0,159150
1,017000	0,5	0,139650
1,025333	0,5	0,142000
1,033667	0,5	0,131400
1,042000	0,5	0,137500
1,050333	0,5	0,137150
1,058667	0,5	0,146250
1,067000	0,5	0,142700
1,075333	0,5	0,143450
1,083667	0,5	0,153800
1,092000	0,5	0,143650
1,100333	0,5	0,133300
1,108667	0,5	0,165450
1,117000	0,5	0,154050
1,125333	0,5	0,141550
1,133667	0,5	0,150800
1,142000	0,5	0,160750
1,150333	0,5	0,218800
1,158667	0,5	0,212800
1,167000	0,5	0,210500
1,175333	0,5	0,200900
1,183667	0,5	0,221850
1,192000	0,5	0,214350
1,200333	0,5	0,229450
1,208667	0,5	0,228650
1,217000	0,5	0,226100
1,225333	0,5	0,227400
1,233667	0,5	0,239100
1,242000	0,5	0,243300
1,250333	0,5	0,256050
1,258667	0,5	0,275750
1,267000	0,5	0,259950
1,275333	0,5	0,258600
1,283667	0,5	0,271650
1,292000	0,5	0,289500
1,300333	0,5	0,330150
1,308667	0,5	0,331800
1,317000	0,5	0,320900
1,325333	0,5	0,332150
1,333667	0,5	0,336000
1,342000	0,5	0,345900
1,350333	0,5	0,346150
1,358667	0,5	0,357900
1,367000	0,5	0,356050
1,375333	0,5	0,373200
1,383667	0,5	0,386550
1,392000	0,5	0,377450
1,400333	0,5	0,382850
1,408667	0,5	0,408700
1,417000	0,5	0,398750
1,425333	0,5	0,402350
1,433667	0,5	0,418750
1,442000	0,5	0,452550
1,450333	0,5	0,488700
1,458667	0,5	0,464750
1,467000	0,5	0,468700
1,475333	0,5	0,479000
1,483667	0,5	0,492050
1,492000	0,5	0,493900
1,500333	0,5	0,505000
1,508667	0,5	0,505850
1,517000	0,5	0,514450
1,525333	0,5	0,519050
1,533667	0,5	0,518900
1,542000	0,5	0,497050
1,550333	0,5	0,539500
1,558667	0,5	0,508600
1,567000	0,5	0,405500
1,575333	0,5	-0,005500
1,583667	0,5	-0,978450
1,592000	0,5	-1,874250
1,600333	0,5	-1,313000
1,608667	0,5	0,961050
1,617000	0,5	3,840500
1,625333	0,5	7,447050
1,633667	0,5	11,863400
1,642000	0,5	15,487300
1,650333	0,5	16,657800
1,658667	0,5	15,689950
1,667000	0,5	13,942200
1,675333	0,5	12,246000
1,683667	0,5	10,757450
1,692000	0,5	9,491500
1,700333	0,5	8,431700
1,708667	0,5	7,545300
1,717000	0,5	6,893900
1,725333	0,5	6,433650
1,733667	0,5	5,983400
1,742000	0,5	5,461100
1,750333	0,5	4,888600
1,758667	0,5	4,417200
1,767000	0,5	4,126950
1,775333	0,5	4,081900
1,783667	0,5	4,306200
1,792000	0,5	4,765100
1,800333	0,5	5,203300
1,808667	0,5	5,346250
1,817000	0,5	5,206000
1,825333	0,5	4,930400
1,833667	0,5	4,640550
1,842000	0,5	4,337150
1,850333	0,5	4,058200
1,858667	0,5	3,758900
1,867000	0,5	3,519800
1,875333	0,5	3,316350
1,883667	0,5	3,161700
1,892000	0,5	3,023200
1,900333	0,5	2,879350
1,908667	0,5	2,729050
1,917000	0,5	2,611300
1,925333	0,5	2,511950
1,933667	0,5	2,495150
1,942000	0,5	2,576450
1,950333	0,5	2,707350
1,958667	0,5	2,751500
1,967000	0,5	2,730200
1,975333	0,5	2,897650
1,983667	0,5	3,704200
1,992000	0,5	5,928750
2,000333	0,5	10,556850
2,008667	0,5	19,061200
2,017000	0,5	38,933101
2,025333	0,5	76,865651
2,033667	0,5	123,249802
2,042000	0,5	147,898502
2,050333	0,5	136,083552
2,058667	0,5	106,257952
2,067000	0,5	79,767201
2,075333	0,5	62,222151
2,083667	0,5	50,895801
2,092000	0,5	43,111451
2,100333	0,5	37,441851
2,108667	0,5	33,214200
2,117000	0,5	30,007000
2,125333	0,5	27,555100
2,133667	0,5	25,728450
2,142000	0,5	24,444150
2,150333	0,5	23,562950
2,158667	0,5	23,035250
2,167000	0,5	22,541000
2,175333	0,5	21,782600
2,183667	0,5	20,906550
2,192000	0,5	20,074750
2,200333	0,5	19,442350
2,208667	0,5	18,953800
2,217000	0,5	18,590250
2,225333	0,5	18,288550
2,233667	0,5	18,094350
2,242000	0,5	17,945250
2,250333	0,5	17,847750
2,258667	0,5	17,780000
2,267000	0,5	17,757000
2,275333	0,5	17,743100
2,283667	0,5	17,758000
2,292000	0,5	17,751050
2,300333	0,5	17,704100
2,308667	0,5	17,663700
2,317000	0,5	17,660350
2,325333	0,5	17,694050
2,333667	0,5	17,740500
2,342000	0,5	17,758850
2,350333	0,5	17,762950
2,358667	0,5	17,785100
2,367000	0,5	17,809500
2,375333	0,5	17,859150
2,383667	0,5	17,912250
2,392000	0,5	17,987400
2,400333	0,5	17,988300
2,408667	0,5	18,149850
2,417000	0,5	18,254350
2,425333	0,5	18,379100
2,433667	0,5	18,538650
2,442000	0,5	18,681100
2,450333	0,5	18,736750
2,458667	0,5	18,724350
2,467000	0,5	18,643300
2,475333	0,5	18,560150
2,483667	0,5	18,486350
2,492000	0,5	18,406050
2,500333	0,5	18,347400
2,508667	0,5	18,293650
2,517000	0,5	18,235700
2,525333	0,5	18,178450
2,533667	0,5	18,123150
2,542000	0,5	18,060000
2,550333	0,5	17,995800
2,558667	0,5	17,925350
2,567000	0,5	17,858950
2,575333	0,5	17,784400
2,583667	0,5	17,774850
2,592000	0,5	17,757900
2,600333	0,5	17,810100
2,608667	0,5	17,953500
2,617000	0,5	18,295200
2,625333	0,5	18,868900
2,633667	0,5	19,572050
2,642000	0,5	20,207550
2,650333	0,5	20,535200
2,658667	0,5	20,467900
2,667000	0,5	20,135350
2,675333	0,5	19,810500
2,683667	0,5	19,869050
2,692000	0,5	20,831050
2,700333	0,5	23,367550
2,708667	0,5	28,076450
2,717000	0,5	35,256001
2,725333	0,5	45,344001
2,733667	0,5	60,060801
2,742000	0,5	84,799401
2,750333	0,5	132,438402
2,758667	0,5	221,202203
2,767000	0,5	352,434905
2,775333	0,5	486,654607
2,783667	0,5	571,089609
2,792000	0,5	584,780759
2,800333	0,5	540,516108
2,808667	0,5	464,809807
2,817000	0,5	382,121006
2,825333	0,5	308,485905
2,833667	0,5	250,044904
2,842000	0,5	205,909853
2,850333	0,5	172,306203
2,858667	0,5	145,793752
2,867000	0,5	124,392352
2,875333	0,5	107,096402
2,883667	0,5	93,160251
2,892000	0,5	81,735651
2,900333	0,5	72,151901
2,908667	0,5	63,864801
2,917000	0,5	56,649901
2,925333	0,5	50,397651
2,933667	0,5	45,044351
2,942000	0,5	40,521901
2,950333	0,5	36,724051
2,958667	0,5	33,504400
2,967000	0,5	30,781200
2,975333	0,5	28,437550
2,983667	0,5	26,412350
2,992000	0,5	24,631200
3,000333	0,5	23,076500
3,008667	0,5	21,684800
3,017000	0,5	20,431700
3,025333	0,5	19,327650
3,033667	0,5	18,318050
3,042000	0,5	17,393600
3,050333	0,5	16,563750
3,058667	0,5	15,810650
3,067000	0,5	15,136950
3,075333	0,5	14,499400
3,083667	0,5	13,890450
3,092000	0,5	13,333500
3,100333	0,5	12,798700
3,108667	0,5	12,305900
3,117000	0,5	11,832950
3,125333	0,5	11,403500
3,133667	0,5	10,982500
3,142000	0,5	10,604500
3,150333	0,5	10,241300
3,158667	0,5	9,888600
3,167000	0,5	9,571350
3,175333	0,5	9,304500
3,183667	0,5	9,034700
3,192000	0,5	8,797900
3,200333	0,5	8,602600
3,208667	0,5	8,445800
3,217000	0,5	8,344350
3,225333	0,5	8,276000
3,233667	0,5	8,315850
3,242000	0,5	8,462500
3,250333	0,5	8,690650
3,258667	0,5	8,917050
3,267000	0,5	9,052000
3,275333	0,5	8,987050
3,283667	0,5	8,724000
3,292000	0,5	8,288850
3,300333	0,5	7,789500
3,308667	0,5	7,283200
3,317000	0,5	6,868450
3,325333	0,5	6,516700
3,333667	0,5	6,222250
3,342000	0,5	5,984500
3,350333	0,5	5,793550
3,358667	0,5	5,641000
3,367000	0,5	5,516200
3,375333	0,5	5,377100
3,383667	0,5	5,264000
3,392000	0,5	5,160800
3,400333	0,5	5,061150
3,408667	0,5	4,969500
3,417000	0,5	4,874400
3,425333	0,5	4,789600
3,433667	0,5	4,698950
3,442000	0,5	4,628200
3,450333	0,5	4,553800
3,458667	0,5	4,467250
3,467000	0,5	4,404200
3,475333	0,5	4,322500
3,483667	0,5	4,241700
3,492000	0,5	4,175300
3,500333	0,5	4,114350
3,508667	0,5	4,091350
3,517000	0,5	4,034050
3,525333	0,5	3,977350
3,533667	0,5	3,928700
3,542000	0,5	3,889700
3,550333	0,5	3,846150
3,558667	0,5	3,808400
3,567000	0,5	3,769800
3,575333	0,5	3,720400
3,583667	0,5	3,680300
