File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/798.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_3a
Injection Number	50
Position	GA2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	12:21:01
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,134700
Signal Max.	698,207560
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,078150
0,008500	0,5	-0,109050
0,016833	0,5	-0,094500
0,025167	0,5	-0,038250
0,033500	0,5	-0,018450
0,041833	0,5	-0,012200
0,050167	0,5	-0,019800
0,058500	0,5	-0,014100
0,066833	0,5	-0,026250
0,075167	0,5	-0,009750
0,083500	0,5	-0,019300
0,091833	0,5	-0,014100
0,100167	0,5	-0,022150
0,108500	0,5	0,009900
0,116833	0,5	-0,020550
0,125167	0,5	0,010100
0,133500	0,5	-0,002250
0,141833	0,5	-0,015700
0,150167	0,5	-0,028500
0,158500	0,5	-0,017750
0,166833	0,5	0,013200
0,175167	0,5	0,032100
0,183500	0,5	0,033900
0,191833	0,5	0,022300
0,200167	0,5	0,022550
0,208500	0,5	0,030200
0,216833	0,5	0,017700
0,225167	0,5	0,015400
0,233500	0,5	0,016300
0,241833	0,5	-0,003300
0,250167	0,5	0,003600
0,258500	0,5	-0,002500
0,266833	0,5	0,003200
0,275167	0,5	0,020350
0,283500	0,5	0,004350
0,291833	0,5	-0,012400
0,300167	0,5	0,014000
0,308500	0,5	0,073100
0,316833	0,5	0,079400
0,325167	0,5	0,032550
0,333500	0,5	0,005950
0,341833	0,5	-0,005850
0,350167	0,5	0,001700
0,358500	0,5	-0,000250
0,366833	0,5	-0,006350
0,375167	0,5	-0,006450
0,383500	0,5	-0,013050
0,391833	0,5	-0,006550
0,400167	0,5	-0,006350
0,408500	0,5	0,010350
0,416833	0,5	-0,024650
0,425167	0,5	0,016950
0,433500	0,5	-0,019700
0,441833	0,5	-0,025200
0,450167	0,5	-0,034900
0,458500	0,5	-0,015800
0,466833	0,5	0,022250
0,475167	0,5	0,019500
0,483500	0,5	-0,008150
0,491833	0,5	0,001600
0,500167	0,5	-0,006350
0,508500	0,5	0,010600
0,516833	0,5	0,009350
0,525167	0,5	0,000200
0,533500	0,5	-0,007000
0,541833	0,5	-0,007950
0,550167	0,5	0,001500
0,558500	0,5	-0,022150
0,566833	0,5	-0,023050
0,575167	0,5	0,008650
0,583500	0,5	-0,025100
0,591833	0,5	-0,019200
0,600167	0,5	-0,006650
0,608500	0,5	0,020250
0,616833	0,5	0,063900
0,625167	0,5	0,031500
0,633500	0,5	0,033150
0,641833	0,5	0,032000
0,650167	0,5	0,032250
0,658500	0,5	0,016550
0,666833	0,5	0,021700
0,675167	0,5	0,013700
0,683500	0,5	0,021500
0,691833	0,5	0,024600
0,700167	0,5	0,027750
0,708500	0,5	0,027000
0,716833	0,5	0,040650
0,725167	0,5	0,040150
0,733500	0,5	0,015100
0,741833	0,5	0,016500
0,750167	0,5	0,018150
0,758500	0,5	0,052600
0,766833	0,5	0,077700
0,775167	0,5	0,080050
0,783500	0,5	0,060250
0,791833	0,5	0,071800
0,800167	0,5	0,056250
0,808500	0,5	0,065650
0,816833	0,5	0,066700
0,825167	0,5	0,064600
0,833500	0,5	0,062800
0,841833	0,5	0,066450
0,850167	0,5	0,071650
0,858500	0,5	0,069400
0,866833	0,5	0,078050
0,875167	0,5	0,077250
0,883500	0,5	0,063800
0,891833	0,5	0,065000
0,900167	0,5	0,081600
0,908500	0,5	0,122400
0,916833	0,5	0,147400
0,925167	0,5	0,122300
0,933500	0,5	0,127900
0,941833	0,5	0,119700
0,950167	0,5	0,118250
0,958500	0,5	0,111250
0,966833	0,5	0,125200
0,975167	0,5	0,116900
0,983500	0,5	0,121700
0,991833	0,5	0,123000
1,000167	0,5	0,118950
1,008500	0,5	0,125850
1,016833	0,5	0,157850
1,025167	0,5	0,126350
1,033500	0,5	0,122550
1,041833	0,5	0,125200
1,050167	0,5	0,154900
1,058500	0,5	0,186700
1,066833	0,5	0,191150
1,075167	0,5	0,189650
1,083500	0,5	0,188850
1,091833	0,5	0,188700
1,100167	0,5	0,176200
1,108500	0,5	0,187000
1,116833	0,5	0,191650
1,125167	0,5	0,199200
1,133500	0,5	0,188700
1,141833	0,5	0,202350
1,150167	0,5	0,179350
1,158500	0,5	0,211250
1,166833	0,5	0,206100
1,175167	0,5	0,198450
1,183500	0,5	0,199200
1,191833	0,5	0,209600
1,200167	0,5	0,247600
1,208500	0,5	0,274250
1,216833	0,5	0,281600
1,225167	0,5	0,272650
1,233500	0,5	0,274850
1,241833	0,5	0,280400
1,250167	0,5	0,277950
1,258500	0,5	0,290750
1,266833	0,5	0,296500
1,275167	0,5	0,295950
1,283500	0,5	0,301500
1,291833	0,5	0,299700
1,300167	0,5	0,305400
1,308500	0,5	0,341000
1,316833	0,5	0,347500
1,325167	0,5	0,331100
1,333500	0,5	0,340050
1,341833	0,5	0,342250
1,350167	0,5	0,406350
1,358500	0,5	0,403300
1,366833	0,5	0,405550
1,375167	0,5	0,398850
1,383500	0,5	0,413700
1,391833	0,5	0,415700
1,400167	0,5	0,425450
1,408500	0,5	0,432650
1,416833	0,5	0,443900
1,425167	0,5	0,450500
1,433500	0,5	0,461250
1,441833	0,5	0,484400
1,450167	0,5	0,476050
1,458500	0,5	0,519100
1,466833	0,5	0,497900
1,475167	0,5	0,493500
1,483500	0,5	0,504450
1,491833	0,5	0,529600
1,500167	0,5	0,578450
1,508500	0,5	0,572600
1,516833	0,5	0,567350
1,525167	0,5	0,582800
1,533500	0,5	0,579950
1,541833	0,5	0,595550
1,550167	0,5	0,602250
1,558500	0,5	0,608150
1,566833	0,5	0,563650
1,575167	0,5	0,367700
1,583500	0,5	-0,288700
1,591833	0,5	-1,386850
1,600167	0,5	-1,636500
1,608500	0,5	0,181900
1,616833	0,5	3,295150
1,625167	0,5	6,894600
1,633500	0,5	11,326800
1,641833	0,5	15,790800
1,650167	0,5	18,273000
1,658500	0,5	17,978700
1,666833	0,5	16,231700
1,675167	0,5	14,273150
1,683500	0,5	12,558950
1,691833	0,5	11,081800
1,700167	0,5	9,840300
1,708500	0,5	8,826900
1,716833	0,5	8,172100
1,725167	0,5	7,894050
1,733500	0,5	7,710100
1,741833	0,5	7,178300
1,750167	0,5	6,380600
1,758500	0,5	5,589050
1,766833	0,5	5,006450
1,775167	0,5	4,726700
1,783500	0,5	4,765500
1,791833	0,5	5,106300
1,800167	0,5	5,571450
1,808500	0,5	5,853450
1,816833	0,5	5,796350
1,825167	0,5	5,527000
1,833500	0,5	5,187550
1,841833	0,5	4,855700
1,850167	0,5	4,512750
1,858500	0,5	4,196100
1,866833	0,5	3,911350
1,875167	0,5	3,693350
1,883500	0,5	3,497750
1,891833	0,5	3,323400
1,900167	0,5	3,170900
1,908500	0,5	3,004800
1,916833	0,5	2,861850
1,925167	0,5	2,755850
1,933500	0,5	2,729700
1,941833	0,5	2,832450
1,950167	0,5	3,015300
1,958500	0,5	3,134800
1,966833	0,5	3,133300
1,975167	0,5	3,181650
1,983500	0,5	3,707200
1,991833	0,5	5,379250
2,000167	0,5	9,308750
2,008500	0,5	17,778650
2,016833	0,5	36,985151
2,025167	0,5	76,796101
2,033500	0,5	134,289452
2,041833	0,5	176,351253
2,050167	0,5	173,650053
2,058500	0,5	139,523952
2,066833	0,5	103,962952
2,075167	0,5	79,251151
2,083500	0,5	63,521801
2,091833	0,5	52,883051
2,100167	0,5	45,217001
2,108500	0,5	39,488851
2,116833	0,5	35,175901
2,125167	0,5	31,872850
2,133500	0,5	29,370950
2,141833	0,5	27,510850
2,150167	0,5	26,236600
2,158500	0,5	25,495200
2,166833	0,5	24,892350
2,175167	0,5	24,007950
2,183500	0,5	22,842000
2,191833	0,5	21,769350
2,200167	0,5	20,876550
2,208500	0,5	20,197050
2,216833	0,5	19,672100
2,225167	0,5	19,259700
2,233500	0,5	18,958350
2,241833	0,5	18,731300
2,250167	0,5	18,544750
2,258500	0,5	18,439250
2,266833	0,5	18,369600
2,275167	0,5	18,351700
2,283500	0,5	18,317450
2,291833	0,5	18,263600
2,300167	0,5	18,186450
2,308500	0,5	18,129850
2,316833	0,5	18,107800
2,325167	0,5	18,094250
2,333500	0,5	18,093950
2,341833	0,5	18,124900
2,350167	0,5	18,110300
2,358500	0,5	18,106900
2,366833	0,5	18,139000
2,375167	0,5	18,184550
2,383500	0,5	18,297050
2,391833	0,5	18,360550
2,400167	0,5	18,461100
2,408500	0,5	18,566550
2,416833	0,5	18,730950
2,425167	0,5	18,905150
2,433500	0,5	19,109900
2,441833	0,5	19,273100
2,450167	0,5	19,358500
2,458500	0,5	19,332750
2,466833	0,5	19,226000
2,475167	0,5	19,104750
2,483500	0,5	19,010900
2,491833	0,5	18,954450
2,500167	0,5	18,866250
2,508500	0,5	18,790800
2,516833	0,5	18,722650
2,525167	0,5	18,666000
2,533500	0,5	18,620800
2,541833	0,5	18,544200
2,550167	0,5	18,461700
2,558500	0,5	18,397950
2,566833	0,5	18,322400
2,575167	0,5	18,278150
2,583500	0,5	18,255850
2,591833	0,5	18,282400
2,600167	0,5	18,365550
2,608500	0,5	18,589200
2,616833	0,5	19,063700
2,625167	0,5	19,795050
2,633500	0,5	20,715000
2,641833	0,5	21,506200
2,650167	0,5	21,873850
2,658500	0,5	21,800850
2,666833	0,5	21,528500
2,675167	0,5	21,532800
2,683500	0,5	22,489400
2,691833	0,5	25,226250
2,700167	0,5	30,586200
2,708500	0,5	38,966751
2,716833	0,5	50,751001
2,725167	0,5	67,749901
2,733500	0,5	96,562251
2,741833	0,5	153,655202
2,750167	0,5	263,723504
2,758500	0,5	427,574206
2,766833	0,5	590,412059
2,775167	0,5	686,730160
2,783500	0,5	698,207560
2,791833	0,5	644,064860
2,800167	0,5	555,169008
2,808500	0,5	458,514007
2,816833	0,5	371,911256
2,825167	0,5	302,600605
2,833500	0,5	249,847854
2,841833	0,5	209,394403
2,850167	0,5	177,246203
2,858500	0,5	151,063452
2,866833	0,5	129,701502
2,875167	0,5	112,432702
2,883500	0,5	98,415701
2,891833	0,5	86,761201
2,900167	0,5	76,735851
2,908500	0,5	67,958651
2,916833	0,5	60,237501
2,925167	0,5	53,594001
2,933500	0,5	47,970251
2,941833	0,5	43,212351
2,950167	0,5	39,213251
2,958500	0,5	35,838651
2,966833	0,5	32,984800
2,975167	0,5	30,549200
2,983500	0,5	28,387050
2,991833	0,5	26,474950
3,000167	0,5	24,780450
3,008500	0,5	23,273800
3,016833	0,5	21,917400
3,025167	0,5	20,714100
3,033500	0,5	19,618100
