File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/256.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_3b
Injection Number	56
Position	GA8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	15:13:40
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,405050
Signal Max.	625,804209
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,087150
0,008667	0,5	-0,084300
0,017000	0,5	-0,068300
0,025333	0,5	-0,054850
0,033667	0,5	-0,043200
0,042000	0,5	-0,037250
0,050333	0,5	-0,025950
0,058667	0,5	-0,036150
0,067000	0,5	-0,019850
0,075333	0,5	-0,015950
0,083667	0,5	-0,000550
0,092000	0,5	-0,006100
0,100333	0,5	0,024850
0,108667	0,5	-0,019650
0,117000	0,5	-0,009600
0,125333	0,5	-0,013550
0,133667	0,5	0,024600
0,142000	0,5	0,049250
0,150333	0,5	0,040850
0,158667	0,5	0,022350
0,167000	0,5	0,024350
0,175333	0,5	0,020850
0,183667	0,5	0,014800
0,192000	0,5	0,014550
0,200333	0,5	0,012400
0,208667	0,5	0,014950
0,217000	0,5	0,007850
0,225333	0,5	0,013550
0,233667	0,5	-0,003750
0,242000	0,5	0,020900
0,250333	0,5	-0,000150
0,258667	0,5	-0,014800
0,267000	0,5	-0,016200
0,275333	0,5	0,000300
0,283667	0,5	0,026000
0,292000	0,5	0,066600
0,300333	0,5	0,103850
0,308667	0,5	0,105300
0,317000	0,5	0,033000
0,325333	0,5	0,011200
0,333667	0,5	0,002750
0,342000	0,5	0,009400
0,350333	0,5	0,001650
0,358667	0,5	-0,000950
0,367000	0,5	0,000350
0,375333	0,5	-0,020850
0,383667	0,5	-0,018600
0,392000	0,5	0,001300
0,400333	0,5	-0,006350
0,408667	0,5	-0,022500
0,417000	0,5	-0,012450
0,425333	0,5	0,001400
0,433667	0,5	0,033650
0,442000	0,5	0,026550
0,450333	0,5	0,029200
0,458667	0,5	0,018400
0,467000	0,5	0,023400
0,475333	0,5	0,005500
0,483667	0,5	0,015000
0,492000	0,5	0,002400
0,500333	0,5	0,002400
0,508667	0,5	0,005000
0,517000	0,5	0,005650
0,525333	0,5	-0,008850
0,533667	0,5	0,023650
0,542000	0,5	0,019300
0,550333	0,5	-0,005200
0,558667	0,5	-0,012600
0,567000	0,5	-0,005500
0,575333	0,5	0,040600
0,583667	0,5	0,051500
0,592000	0,5	0,054100
0,600333	0,5	0,036050
0,608667	0,5	0,054300
0,617000	0,5	0,035200
0,625333	0,5	0,036050
0,633667	0,5	0,037000
0,642000	0,5	0,032750
0,650333	0,5	0,025050
0,658667	0,5	0,033050
0,667000	0,5	0,039000
0,675333	0,5	0,027450
0,683667	0,5	0,054200
0,692000	0,5	0,040850
0,700333	0,5	0,028950
0,708667	0,5	0,036200
0,717000	0,5	0,042000
0,725333	0,5	0,087100
0,733667	0,5	0,083250
0,742000	0,5	0,058800
0,750333	0,5	0,066200
0,758667	0,5	0,063800
0,767000	0,5	0,069400
0,775333	0,5	0,062350
0,783667	0,5	0,071250
0,792000	0,5	0,061900
0,800333	0,5	0,072450
0,808667	0,5	0,073400
0,817000	0,5	0,085750
0,825333	0,5	0,065550
0,833667	0,5	0,108300
0,842000	0,5	0,076350
0,850333	0,5	0,076900
0,858667	0,5	0,078850
0,867000	0,5	0,099300
0,875333	0,5	0,142750
0,883667	0,5	0,116050
0,892000	0,5	0,112400
0,900333	0,5	0,122800
0,908667	0,5	0,135800
0,917000	0,5	0,132750
0,925333	0,5	0,136450
0,933667	0,5	0,132450
0,942000	0,5	0,134250
0,950333	0,5	0,133700
0,958667	0,5	0,146050
0,967000	0,5	0,124550
0,975333	0,5	0,129400
0,983667	0,5	0,146900
0,992000	0,5	0,132400
1,000333	0,5	0,129500
1,008667	0,5	0,159850
1,017000	0,5	0,177050
1,025333	0,5	0,216600
1,033667	0,5	0,201250
1,042000	0,5	0,199750
1,050333	0,5	0,199550
1,058667	0,5	0,202450
1,067000	0,5	0,197200
1,075333	0,5	0,203950
1,083667	0,5	0,207400
1,092000	0,5	0,199850
1,100333	0,5	0,219650
1,108667	0,5	0,226700
1,117000	0,5	0,225700
1,125333	0,5	0,244600
1,133667	0,5	0,250700
1,142000	0,5	0,228600
1,150333	0,5	0,238900
1,158667	0,5	0,248100
1,167000	0,5	0,284200
1,175333	0,5	0,297500
1,183667	0,5	0,307050
1,192000	0,5	0,292900
1,200333	0,5	0,315750
1,208667	0,5	0,316000
1,217000	0,5	0,321400
1,225333	0,5	0,322150
1,233667	0,5	0,322350
1,242000	0,5	0,327600
1,250333	0,5	0,331700
1,258667	0,5	0,357450
1,267000	0,5	0,357750
1,275333	0,5	0,378250
1,283667	0,5	0,369300
1,292000	0,5	0,360050
1,300333	0,5	0,375800
1,308667	0,5	0,411800
1,317000	0,5	0,444200
1,325333	0,5	0,463700
1,333667	0,5	0,448950
1,342000	0,5	0,465300
1,350333	0,5	0,467700
1,358667	0,5	0,475700
1,367000	0,5	0,473600
1,375333	0,5	0,488100
1,383667	0,5	0,491350
1,392000	0,5	0,498450
1,400333	0,5	0,514850
1,408667	0,5	0,522450
1,417000	0,5	0,529500
1,425333	0,5	0,552400
1,433667	0,5	0,535300
1,442000	0,5	0,542900
1,450333	0,5	0,554900
1,458667	0,5	0,583550
1,467000	0,5	0,619800
1,475333	0,5	0,622150
1,483667	0,5	0,635650
1,492000	0,5	0,640400
1,500333	0,5	0,648000
1,508667	0,5	0,650550
1,517000	0,5	0,665550
1,525333	0,5	0,651600
1,533667	0,5	0,653450
1,542000	0,5	0,657200
1,550333	0,5	0,665750
1,558667	0,5	0,634950
1,567000	0,5	0,547400
1,575333	0,5	0,095100
1,583667	0,5	-0,959200
1,592000	0,5	-1,814900
1,600333	0,5	-1,037300
1,608667	0,5	1,432850
1,617000	0,5	4,381850
1,625333	0,5	7,979050
1,633667	0,5	12,033050
1,642000	0,5	14,885600
1,650333	0,5	15,368000
1,658667	0,5	14,223550
1,667000	0,5	12,654700
1,675333	0,5	11,210650
1,683667	0,5	9,972000
1,692000	0,5	9,001550
