File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/913.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_4a
Injection Number	24
Position	RC2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	23:52:52
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,393400
Signal Max.	769,756411
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,097550
0,008500	0,5	-0,103300
0,016833	0,5	-0,096800
0,025167	0,5	-0,076200
0,033500	0,5	-0,061200
0,041833	0,5	-0,042900
0,050167	0,5	-0,061300
0,058500	0,5	-0,060100
0,066833	0,5	-0,034150
0,075167	0,5	-0,056900
0,083500	0,5	-0,058100
0,091833	0,5	-0,047500
0,100167	0,5	-0,027150
0,108500	0,5	0,014100
0,116833	0,5	0,008100
0,125167	0,5	0,012550
0,133500	0,5	0,010000
0,141833	0,5	0,011650
0,150167	0,5	-0,012950
0,158500	0,5	-0,004350
0,166833	0,5	-0,007300
0,175167	0,5	-0,008950
0,183500	0,5	-0,006950
0,191833	0,5	-0,018300
0,200167	0,5	-0,023350
0,208500	0,5	-0,020400
0,216833	0,5	-0,010050
0,225167	0,5	-0,035050
0,233500	0,5	-0,027650
0,241833	0,5	-0,038400
0,250167	0,5	-0,000300
0,258500	0,5	0,018050
0,266833	0,5	0,028650
0,275167	0,5	0,004550
0,283500	0,5	0,013200
0,291833	0,5	0,004050
0,300167	0,5	0,044450
0,308500	0,5	0,048500
0,316833	0,5	0,009750
0,325167	0,5	-0,022750
0,333500	0,5	-0,024000
0,341833	0,5	-0,023900
0,350167	0,5	-0,031750
0,358500	0,5	-0,026000
0,366833	0,5	-0,029400
0,375167	0,5	-0,048550
0,383500	0,5	-0,043500
0,391833	0,5	-0,041200
0,400167	0,5	-0,008200
0,408500	0,5	0,009350
0,416833	0,5	-0,015900
0,425167	0,5	-0,010400
0,433500	0,5	-0,017100
0,441833	0,5	-0,014000
0,450167	0,5	-0,027450
0,458500	0,5	-0,019050
0,466833	0,5	-0,028450
0,475167	0,5	-0,026550
0,483500	0,5	-0,029900
0,491833	0,5	-0,052400
0,500167	0,5	-0,056550
0,508500	0,5	-0,016250
0,516833	0,5	-0,042450
0,525167	0,5	-0,055200
0,533500	0,5	-0,042000
0,541833	0,5	-0,025650
0,550167	0,5	0,012500
0,558500	0,5	0,001450
0,566833	0,5	-0,004350
0,575167	0,5	-0,014750
0,583500	0,5	-0,006250
0,591833	0,5	-0,018100
0,600167	0,5	-0,010850
0,608500	0,5	-0,020850
0,616833	0,5	-0,023150
0,625167	0,5	-0,023050
0,633500	0,5	-0,012000
0,641833	0,5	-0,025050
0,650167	0,5	-0,003000
0,658500	0,5	0,005000
0,666833	0,5	-0,019000
0,675167	0,5	-0,033000
0,683500	0,5	-0,021850
0,691833	0,5	-0,005450
0,700167	0,5	0,031200
0,708500	0,5	0,012500
0,716833	0,5	-0,002550
0,725167	0,5	-0,000150
0,733500	0,5	-0,004500
0,741833	0,5	0,004800
0,750167	0,5	0,011800
0,758500	0,5	0,003200
0,766833	0,5	-0,000400
0,775167	0,5	0,007050
0,783500	0,5	0,003150
0,791833	0,5	0,004050
0,800167	0,5	0,013600
0,808500	0,5	0,021050
0,816833	0,5	-0,002450
0,825167	0,5	-0,001550
0,833500	0,5	0,000000
0,841833	0,5	0,053750
0,850167	0,5	0,067400
0,858500	0,5	0,047700
0,866833	0,5	0,041000
0,875167	0,5	0,048350
0,883500	0,5	0,041000
0,891833	0,5	0,038750
0,900167	0,5	0,041050
0,908500	0,5	0,032550
0,916833	0,5	0,033250
0,925167	0,5	0,038800
0,933500	0,5	0,057150
0,941833	0,5	0,038250
0,950167	0,5	0,079700
0,958500	0,5	0,050550
0,966833	0,5	0,041200
0,975167	0,5	0,038450
0,983500	0,5	0,061150
0,991833	0,5	0,091050
1,000167	0,5	0,102000
1,008500	0,5	0,080450
1,016833	0,5	0,086600
1,025167	0,5	0,080950
1,033500	0,5	0,095350
1,041833	0,5	0,086700
1,050167	0,5	0,102150
1,058500	0,5	0,089400
1,066833	0,5	0,093450
1,075167	0,5	0,098750
1,083500	0,5	0,084750
1,091833	0,5	0,082300
1,100167	0,5	0,105450
1,108500	0,5	0,083550
1,116833	0,5	0,082050
1,125167	0,5	0,091000
1,133500	0,5	0,121550
1,141833	0,5	0,162150
1,150167	0,5	0,163050
1,158500	0,5	0,159550
1,166833	0,5	0,149850
1,175167	0,5	0,160250
1,183500	0,5	0,151050
1,191833	0,5	0,157150
1,200167	0,5	0,149550
1,208500	0,5	0,151200
1,216833	0,5	0,153950
1,225167	0,5	0,160400
1,233500	0,5	0,162100
1,241833	0,5	0,180250
1,250167	0,5	0,200900
1,258500	0,5	0,173150
1,266833	0,5	0,175800
1,275167	0,5	0,181450
1,283500	0,5	0,210350
1,291833	0,5	0,233700
1,300167	0,5	0,245900
1,308500	0,5	0,231150
1,316833	0,5	0,241500
1,325167	0,5	0,237150
1,333500	0,5	0,243850
1,341833	0,5	0,239400
1,350167	0,5	0,255500
1,358500	0,5	0,253750
1,366833	0,5	0,262600
1,375167	0,5	0,267650
1,383500	0,5	0,272500
1,391833	0,5	0,293300
1,400167	0,5	0,286000
1,408500	0,5	0,271000
1,416833	0,5	0,284950
1,425167	0,5	0,299100
1,433500	0,5	0,342350
1,441833	0,5	0,350600
1,450167	0,5	0,347700
1,458500	0,5	0,359900
1,466833	0,5	0,355750
1,475167	0,5	0,356700
1,483500	0,5	0,353500
1,491833	0,5	0,367800
1,500167	0,5	0,363500
1,508500	0,5	0,372800
1,516833	0,5	0,377750
1,525167	0,5	0,380050
1,533500	0,5	0,379650
1,541833	0,5	0,412900
1,550167	0,5	0,396000
1,558500	0,5	0,387750
1,566833	0,5	0,338950
1,575167	0,5	0,137100
1,583500	0,5	-0,525900
1,591833	0,5	-1,551100
1,600167	0,5	-1,713450
1,608500	0,5	-0,049900
1,616833	0,5	2,726800
1,625167	0,5	6,181800
1,633500	0,5	10,814700
1,641833	0,5	15,539950
1,650167	0,5	18,077250
1,658500	0,5	17,758650
1,666833	0,5	15,960150
1,675167	0,5	13,956450
1,683500	0,5	12,257500
1,691833	0,5	10,842250
1,700167	0,5	9,737700
1,708500	0,5	9,154700
1,716833	0,5	9,564600
1,725167	0,5	11,134850
1,733500	0,5	12,716450
1,741833	0,5	12,582850
1,750167	0,5	10,847800
1,758500	0,5	8,818450
1,766833	0,5	7,277450
1,775167	0,5	6,327850
1,783500	0,5	5,833050
1,791833	0,5	5,606800
1,800167	0,5	5,468750
1,808500	0,5	5,287800
1,816833	0,5	5,015400
1,825167	0,5	4,703600
1,833500	0,5	4,440100
1,841833	0,5	4,146850
1,850167	0,5	3,849950
1,858500	0,5	3,593350
1,866833	0,5	3,364550
1,875167	0,5	3,198350
1,883500	0,5	3,025300
1,891833	0,5	2,871350
1,900167	0,5	2,732500
