File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/697.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_4b
Injection Number	30
Position	RC8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	02:45:30
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,945050
Signal Max.	669,254860
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,086400
0,008667	0,5	-0,091950
0,017000	0,5	-0,085550
0,025333	0,5	-0,068350
0,033667	0,5	-0,049400
0,042000	0,5	-0,053550
0,050333	0,5	-0,026350
0,058667	0,5	-0,027850
0,067000	0,5	-0,033150
0,075333	0,5	-0,015550
0,083667	0,5	-0,010700
0,092000	0,5	-0,042800
0,100333	0,5	-0,023250
0,108667	0,5	-0,014050
0,117000	0,5	0,024000
0,125333	0,5	0,038350
0,133667	0,5	0,025350
0,142000	0,5	0,014250
0,150333	0,5	0,022000
0,158667	0,5	0,007400
0,167000	0,5	0,010900
0,175333	0,5	0,005000
0,183667	0,5	0,004950
0,192000	0,5	0,001900
0,200333	0,5	0,011250
0,208667	0,5	0,001550
0,217000	0,5	-0,025850
0,225333	0,5	-0,006550
0,233667	0,5	-0,018200
0,242000	0,5	-0,027100
0,250333	0,5	-0,030400
0,258667	0,5	-0,000050
0,267000	0,5	0,022450
0,275333	0,5	0,044600
0,283667	0,5	0,016750
0,292000	0,5	0,030350
0,300333	0,5	0,064800
0,308667	0,5	0,084400
0,317000	0,5	0,039350
0,325333	0,5	0,004650
0,333667	0,5	-0,009700
0,342000	0,5	-0,008100
0,350333	0,5	-0,014750
0,358667	0,5	-0,037550
0,367000	0,5	-0,039500
0,375333	0,5	-0,018150
0,383667	0,5	-0,035450
0,392000	0,5	-0,045350
0,400333	0,5	-0,034200
0,408667	0,5	-0,002200
0,417000	0,5	0,028900
0,425333	0,5	0,010650
0,433667	0,5	0,019800
0,442000	0,5	0,002500
0,450333	0,5	0,007800
0,458667	0,5	-0,003750
0,467000	0,5	0,006450
0,475333	0,5	-0,005700
0,483667	0,5	-0,007750
0,492000	0,5	-0,013800
0,500333	0,5	-0,016650
0,508667	0,5	-0,036000
0,517000	0,5	-0,016050
0,525333	0,5	-0,024750
0,533667	0,5	-0,036800
0,542000	0,5	-0,039300
0,550333	0,5	-0,033600
0,558667	0,5	0,015700
0,567000	0,5	0,028100
0,575333	0,5	0,025700
0,583667	0,5	0,014700
0,592000	0,5	0,018150
0,600333	0,5	0,006800
0,608667	0,5	0,014000
0,617000	0,5	0,008500
0,625333	0,5	0,011950
0,633667	0,5	-0,004400
0,642000	0,5	0,007850
0,650333	0,5	-0,012450
0,658667	0,5	-0,012300
0,667000	0,5	0,014100
0,675333	0,5	0,002750
0,683667	0,5	-0,013250
0,692000	0,5	-0,007400
0,700333	0,5	0,005350
0,708667	0,5	0,056950
0,717000	0,5	0,040250
0,725333	0,5	0,028400
0,733667	0,5	0,027000
0,742000	0,5	0,020750
0,750333	0,5	0,022100
0,758667	0,5	0,026000
0,767000	0,5	0,029150
0,775333	0,5	0,019000
0,783667	0,5	0,023100
0,792000	0,5	0,016600
0,800333	0,5	0,031350
0,808667	0,5	0,020950
0,817000	0,5	0,061700
0,825333	0,5	0,024450
0,833667	0,5	0,021550
0,842000	0,5	0,017050
0,850333	0,5	0,042900
0,858667	0,5	0,084300
0,867000	0,5	0,064250
0,875333	0,5	0,052750
0,883667	0,5	0,058100
0,892000	0,5	0,056250
0,900333	0,5	0,059550
0,908667	0,5	0,063650
0,917000	0,5	0,059950
0,925333	0,5	0,062150
0,933667	0,5	0,059600
0,942000	0,5	0,076300
0,950333	0,5	0,046150
0,958667	0,5	0,063900
0,967000	0,5	0,072100
0,975333	0,5	0,061750
0,983667	0,5	0,059150
0,992000	0,5	0,071450
1,000333	0,5	0,100100
1,008667	0,5	0,139600
1,017000	0,5	0,110950
1,025333	0,5	0,111850
1,033667	0,5	0,102250
1,042000	0,5	0,109100
1,050333	0,5	0,104900
1,058667	0,5	0,114700
1,067000	0,5	0,110200
1,075333	0,5	0,102050
1,083667	0,5	0,118000
1,092000	0,5	0,103900
1,100333	0,5	0,102350
1,108667	0,5	0,128350
1,117000	0,5	0,116150
1,125333	0,5	0,108400
1,133667	0,5	0,110550
1,142000	0,5	0,127350
1,150333	0,5	0,166000
1,158667	0,5	0,179800
1,167000	0,5	0,182000
1,175333	0,5	0,174200
1,183667	0,5	0,185900
1,192000	0,5	0,173250
1,200333	0,5	0,181700
1,208667	0,5	0,185650
1,217000	0,5	0,191050
1,225333	0,5	0,189750
1,233667	0,5	0,201850
1,242000	0,5	0,195750
1,250333	0,5	0,196400
1,258667	0,5	0,213500
1,267000	0,5	0,203050
1,275333	0,5	0,199700
1,283667	0,5	0,210950
1,292000	0,5	0,241900
1,300333	0,5	0,273050
1,308667	0,5	0,296000
1,317000	0,5	0,278050
1,325333	0,5	0,289200
1,333667	0,5	0,290350
1,342000	0,5	0,292450
1,350333	0,5	0,290500
1,358667	0,5	0,304350
1,367000	0,5	0,297100
1,375333	0,5	0,313600
1,383667	0,5	0,315550
1,392000	0,5	0,315200
1,400333	0,5	0,325700
1,408667	0,5	0,356600
1,417000	0,5	0,332450
1,425333	0,5	0,342750
1,433667	0,5	0,341700
1,442000	0,5	0,380000
1,450333	0,5	0,406350
1,458667	0,5	0,404850
1,467000	0,5	0,418400
1,475333	0,5	0,412150
1,483667	0,5	0,420900
1,492000	0,5	0,415850
1,500333	0,5	0,439950
1,508667	0,5	0,433900
1,517000	0,5	0,440750
1,525333	0,5	0,448000
1,533667	0,5	0,447050
1,542000	0,5	0,438200
1,550333	0,5	0,475450
1,558667	0,5	0,451450
1,567000	0,5	0,399300
1,575333	0,5	0,153150
1,583667	0,5	-0,560250
1,592000	0,5	-1,570100
1,600333	0,5	-1,676100
