File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/137.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_C-NE
Injection Number	62
Position	GB6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	18:06:33
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,514950
Signal Max.	615,946709
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,058700
0,008667	0,5	-0,084650
0,017000	0,5	-0,083850
0,025333	0,5	-0,078250
0,033667	0,5	-0,049850
0,042000	0,5	-0,015650
0,050333	0,5	0,003300
0,058667	0,5	0,002700
0,067000	0,5	0,009250
0,075333	0,5	0,002400
0,083667	0,5	0,000750
0,092000	0,5	0,000800
0,100333	0,5	0,007800
0,108667	0,5	-0,005950
0,117000	0,5	-0,007200
0,125333	0,5	0,004800
0,133667	0,5	-0,015450
0,142000	0,5	0,005250
0,150333	0,5	0,029000
0,158667	0,5	0,007950
0,167000	0,5	-0,007600
0,175333	0,5	-0,007000
0,183667	0,5	0,023700
0,192000	0,5	0,053950
0,200333	0,5	0,032650
0,208667	0,5	0,032100
0,217000	0,5	0,026200
0,225333	0,5	0,025200
0,233667	0,5	0,010550
0,242000	0,5	0,018550
0,250333	0,5	0,012300
0,258667	0,5	0,016050
0,267000	0,5	0,016000
0,275333	0,5	0,008500
0,283667	0,5	-0,017100
0,292000	0,5	-0,016150
0,300333	0,5	0,053200
0,308667	0,5	0,072850
0,317000	0,5	0,021800
0,325333	0,5	-0,007450
0,333667	0,5	0,007400
0,342000	0,5	0,021150
0,350333	0,5	0,007650
0,358667	0,5	0,002400
0,367000	0,5	0,017050
0,375333	0,5	0,008000
0,383667	0,5	0,014400
0,392000	0,5	0,012300
0,400333	0,5	0,007850
0,408667	0,5	-0,007150
0,417000	0,5	0,000900
0,425333	0,5	-0,001400
0,433667	0,5	-0,010700
0,442000	0,5	0,023650
0,450333	0,5	-0,002100
0,458667	0,5	-0,016850
0,467000	0,5	-0,017000
0,475333	0,5	-0,006150
0,483667	0,5	0,046650
0,492000	0,5	0,035450
0,500333	0,5	0,003250
0,508667	0,5	0,010400
0,517000	0,5	0,015400
0,525333	0,5	0,011100
0,533667	0,5	0,011450
0,542000	0,5	0,015500
0,550333	0,5	0,001600
0,558667	0,5	0,011800
0,567000	0,5	0,022600
0,575333	0,5	0,021850
0,583667	0,5	-0,005650
0,592000	0,5	0,040150
0,600333	0,5	0,001150
0,608667	0,5	0,006550
0,617000	0,5	0,003000
0,625333	0,5	0,036250
0,633667	0,5	0,073200
0,642000	0,5	0,062800
0,650333	0,5	0,044250
0,658667	0,5	0,049950
0,667000	0,5	0,052000
0,675333	0,5	0,055100
0,683667	0,5	0,057550
0,692000	0,5	0,053300
0,700333	0,5	0,049900
0,708667	0,5	0,049200
0,717000	0,5	0,055550
0,725333	0,5	0,032650
0,733667	0,5	0,046600
0,742000	0,5	0,054950
0,750333	0,5	0,032150
0,758667	0,5	0,037550
0,767000	0,5	0,048150
0,775333	0,5	0,082750
0,783667	0,5	0,118100
0,792000	0,5	0,103000
0,800333	0,5	0,108500
0,808667	0,5	0,101900
0,817000	0,5	0,108200
0,825333	0,5	0,100600
0,833667	0,5	0,108400
0,842000	0,5	0,092800
0,850333	0,5	0,097400
0,858667	0,5	0,105500
0,867000	0,5	0,093050
0,875333	0,5	0,098700
0,883667	0,5	0,118100
0,892000	0,5	0,108450
0,900333	0,5	0,092250
0,908667	0,5	0,096500
0,917000	0,5	0,110700
0,925333	0,5	0,160550
0,933667	0,5	0,175500
0,942000	0,5	0,175900
0,950333	0,5	0,165000
0,958667	0,5	0,170100
0,967000	0,5	0,153650
0,975333	0,5	0,168350
0,983667	0,5	0,163600
0,992000	0,5	0,164750
1,000333	0,5	0,161050
1,008667	0,5	0,166950
1,017000	0,5	0,162200
1,025333	0,5	0,171750
1,033667	0,5	0,181850
1,042000	0,5	0,178450
1,050333	0,5	0,168150
1,058667	0,5	0,173450
1,067000	0,5	0,198400
1,075333	0,5	0,221500
1,083667	0,5	0,244500
1,092000	0,5	0,226550
1,100333	0,5	0,240900
1,108667	0,5	0,230900
1,117000	0,5	0,234550
1,125333	0,5	0,231250
1,133667	0,5	0,238600
1,142000	0,5	0,229350
1,150333	0,5	0,232200
1,158667	0,5	0,244300
1,167000	0,5	0,243100
1,175333	0,5	0,268250
1,183667	0,5	0,286900
1,192000	0,5	0,263550
1,200333	0,5	0,257400
1,208667	0,5	0,270450
1,217000	0,5	0,304500
1,225333	0,5	0,332700
1,233667	0,5	0,316700
1,242000	0,5	0,325600
1,250333	0,5	0,328400
1,258667	0,5	0,333850
1,267000	0,5	0,326500
1,275333	0,5	0,339800
1,283667	0,5	0,340500
1,292000	0,5	0,353350
1,300333	0,5	0,364400
1,308667	0,5	0,368000
1,317000	0,5	0,353500
1,325333	0,5	0,402650
1,333667	0,5	0,391300
1,342000	0,5	0,394200
1,350333	0,5	0,389750
1,358667	0,5	0,408850
1,367000	0,5	0,456750
1,375333	0,5	0,468050
1,383667	0,5	0,465950
1,392000	0,5	0,476050
1,400333	0,5	0,490200
1,408667	0,5	0,493550
1,417000	0,5	0,503350
1,425333	0,5	0,510300
1,433667	0,5	0,516100
1,442000	0,5	0,517750
1,450333	0,5	0,537500
1,458667	0,5	0,542900
1,467000	0,5	0,551750
1,475333	0,5	0,586150
1,483667	0,5	0,573500
1,492000	0,5	0,585950
1,500333	0,5	0,591900
1,508667	0,5	0,614500
1,517000	0,5	0,666150
1,525333	0,5	0,658350
1,533667	0,5	0,662200
1,542000	0,5	0,661350
1,550333	0,5	0,679550
1,558667	0,5	0,669300
1,567000	0,5	0,640250
1,575333	0,5	0,446700
1,583667	0,5	-0,215300
1,592000	0,5	-1,333850
1,600333	0,5	-1,695950
1,608667	0,5	-0,091800
1,617000	0,5	2,621350
1,625333	0,5	5,648850
1,633667	0,5	9,281500
1,642000	0,5	13,132150
1,650333	0,5	15,481200
1,658667	0,5	15,625450
1,667000	0,5	14,444400
1,675333	0,5	12,930350
1,683667	0,5	11,520900
1,692000	0,5	10,334450
1,700333	0,5	9,303550
1,708667	0,5	8,504950
1,717000	0,5	8,066100
1,725333	0,5	8,072200
1,733667	0,5	8,115700
1,742000	0,5	7,657500
1,750333	0,5	6,780150
1,758667	0,5	5,881050
1,767000	0,5	5,261450
1,775333	0,5	4,964450
1,783667	0,5	5,022950
1,792000	0,5	5,472150
1,800333	0,5	6,131150
1,808667	0,5	6,584100
1,817000	0,5	6,626300
1,825333	0,5	6,348050
1,833667	0,5	5,998050
1,842000	0,5	5,593350
1,850333	0,5	5,196450
1,858667	0,5	4,827900
1,867000	0,5	4,551750
1,875333	0,5	4,319950
1,883667	0,5	4,123750
1,892000	0,5	3,927750
1,900333	0,5	3,712450
1,908667	0,5	3,512500
1,917000	0,5	3,388950
1,925333	0,5	3,294450
1,933667	0,5	3,353750
1,942000	0,5	3,684500
1,950333	0,5	4,248400
1,958667	0,5	4,650600
1,967000	0,5	4,565200
1,975333	0,5	4,331450
1,983667	0,5	4,587200
1,992000	0,5	6,031100
2,000333	0,5	9,651750
2,008667	0,5	17,667500
2,017000	0,5	35,822901
2,025333	0,5	72,953051
2,033667	0,5	125,041102
2,042000	0,5	161,220552
2,050333	0,5	156,462602
2,058667	0,5	125,101352
2,067000	0,5	93,776801
2,075333	0,5	72,412051
2,083667	0,5	58,757951
2,092000	0,5	49,429051
2,100333	0,5	42,685901
2,108667	0,5	37,656101
2,117000	0,5	33,851651
2,125333	0,5	31,009400
2,133667	0,5	28,993550
2,142000	0,5	27,663300
2,150333	0,5	27,091100
2,158667	0,5	27,159800
2,167000	0,5	27,096100
2,175333	0,5	26,163400
2,183667	0,5	24,674050
2,192000	0,5	23,288050
2,200333	0,5	22,234200
2,208667	0,5	21,394550
2,217000	0,5	20,631650
2,225333	0,5	19,991200
2,233667	0,5	19,535700
2,242000	0,5	19,212900
2,250333	0,5	19,024100
2,258667	0,5	18,875950
2,267000	0,5	18,769050
2,275333	0,5	18,700200
2,283667	0,5	18,632850
2,292000	0,5	18,540100
2,300333	0,5	18,434550
2,308667	0,5	18,362750
2,317000	0,5	18,299900
2,325333	0,5	18,270900
2,333667	0,5	18,253850
2,342000	0,5	18,259800
2,350333	0,5	18,242050
2,358667	0,5	18,291200
2,367000	0,5	18,309050
2,375333	0,5	18,374200
2,383667	0,5	18,469900
2,392000	0,5	18,619750
2,400333	0,5	18,865650
2,408667	0,5	19,208950
2,417000	0,5	19,683600
2,425333	0,5	20,253500
2,433667	0,5	20,748350
2,442000	0,5	21,027250
2,450333	0,5	20,992550
2,458667	0,5	20,716600
2,467000	0,5	20,401600
2,475333	0,5	20,181200
2,483667	0,5	20,026050
2,492000	0,5	19,859950
2,500333	0,5	19,695950
2,508667	0,5	19,547750
2,517000	0,5	19,358350
2,525333	0,5	19,187400
2,533667	0,5	19,037000
2,542000	0,5	18,899000
2,550333	0,5	18,791750
2,558667	0,5	18,631100
2,567000	0,5	18,503800
2,575333	0,5	18,394850
2,583667	0,5	18,314150
2,592000	0,5	18,259250
2,600333	0,5	18,286750
2,608667	0,5	18,434300
2,617000	0,5	18,746750
2,625333	0,5	19,133550
2,633667	0,5	19,476350
2,642000	0,5	19,645150
2,650333	0,5	19,686950
2,658667	0,5	19,819500
2,667000	0,5	20,468300
2,675333	0,5	22,331700
2,683667	0,5	26,157000
2,692000	0,5	32,519450
2,700333	0,5	41,726051
2,708667	0,5	54,745401
2,717000	0,5	75,400951
2,725333	0,5	114,425802
2,733667	0,5	191,236353
2,742000	0,5	318,459705
2,750333	0,5	467,685607
2,758667	0,5	579,008459
2,767000	0,5	615,946709
2,775333	0,5	583,791509
2,783667	0,5	509,022908
2,792000	0,5	420,155156
2,800333	0,5	338,311605
2,808667	0,5	273,203004
2,817000	0,5	225,234603
2,825333	0,5	189,954203
2,833667	0,5	162,645002
2,842000	0,5	140,439602
2,850333	0,5	122,013402
2,858667	0,5	106,629702
2,867000	0,5	93,739651
2,875333	0,5	82,730251
2,883667	0,5	73,144851
2,892000	0,5	64,712151
2,900333	0,5	57,360551
2,908667	0,5	51,008701
2,917000	0,5	45,637051
2,925333	0,5	41,109401
2,933667	0,5	37,299651
2,942000	0,5	34,070851
2,950333	0,5	31,362450
2,958667	0,5	28,988200
2,967000	0,5	26,946250
2,975333	0,5	25,150250
2,983667	0,5	23,578550
2,992000	0,5	22,193350
3,000333	0,5	20,924500
3,008667	0,5	19,785200
3,017000	0,5	18,759050
3,025333	0,5	17,840900
3,033667	0,5	16,982850
3,042000	0,5	16,218000
3,050333	0,5	15,513900
3,058667	0,5	14,884750
3,067000	0,5	14,302800
3,075333	0,5	13,752050
3,083667	0,5	13,204250
3,092000	0,5	12,704100
3,100333	0,5	12,222150
3,108667	0,5	11,747450
3,117000	0,5	11,310450
3,125333	0,5	10,917400
3,133667	0,5	10,569050
3,142000	0,5	10,256150
3,150333	0,5	9,952950
3,158667	0,5	9,682900
3,167000	0,5	9,449100
3,175333	0,5	9,240250
3,183667	0,5	9,073200
3,192000	0,5	8,955800
3,200333	0,5	8,914150
3,208667	0,5	8,967750
3,217000	0,5	9,150900
3,225333	0,5	9,413050
3,233667	0,5	9,687650
3,242000	0,5	9,849600
3,250333	0,5	9,768300
3,258667	0,5	9,437700
3,267000	0,5	8,950750
3,275333	0,5	8,390750
3,283667	0,5	7,898650
3,292000	0,5	7,441700
3,300333	0,5	7,071750
3,308667	0,5	6,774950
3,317000	0,5	6,542750
3,325333	0,5	6,328450
3,333667	0,5	6,154000
3,342000	0,5	5,992050
3,350333	0,5	5,837000
3,358667	0,5	5,700400
3,367000	0,5	5,567000
3,375333	0,5	5,451900
3,383667	0,5	5,321550
3,392000	0,5	5,233700
3,400333	0,5	5,108950
3,408667	0,5	5,003250
3,417000	0,5	4,904950
3,425333	0,5	4,830100
3,433667	0,5	4,779200
3,442000	0,5	4,708200
3,450333	0,5	4,618700
3,458667	0,5	4,562500
3,467000	0,5	4,495200
3,475333	0,5	4,447050
3,483667	0,5	4,397950
3,492000	0,5	4,357950
3,500333	0,5	4,312150
3,508667	0,5	4,278950
3,517000	0,5	4,247300
3,525333	0,5	4,190500
3,533667	0,5	4,154400
3,542000	0,5	4,133150
3,550333	0,5	4,070900
3,558667	0,5	4,013350
3,567000	0,5	3,969600
3,575333	0,5	3,937150
3,583667	0,5	3,919150
3,592000	0,5	3,854400
3,600333	0,5	3,808100
3,608667	0,5	3,754750
3,617000	0,5	3,704700
3,625333	0,5	3,636800
3,633667	0,5	3,576750
3,642000	0,5	3,512450
3,650333	0,5	3,450900
3,658667	0,5	3,390400
3,667000	0,5	3,330950
3,675333	0,5	3,254200
3,683667	0,5	3,219650
3,692000	0,5	3,171500
3,700333	0,5	3,121800
3,708667	0,5	3,080100
3,717000	0,5	3,057900
3,725333	0,5	3,059950
3,733667	0,5	3,062500
3,742000	0,5	3,061750
3,750333	0,5	3,079200
3,758667	0,5	3,135650
3,767000	0,5	3,197550
3,775333	0,5	3,284350
3,783667	0,5	3,368100
3,792000	0,5	3,426350
3,800333	0,5	3,442500
3,808667	0,5	3,421400
3,817000	0,5	3,358350
3,825333	0,5	3,262650
3,833667	0,5	3,176600
3,842000	0,5	3,067850
3,850333	0,5	2,966100
3,858667	0,5	2,885650
3,867000	0,5	2,827000
3,875333	0,5	2,806000
3,883667	0,5	2,759800
3,892000	0,5	2,710250
3,900333	0,5	2,673350
3,908667	0,5	2,641250
3,917000	0,5	2,610400
3,925333	0,5	2,580600
3,933667	0,5	2,552000
3,942000	0,5	2,514100
3,950333	0,5	2,494200
3,958667	0,5	2,475100
3,967000	0,5	2,463250
3,975333	0,5	2,433950
3,983667	0,5	2,451550
3,992000	0,5	2,419200
4,000333	0,5	2,424200
4,008667	0,5	2,422050
4,017000	0,5	2,443750
4,025333	0,5	2,464100
4,033667	0,5	2,445950
4,042000	0,5	2,412400
4,050333	0,5	2,380800
4,058667	0,5	2,343900
4,067000	0,5	2,304950
4,075333	0,5	2,268200
4,083667	0,5	2,239450
4,092000	0,5	2,214800
4,100333	0,5	2,192400
4,108667	0,5	2,181550
4,117000	0,5	2,162750
4,125333	0,5	2,166700
4,133667	0,5	2,163000
4,142000	0,5	2,142900
4,150333	0,5	2,130050
4,158667	0,5	2,132150
4,167000	0,5	2,157950
4,175333	0,5	2,180650
4,183667	0,5	2,188500
4,192000	0,5	2,222100
4,200333	0,5	2,266400
4,208667	0,5	2,340300
4,217000	0,5	2,429300
4,225333	0,5	2,558000
4,233667	0,5	2,714200
4,242000	0,5	2,913300
4,250333	0,5	3,164800
4,258667	0,5	3,466150
4,267000	0,5	3,843500
4,275333	0,5	4,335250
4,283667	0,5	4,906900
4,292000	0,5	5,634200
4,300333	0,5	6,595300
4,308667	0,5	7,837050
4,317000	0,5	9,456000
4,325333	0,5	11,430850
4,333667	0,5	13,757700
4,342000	0,5	16,296600
4,350333	0,5	18,860500
4,358667	0,5	21,118850
4,367000	0,5	22,818300
4,375333	0,5	23,719850
4,383667	0,5	23,733300
4,392000	0,5	22,912000
4,400333	0,5	21,407200
4,408667	0,5	19,438850
4,417000	0,5	17,233100
4,425333	0,5	15,035600
4,433667	0,5	12,950250
4,442000	0,5	11,104650
4,450333	0,5	9,554050
4,458667	0,5	8,288950
4,467000	0,5	7,297250
4,475333	0,5	6,490500
4,483667	0,5	5,850400
4,492000	0,5	5,357250
4,500333	0,5	4,963700
4,508667	0,5	4,655600
4,517000	0,5	4,394250
4,525333	0,5	4,179750
4,533667	0,5	3,978850
4,542000	0,5	3,813700
4,550333	0,5	3,661500
4,558667	0,5	3,525550
4,567000	0,5	3,411400
4,575333	0,5	3,328450
4,583667	0,5	3,249700
4,592000	0,5	3,206600
4,600333	0,5	3,200050
4,608667	0,5	3,236250
4,617000	0,5	3,275450
4,625333	0,5	3,283600
4,633667	0,5	3,310750
4,642000	0,5	3,307150
4,650333	0,5	3,279250
4,658667	0,5	3,205200
4,667000	0,5	3,114050
4,675333	0,5	2,999500
4,683667	0,5	2,884650
4,692000	0,5	2,765700
4,700333	0,5	2,655200
4,708667	0,5	2,537300
