File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/601.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_CelS2
Injection Number	12
Position	RA6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	18:07:34
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-5,963800
Signal Max.	255,110054
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,065100
0,008500	0,5	-0,128450
0,016833	0,5	-0,120700
0,025167	0,5	-0,114800
0,033500	0,5	-0,091750
0,041833	0,5	-0,077350
0,050167	0,5	-0,060550
0,058500	0,5	-0,057500
0,066833	0,5	-0,049100
0,075167	0,5	-0,039550
0,083500	0,5	-0,073000
0,091833	0,5	-0,029150
0,100167	0,5	-0,049950
0,108500	0,5	-0,068800
0,116833	0,5	-0,063500
0,125167	0,5	-0,046700
0,133500	0,5	0,001050
0,141833	0,5	0,036600
0,150167	0,5	0,018750
0,158500	0,5	0,031950
0,166833	0,5	0,021700
0,175167	0,5	0,037800
0,183500	0,5	0,017750
0,191833	0,5	0,025550
0,200167	0,5	0,008050
0,208500	0,5	0,006050
0,216833	0,5	0,009600
0,225167	0,5	-0,031750
0,233500	0,5	-0,040700
0,241833	0,5	0,006850
0,250167	0,5	-0,018550
0,258500	0,5	-0,036450
0,266833	0,5	-0,022550
0,275167	0,5	0,001400
0,283500	0,5	0,068450
0,291833	0,5	0,045650
0,300167	0,5	0,060650
0,308500	0,5	0,079050
0,316833	0,5	0,082950
0,325167	0,5	0,021050
0,333500	0,5	0,016050
0,341833	0,5	0,013400
0,350167	0,5	0,017150
0,358500	0,5	0,017400
0,366833	0,5	0,019450
0,375167	0,5	-0,009900
0,383500	0,5	-0,000800
0,391833	0,5	0,022800
0,400167	0,5	-0,001400
0,408500	0,5	-0,008150
0,416833	0,5	0,006050
0,425167	0,5	0,039400
0,433500	0,5	0,083100
0,441833	0,5	0,057700
0,450167	0,5	0,031500
0,458500	0,5	0,044150
0,466833	0,5	0,037750
0,475167	0,5	0,057050
0,483500	0,5	0,048850
0,491833	0,5	0,045600
0,500167	0,5	0,026400
0,508500	0,5	0,039300
0,516833	0,5	0,039400
0,525167	0,5	0,023000
0,533500	0,5	0,042750
0,541833	0,5	0,040200
0,550167	0,5	0,013550
0,558500	0,5	0,005400
0,566833	0,5	0,020750
0,575167	0,5	0,081750
0,583500	0,5	0,098300
0,591833	0,5	0,057950
0,600167	0,5	0,061650
0,608500	0,5	0,071500
0,616833	0,5	0,066900
0,625167	0,5	0,060050
0,633500	0,5	0,073750
0,641833	0,5	0,054800
0,650167	0,5	0,064950
0,658500	0,5	0,055600
0,666833	0,5	0,065150
0,675167	0,5	0,033850
0,683500	0,5	0,081500
0,691833	0,5	0,037350
0,700167	0,5	0,038050
0,708500	0,5	0,030050
0,716833	0,5	0,066600
0,725167	0,5	0,125250
0,733500	0,5	0,118600
0,741833	0,5	0,091000
0,750167	0,5	0,088900
0,758500	0,5	0,090550
0,766833	0,5	0,100950
0,775167	0,5	0,107550
0,783500	0,5	0,097050
0,791833	0,5	0,095350
0,800167	0,5	0,091350
0,808500	0,5	0,097450
0,816833	0,5	0,059650
0,825167	0,5	0,050550
0,833500	0,5	0,074350
0,841833	0,5	0,057000
0,850167	0,5	0,049250
0,858500	0,5	0,059350
0,866833	0,5	0,098000
0,875167	0,5	0,164250
0,883500	0,5	0,148350
0,891833	0,5	0,150450
0,900167	0,5	0,132200
0,908500	0,5	0,144100
0,916833	0,5	0,135000
0,925167	0,5	0,136900
0,933500	0,5	0,128800
0,941833	0,5	0,112150
0,950167	0,5	0,120700
0,958500	0,5	0,104350
0,966833	0,5	0,107050
0,975167	0,5	0,122950
0,983500	0,5	0,130300
0,991833	0,5	0,093150
1,000167	0,5	0,102950
1,008500	0,5	0,107300
1,016833	0,5	0,166700
1,025167	0,5	0,196450
1,033500	0,5	0,199850
1,041833	0,5	0,164150
1,050167	0,5	0,177200
1,058500	0,5	0,156000
1,066833	0,5	0,173900
1,075167	0,5	0,168800
1,083500	0,5	0,163300
1,091833	0,5	0,159200
1,100167	0,5	0,166250
1,108500	0,5	0,155150
1,116833	0,5	0,144450
1,125167	0,5	0,183350
1,133500	0,5	0,162750
1,141833	0,5	0,140550
1,150167	0,5	0,147700
1,158500	0,5	0,161100
1,166833	0,5	0,223450
1,175167	0,5	0,239950
1,183500	0,5	0,204350
1,191833	0,5	0,219300
1,200167	0,5	0,213600
1,208500	0,5	0,222750
1,216833	0,5	0,213000
1,225167	0,5	0,214950
1,233500	0,5	0,202100
1,241833	0,5	0,207800
1,250167	0,5	0,211700
1,258500	0,5	0,183450
1,266833	0,5	0,183200
1,275167	0,5	0,232050
1,283500	0,5	0,191300
1,291833	0,5	0,182200
1,300167	0,5	0,195500
1,308500	0,5	0,218600
1,316833	0,5	0,281100
1,325167	0,5	0,246900
1,333500	0,5	0,251850
1,341833	0,5	0,245700
1,350167	0,5	0,257600
1,358500	0,5	0,240350
1,366833	0,5	0,262050
1,375167	0,5	0,250900
1,383500	0,5	0,253950
1,391833	0,5	0,256000
1,400167	0,5	0,265000
1,408500	0,5	0,240200
1,416833	0,5	0,258300
1,425167	0,5	0,270500
1,433500	0,5	0,252950
1,441833	0,5	0,242450
1,450167	0,5	0,258600
1,458500	0,5	0,299750
1,466833	0,5	0,341600
1,475167	0,5	0,310550
1,483500	0,5	0,301050
1,491833	0,5	0,305900
1,500167	0,5	0,303900
1,508500	0,5	0,303050
1,516833	0,5	0,303750
1,525167	0,5	0,311800
1,533500	0,5	0,299000
1,541833	0,5	0,313300
1,550167	0,5	0,319400
1,558500	0,5	0,318050
1,566833	0,5	0,318000
1,575167	0,5	0,152750
1,583500	0,5	-0,370150
1,591833	0,5	-1,372450
1,600167	0,5	-2,212450
1,608500	0,5	-1,831300
1,616833	0,5	-0,036850
1,625167	0,5	2,078550
1,633500	0,5	4,311800
1,641833	0,5	7,181200
1,650167	0,5	10,196350
1,658500	0,5	12,023050
1,666833	0,5	12,076950
1,675167	0,5	11,059150
1,683500	0,5	9,843100
1,691833	0,5	8,709650
1,700167	0,5	7,736000
1,708500	0,5	6,831000
1,716833	0,5	6,138150
1,725167	0,5	5,512800
1,733500	0,5	5,112800
1,741833	0,5	4,829650
1,750167	0,5	4,578750
1,758500	0,5	4,243450
1,766833	0,5	3,807650
1,775167	0,5	3,390600
1,783500	0,5	3,138150
1,791833	0,5	3,034350
1,800167	0,5	3,126250
1,808500	0,5	3,320100
1,816833	0,5	3,476600
1,825167	0,5	3,474400
1,833500	0,5	3,357950
1,841833	0,5	3,207400
1,850167	0,5	3,011350
1,858500	0,5	2,863050
1,866833	0,5	2,734500
1,875167	0,5	2,546750
1,883500	0,5	2,427850
1,891833	0,5	2,330550
1,900167	0,5	2,261050
1,908500	0,5	2,216950
1,916833	0,5	2,118600
1,925167	0,5	2,048850
1,933500	0,5	1,970050
1,941833	0,5	1,953300
1,950167	0,5	1,965850
1,958500	0,5	2,146900
1,966833	0,5	2,387750
1,975167	0,5	2,577200
1,983500	0,5	2,570450
1,991833	0,5	2,392850
2,000167	0,5	2,289200
2,008500	0,5	2,491150
2,016833	0,5	3,213450
2,025167	0,5	4,900800
2,033500	0,5	8,590250
2,041833	0,5	16,595300
2,050167	0,5	31,406150
