File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/919.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_Avi_WT
Injection Number	18
Position	RB4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	21:00:14
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,021850
Signal Max.	615,283809
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,009100
0,008667	0,5	-0,097650
0,017000	0,5	-0,100600
0,025333	0,5	-0,092750
0,033667	0,5	-0,077650
0,042000	0,5	-0,075050
0,050333	0,5	-0,041800
0,058667	0,5	-0,047600
0,067000	0,5	-0,050050
0,075333	0,5	-0,021450
0,083667	0,5	-0,030100
0,092000	0,5	-0,054550
0,100333	0,5	-0,048400
0,108667	0,5	-0,032600
0,117000	0,5	0,012650
0,125333	0,5	0,024500
0,133667	0,5	0,017600
0,142000	0,5	-0,005600
0,150333	0,5	0,007750
0,158667	0,5	0,001050
0,167000	0,5	-0,000550
0,175333	0,5	-0,008100
0,183667	0,5	-0,014400
0,192000	0,5	-0,011000
0,200333	0,5	-0,002650
0,208667	0,5	-0,011000
0,217000	0,5	-0,020550
0,225333	0,5	-0,010200
0,233667	0,5	-0,032850
0,242000	0,5	-0,040550
0,250333	0,5	-0,032100
0,258667	0,5	-0,002400
0,267000	0,5	0,009350
0,275333	0,5	0,024700
0,283667	0,5	-0,005000
0,292000	0,5	0,006500
0,300333	0,5	0,002800
0,308667	0,5	0,047750
0,317000	0,5	0,054550
0,325333	0,5	0,012500
0,333667	0,5	-0,029050
0,342000	0,5	-0,034750
0,350333	0,5	-0,030700
0,358667	0,5	-0,041850
0,367000	0,5	-0,036400
0,375333	0,5	-0,020550
0,383667	0,5	-0,044150
0,392000	0,5	-0,049000
0,400333	0,5	-0,045200
0,408667	0,5	-0,011750
0,417000	0,5	0,010650
0,425333	0,5	-0,012200
0,433667	0,5	-0,007650
0,442000	0,5	-0,012850
0,450333	0,5	-0,013600
0,458667	0,5	-0,022900
0,467000	0,5	-0,020700
0,475333	0,5	-0,028850
0,483667	0,5	-0,029500
0,492000	0,5	-0,036650
0,500333	0,5	-0,047400
0,508667	0,5	-0,073600
0,517000	0,5	-0,038800
0,525333	0,5	-0,057000
0,533667	0,5	-0,062150
0,542000	0,5	-0,066050
0,550333	0,5	-0,056700
0,558667	0,5	0,003200
0,567000	0,5	-0,006200
0,575333	0,5	-0,021800
0,583667	0,5	-0,027750
0,592000	0,5	-0,026950
0,600333	0,5	-0,029800
0,608667	0,5	-0,026200
0,617000	0,5	-0,032800
0,625333	0,5	-0,038950
0,633667	0,5	-0,044700
0,642000	0,5	-0,039100
0,650333	0,5	-0,059400
0,658667	0,5	-0,056800
0,667000	0,5	-0,030850
0,675333	0,5	-0,054500
0,683667	0,5	-0,061150
0,692000	0,5	-0,059800
0,700333	0,5	-0,049950
0,708667	0,5	-0,005050
0,717000	0,5	-0,025950
0,725333	0,5	-0,032650
0,733667	0,5	-0,037950
0,742000	0,5	-0,037150
0,750333	0,5	-0,044350
0,758667	0,5	-0,033350
0,767000	0,5	-0,039000
0,775333	0,5	-0,048000
0,783667	0,5	-0,047200
0,792000	0,5	-0,043450
0,800333	0,5	-0,042400
0,808667	0,5	-0,056100
0,817000	0,5	-0,022150
0,825333	0,5	-0,062700
0,833667	0,5	-0,064550
0,842000	0,5	-0,068800
0,850333	0,5	-0,044550
0,858667	0,5	0,002750
0,867000	0,5	-0,017150
0,875333	0,5	-0,039450
0,883667	0,5	-0,034950
0,892000	0,5	-0,041400
0,900333	0,5	-0,042000
0,908667	0,5	-0,041950
0,917000	0,5	-0,042600
0,925333	0,5	-0,051050
0,933667	0,5	-0,049100
0,942000	0,5	-0,040100
0,950333	0,5	-0,068250
0,958667	0,5	-0,046600
0,967000	0,5	-0,039800
0,975333	0,5	-0,063850
0,983667	0,5	-0,065400
0,992000	0,5	-0,052800
1,000333	0,5	-0,031550
1,008667	0,5	-0,004900
1,017000	0,5	-0,030300
1,025333	0,5	-0,025600
1,033667	0,5	-0,038300
1,042000	0,5	-0,030850
1,050333	0,5	-0,042600
1,058667	0,5	-0,020950
1,067000	0,5	-0,041600
1,075333	0,5	-0,043850
1,083667	0,5	-0,037850
1,092000	0,5	-0,055050
1,100333	0,5	-0,068850
1,108667	0,5	-0,056700
1,117000	0,5	-0,062900
1,125333	0,5	-0,075700
1,133667	0,5	-0,071600
1,142000	0,5	-0,055150
1,150333	0,5	-0,017200
1,158667	0,5	0,007300
1,167000	0,5	0,000400
1,175333	0,5	-0,015250
1,183667	0,5	-0,013900
1,192000	0,5	-0,030350
1,200333	0,5	-0,027500
1,208667	0,5	-0,035750
1,217000	0,5	-0,034850
1,225333	0,5	-0,034900
1,233667	0,5	-0,038500
1,242000	0,5	-0,051400
1,250333	0,5	-0,042050
1,258667	0,5	-0,030300
1,267000	0,5	-0,038100
1,275333	0,5	-0,052650
1,283667	0,5	-0,050450
