File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/698.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_2a
Injection Number	40
Position	RD8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	07:33:13
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,663200
Signal Max.	1 930,717829
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,015650
0,008667	0,5	-0,110100
0,017000	0,5	-0,110400
0,025333	0,5	-0,108200
0,033667	0,5	-0,089450
0,042000	0,5	-0,084300
0,050333	0,5	-0,076900
0,058667	0,5	-0,076600
0,067000	0,5	-0,048600
0,075333	0,5	-0,064950
0,083667	0,5	-0,011050
0,092000	0,5	-0,022750
0,100333	0,5	-0,044200
0,108667	0,5	-0,058650
0,117000	0,5	-0,047900
0,125333	0,5	-0,017050
0,133667	0,5	0,002250
0,142000	0,5	-0,013650
0,150333	0,5	-0,013250
0,158667	0,5	-0,020850
0,167000	0,5	-0,020200
0,175333	0,5	-0,028600
0,183667	0,5	-0,013800
0,192000	0,5	-0,022350
0,200333	0,5	-0,031550
0,208667	0,5	-0,019300
0,217000	0,5	-0,029400
0,225333	0,5	-0,037600
0,233667	0,5	-0,001750
0,242000	0,5	-0,024500
0,250333	0,5	-0,047450
0,258667	0,5	-0,046200
0,267000	0,5	-0,043400
0,275333	0,5	0,015050
0,283667	0,5	0,010200
0,292000	0,5	-0,004500
0,300333	0,5	-0,012650
0,308667	0,5	0,042750
0,317000	0,5	0,052900
0,325333	0,5	0,005550
0,333667	0,5	-0,035950
0,342000	0,5	-0,045650
0,350333	0,5	-0,044900
0,358667	0,5	-0,044200
0,367000	0,5	-0,015450
0,375333	0,5	-0,028800
0,383667	0,5	0,016700
0,392000	0,5	-0,032300
0,400333	0,5	-0,038700
0,408667	0,5	-0,045700
0,417000	0,5	-0,035450
0,425333	0,5	-0,000500
0,433667	0,5	-0,009400
0,442000	0,5	-0,031250
0,450333	0,5	-0,026400
0,458667	0,5	-0,034450
0,467000	0,5	-0,027500
0,475333	0,5	-0,032000
0,483667	0,5	-0,025200
0,492000	0,5	-0,036500
0,500333	0,5	-0,036050
0,508667	0,5	-0,018100
0,517000	0,5	-0,017800
0,525333	0,5	-0,025100
0,533667	0,5	-0,000900
0,542000	0,5	-0,036500
0,550333	0,5	-0,041650
0,558667	0,5	-0,037400
0,567000	0,5	-0,015900
0,575333	0,5	0,022850
0,583667	0,5	0,011800
0,592000	0,5	0,011450
0,600333	0,5	-0,004350
0,608667	0,5	0,001250
0,617000	0,5	-0,012950
0,625333	0,5	-0,004150
0,633667	0,5	-0,014450
0,642000	0,5	-0,014000
0,650333	0,5	-0,011850
0,658667	0,5	-0,006150
