File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/104.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_2b
Injection Number	46
Position	RE6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	10:25:50
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,007650
Signal Max.	2 027,786730
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,058450
0,008667	0,5	-0,110500
0,017000	0,5	-0,105000
0,025333	0,5	-0,091450
0,033667	0,5	-0,085900
0,042000	0,5	-0,065900
0,050333	0,5	-0,067300
0,058667	0,5	-0,050500
0,067000	0,5	-0,032250
0,075333	0,5	-0,040450
0,083667	0,5	-0,070350
0,092000	0,5	-0,012050
0,100333	0,5	-0,045500
0,108667	0,5	-0,046600
0,117000	0,5	-0,045400
0,125333	0,5	-0,027650
0,133667	0,5	0,022400
0,142000	0,5	0,000600
0,150333	0,5	-0,000700
0,158667	0,5	-0,010600
0,167000	0,5	0,011800
0,175333	0,5	-0,002050
0,183667	0,5	0,004300
0,192000	0,5	-0,001800
0,200333	0,5	-0,011400
0,208667	0,5	-0,011300
0,217000	0,5	-0,008050
0,225333	0,5	-0,029550
0,233667	0,5	-0,035000
0,242000	0,5	-0,016250
0,250333	0,5	-0,037400
0,258667	0,5	-0,039650
0,267000	0,5	-0,021550
0,275333	0,5	0,002200
0,283667	0,5	0,033450
0,292000	0,5	0,028250
0,300333	0,5	0,035750
0,308667	0,5	0,087750
0,317000	0,5	0,069850
0,325333	0,5	0,010250
0,333667	0,5	-0,014900
0,342000	0,5	-0,014500
0,350333	0,5	-0,024750
0,358667	0,5	-0,014450
0,367000	0,5	-0,017200
0,375333	0,5	-0,018750
0,383667	0,5	-0,024800
0,392000	0,5	-0,019600
0,400333	0,5	-0,046800
0,408667	0,5	-0,048050
0,417000	0,5	-0,039600
0,425333	0,5	-0,005250
0,433667	0,5	0,025800
0,442000	0,5	0,011450
0,450333	0,5	-0,004900
0,458667	0,5	0,004150
0,467000	0,5	-0,001300
0,475333	0,5	-0,002450
0,483667	0,5	-0,002800
0,492000	0,5	-0,013550
0,500333	0,5	-0,013550
0,508667	0,5	-0,019850
0,517000	0,5	-0,031150
0,525333	0,5	-0,046700
0,533667	0,5	-0,033700
0,542000	0,5	-0,039700
0,550333	0,5	-0,044700
0,558667	0,5	-0,043950
0,567000	0,5	-0,012050
0,575333	0,5	0,015050
0,583667	0,5	0,028350
0,592000	0,5	0,010700
0,600333	0,5	0,016650
0,608667	0,5	0,006400
0,617000	0,5	0,010200
0,625333	0,5	0,005450
0,633667	0,5	0,007600
0,642000	0,5	-0,003150
0,650333	0,5	-0,001400
0,658667	0,5	0,009750
0,667000	0,5	-0,010700
0,675333	0,5	-0,000350
0,683667	0,5	0,013950
0,692000	0,5	-0,007300
0,700333	0,5	-0,019650
0,708667	0,5	-0,010850
0,717000	0,5	0,010850
0,725333	0,5	0,049750
0,733667	0,5	0,041050
0,742000	0,5	0,057000
0,750333	0,5	0,040800
0,758667	0,5	0,048400
0,767000	0,5	0,033050
0,775333	0,5	0,047550
0,783667	0,5	0,044150
0,792000	0,5	0,040350
0,800333	0,5	0,042850
0,808667	0,5	0,039000
0,817000	0,5	0,035950
0,825333	0,5	0,056550
0,833667	0,5	0,054300
0,842000	0,5	0,042200
0,850333	0,5	0,036650
0,858667	0,5	0,047850
0,867000	0,5	0,091850
0,875333	0,5	0,107150
0,883667	0,5	0,100250
0,892000	0,5	0,082900
0,900333	0,5	0,092700
0,908667	0,5	0,083100
0,917000	0,5	0,092650
0,925333	0,5	0,090250
0,933667	0,5	0,094950
0,942000	0,5	0,089650
0,950333	0,5	0,096950
0,958667	0,5	0,109250
0,967000	0,5	0,098950
0,975333	0,5	0,138950
0,983667	0,5	0,116200
0,992000	0,5	0,104850
1,000333	0,5	0,103200
1,008667	0,5	0,114450
1,017000	0,5	0,154850
1,025333	0,5	0,161250
1,033667	0,5	0,143700
1,042000	0,5	0,152050
1,050333	0,5	0,150300
1,058667	0,5	0,153500
1,067000	0,5	0,147200
1,075333	0,5	0,169100
1,083667	0,5	0,159250
1,092000	0,5	0,163200
1,100333	0,5	0,169300
1,108667	0,5	0,173900
1,117000	0,5	0,162450
1,125333	0,5	0,208800
1,133667	0,5	0,173950
1,142000	0,5	0,181250
1,150333	0,5	0,185550
1,158667	0,5	0,202100
1,167000	0,5	0,253300
1,175333	0,5	0,245200
1,183667	0,5	0,243850
1,192000	0,5	0,238800
1,200333	0,5	0,243800
1,208667	0,5	0,242200
1,217000	0,5	0,256500
1,225333	0,5	0,266050
1,233667	0,5	0,267950
1,242000	0,5	0,270950
1,250333	0,5	0,283150
1,258667	0,5	0,276300
1,267000	0,5	0,288950
1,275333	0,5	0,318900
1,283667	0,5	0,302450
1,292000	0,5	0,302650
1,300333	0,5	0,323300
1,308667	0,5	0,342850
1,317000	0,5	0,388150
1,325333	0,5	0,382000
1,333667	0,5	0,382150
1,342000	0,5	0,390650
1,350333	0,5	0,397850
1,358667	0,5	0,398150
1,367000	0,5	0,407700
1,375333	0,5	0,424950
1,383667	0,5	0,420950
1,392000	0,5	0,440000
1,400333	0,5	0,441850
1,408667	0,5	0,453450
1,417000	0,5	0,468950
1,425333	0,5	0,475900
1,433667	0,5	0,458850
1,442000	0,5	0,472950
1,450333	0,5	0,483100
1,458667	0,5	0,529800
1,467000	0,5	0,552450
1,475333	0,5	0,560800
1,483667	0,5	0,553000
1,492000	0,5	0,561450
1,500333	0,5	0,555200
1,508667	0,5	0,570000
1,517000	0,5	0,577150
1,525333	0,5	0,577400
1,533667	0,5	0,585450
1,542000	0,5	0,592900
1,550333	0,5	0,609000
1,558667	0,5	0,607250
1,567000	0,5	0,623300
1,575333	0,5	0,553500
1,583667	0,5	0,258300
1,592000	0,5	-0,530900
1,600333	0,5	-1,190850
1,608667	0,5	-0,287200
1,617000	0,5	2,395250
1,625333	0,5	5,900850
1,633667	0,5	10,554350
