File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/503.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_3a
Injection Number	52
Position	GA4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	13:18:35
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,165750
Signal Max.	1 718,099076
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	0,016950
0,008667	0,5	-0,051600
0,017000	0,5	-0,055000
0,025333	0,5	-0,044850
0,033667	0,5	-0,025200
0,042000	0,5	-0,012300
0,050333	0,5	-0,013300
0,058667	0,5	-0,018150
0,067000	0,5	-0,008300
0,075333	0,5	-0,013400
0,083667	0,5	0,000350
0,092000	0,5	-0,004900
0,100333	0,5	0,023850
0,108667	0,5	0,013850
0,117000	0,5	0,050850
0,125333	0,5	0,015550
0,133667	0,5	0,004150
0,142000	0,5	0,005850
0,150333	0,5	0,029500
0,158667	0,5	0,058200
0,167000	0,5	0,038600
0,175333	0,5	0,022600
0,183667	0,5	0,032050
0,192000	0,5	0,021350
0,200333	0,5	0,036250
0,208667	0,5	0,029750
0,217000	0,5	0,026550
0,225333	0,5	0,025250
0,233667	0,5	0,026650
0,242000	0,5	0,042350
0,250333	0,5	0,010850
0,258667	0,5	0,029650
0,267000	0,5	0,027400
0,275333	0,5	0,013600
0,283667	0,5	0,004400
0,292000	0,5	0,021350
0,300333	0,5	0,053400
0,308667	0,5	0,118850
0,317000	0,5	0,111100
0,325333	0,5	0,070050
0,333667	0,5	0,034250
0,342000	0,5	0,029300
0,350333	0,5	0,019850
0,358667	0,5	0,027300
0,367000	0,5	0,020000
0,375333	0,5	0,010100
0,383667	0,5	0,017800
0,392000	0,5	0,011600
0,400333	0,5	0,003100
0,408667	0,5	0,043300
0,417000	0,5	0,013500
0,425333	0,5	0,000900
0,433667	0,5	0,003700
0,442000	0,5	0,008650
0,450333	0,5	0,062750
0,458667	0,5	0,054650
0,467000	0,5	0,045050
0,475333	0,5	0,031600
0,483667	0,5	0,038600
0,492000	0,5	0,026250
0,500333	0,5	0,037200
0,508667	0,5	0,034850
0,517000	0,5	0,031900
0,525333	0,5	0,035650
0,533667	0,5	0,040450
0,542000	0,5	0,030150
0,550333	0,5	0,021500
0,558667	0,5	0,043950
0,567000	0,5	0,018700
0,575333	0,5	0,014550
0,583667	0,5	0,017050
0,592000	0,5	0,042500
0,600333	0,5	0,092450
0,608667	0,5	0,096850
0,617000	0,5	0,073100
0,625333	0,5	0,076400
0,633667	0,5	0,068800
0,642000	0,5	0,068600
0,650333	0,5	0,064200
0,658667	0,5	0,069350
0,667000	0,5	0,054950
0,675333	0,5	0,059250
0,683667	0,5	0,053650
0,692000	0,5	0,047900
0,700333	0,5	0,057700
0,708667	0,5	0,078300
0,717000	0,5	0,050700
0,725333	0,5	0,052200
0,733667	0,5	0,055650
0,742000	0,5	0,085850
0,750333	0,5	0,118750
0,758667	0,5	0,107150
0,767000	0,5	0,106750
0,775333	0,5	0,106450
0,783667	0,5	0,106400
0,792000	0,5	0,102650
0,800333	0,5	0,118600
0,808667	0,5	0,106600
0,817000	0,5	0,111950
0,825333	0,5	0,107050
0,833667	0,5	0,100600
0,842000	0,5	0,085400
0,850333	0,5	0,114100
0,858667	0,5	0,097050
0,867000	0,5	0,091950
0,875333	0,5	0,098550
0,883667	0,5	0,118450
0,892000	0,5	0,156750
0,900333	0,5	0,180750
0,908667	0,5	0,170700
0,917000	0,5	0,164600
0,925333	0,5	0,160150
0,933667	0,5	0,161250
0,942000	0,5	0,167100
0,950333	0,5	0,164500
0,958667	0,5	0,160650
0,967000	0,5	0,155050
0,975333	0,5	0,169100
0,983667	0,5	0,148550
0,992000	0,5	0,151100
1,000333	0,5	0,187400
1,008667	0,5	0,172000
1,017000	0,5	0,156350
1,025333	0,5	0,169750
1,033667	0,5	0,179650
1,042000	0,5	0,219350
1,050333	0,5	0,211400
1,058667	0,5	0,214200
1,067000	0,5	0,206300
1,075333	0,5	0,219600
1,083667	0,5	0,211750
1,092000	0,5	0,217200
1,100333	0,5	0,223100
1,108667	0,5	0,220550
1,117000	0,5	0,233000
1,125333	0,5	0,229100
1,133667	0,5	0,229600
1,142000	0,5	0,239950
1,150333	0,5	0,260350
1,158667	0,5	0,240250
1,167000	0,5	0,238500
1,175333	0,5	0,251300
1,183667	0,5	0,285400
1,192000	0,5	0,305900
1,200333	0,5	0,313750
1,208667	0,5	0,299150
1,217000	0,5	0,312100
1,225333	0,5	0,304600
1,233667	0,5	0,312850
1,242000	0,5	0,320050
1,250333	0,5	0,324900
1,258667	0,5	0,331700
1,267000	0,5	0,341050
1,275333	0,5	0,349050
1,283667	0,5	0,331350
1,292000	0,5	0,359000
1,300333	0,5	0,366050
1,308667	0,5	0,367800
1,317000	0,5	0,370950
1,325333	0,5	0,391800
1,333667	0,5	0,423200
1,342000	0,5	0,452850
1,350333	0,5	0,431600
1,358667	0,5	0,452850
1,367000	0,5	0,464150
1,375333	0,5	0,471250
1,383667	0,5	0,472000
1,392000	0,5	0,487800
1,400333	0,5	0,496650
1,408667	0,5	0,505100
1,417000	0,5	0,521350
1,425333	0,5	0,513500
1,433667	0,5	0,499700
1,442000	0,5	0,548950
1,450333	0,5	0,530650
1,458667	0,5	0,542200
1,467000	0,5	0,545100
1,475333	0,5	0,572950
1,483667	0,5	0,624250
1,492000	0,5	0,618100
1,500333	0,5	0,636650
1,508667	0,5	0,632600
1,517000	0,5	0,642600
1,525333	0,5	0,630500
1,533667	0,5	0,650000
1,542000	0,5	0,650350
1,550333	0,5	0,662450
1,558667	0,5	0,666650
1,567000	0,5	0,678150
1,575333	0,5	0,637950
1,583667	0,5	0,449400
1,592000	0,5	-0,170600
1,600333	0,5	-1,052750
1,608667	0,5	-0,856500
1,617000	0,5	1,269200
1,625333	0,5	4,527900
1,633667	0,5	8,702400
1,642000	0,5	14,031200
1,650333	0,5	18,928900
1,658667	0,5	21,092750
1,667000	0,5	20,420450
1,675333	0,5	18,534550
1,683667	0,5	16,571850
1,692000	0,5	14,839200
1,700333	0,5	13,497000
1,708667	0,5	13,015000
1,717000	0,5	14,548000
1,725333	0,5	20,207950
1,733667	0,5	29,489800
1,742000	0,5	35,931601
1,750333	0,5	34,244051
1,758667	0,5	27,492350
1,767000	0,5	20,872700
1,775333	0,5	16,297500
1,783667	0,5	13,521900
1,792000	0,5	12,086500
1,800333	0,5	11,754350
1,808667	0,5	11,975600
1,817000	0,5	11,959250
1,825333	0,5	11,434400
1,833667	0,5	10,639500
1,842000	0,5	9,801600
1,850333	0,5	9,040050
1,858667	0,5	8,339100
1,867000	0,5	7,688000
1,875333	0,5	7,076350
1,883667	0,5	6,599350
1,892000	0,5	6,162050
1,900333	0,5	5,786400
1,908667	0,5	5,461800
1,917000	0,5	5,175600
1,925333	0,5	4,935950
1,933667	0,5	4,730300
1,942000	0,5	4,552100
1,950333	0,5	4,460850
1,958667	0,5	4,418150
1,967000	0,5	4,408250
1,975333	0,5	4,548450
1,983667	0,5	5,397700
1,992000	0,5	8,350300
2,000333	0,5	16,007150
2,008667	0,5	32,828350
2,017000	0,5	70,001001
2,025333	0,5	154,674402
2,033667	0,5	307,618605
2,042000	0,5	466,701257
2,050333	0,5	519,134208
2,058667	0,5	449,609557
2,067000	0,5	337,247455
2,075333	0,5	245,759404
2,083667	0,5	185,790753
2,092000	0,5	146,800852
2,100333	0,5	119,769702
