File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/493.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_3b
Injection Number	58
Position	GB2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	16:11:20
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,204950
Signal Max.	1 538,838023
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,060100
0,008500	0,5	-0,098000
0,016833	0,5	-0,087400
0,025167	0,5	-0,027850
0,033500	0,5	-0,016600
0,041833	0,5	-0,006400
0,050167	0,5	-0,007750
0,058500	0,5	0,002250
0,066833	0,5	-0,005800
0,075167	0,5	-0,000550
0,083500	0,5	-0,005300
0,091833	0,5	-0,006250
0,100167	0,5	-0,007750
0,108500	0,5	-0,012250
0,116833	0,5	-0,037200
0,125167	0,5	-0,002900
0,133500	0,5	-0,007350
0,141833	0,5	-0,025200
0,150167	0,5	-0,029300
0,158500	0,5	-0,023750
0,166833	0,5	0,013300
0,175167	0,5	0,038050
0,183500	0,5	0,039600
0,191833	0,5	0,026950
0,200167	0,5	0,026700
0,208500	0,5	0,022550
0,216833	0,5	0,020500
0,225167	0,5	0,021500
0,233500	0,5	0,017400
0,241833	0,5	0,012150
0,250167	0,5	0,013300
0,258500	0,5	-0,000300
0,266833	0,5	-0,010550
0,275167	0,5	0,001300
0,283500	0,5	0,000150
0,291833	0,5	-0,022250
0,300167	0,5	0,009350
0,308500	0,5	0,064150
0,316833	0,5	0,082150
0,325167	0,5	0,039650
0,333500	0,5	0,013150
0,341833	0,5	0,006300
0,350167	0,5	0,020900
0,358500	0,5	0,008250
0,366833	0,5	0,015250
0,375167	0,5	0,010650
0,383500	0,5	-0,001200
0,391833	0,5	-0,000850
0,400167	0,5	-0,006500
0,408500	0,5	-0,005750
0,416833	0,5	-0,012000
0,425167	0,5	0,040950
0,433500	0,5	0,006400
0,441833	0,5	-0,005150
0,450167	0,5	-0,004350
0,458500	0,5	0,014150
0,466833	0,5	0,046050
0,475167	0,5	0,037350
0,483500	0,5	0,019450
0,491833	0,5	0,036600
0,500167	0,5	0,028500
0,508500	0,5	0,032500
0,516833	0,5	0,030150
0,525167	0,5	0,047750
0,533500	0,5	0,040100
0,541833	0,5	0,038150
0,550167	0,5	0,043000
0,558500	0,5	0,020350
0,566833	0,5	0,031600
0,575167	0,5	0,054700
0,583500	0,5	0,030950
0,591833	0,5	0,023350
0,600167	0,5	0,044250
0,608500	0,5	0,061100
0,616833	0,5	0,106250
0,625167	0,5	0,088450
0,633500	0,5	0,094900
0,641833	0,5	0,086050
0,650167	0,5	0,097050
0,658500	0,5	0,095300
0,666833	0,5	0,100950
0,675167	0,5	0,093250
0,683500	0,5	0,096500
0,691833	0,5	0,097900
0,700167	0,5	0,090150
0,708500	0,5	0,074350
0,716833	0,5	0,094200
0,725167	0,5	0,106100
0,733500	0,5	0,100700
0,741833	0,5	0,092250
0,750167	0,5	0,110100
0,758500	0,5	0,149350
0,766833	0,5	0,162800
0,775167	0,5	0,155200
0,783500	0,5	0,146650
0,791833	0,5	0,157850
0,800167	0,5	0,142550
0,808500	0,5	0,155600
0,816833	0,5	0,152950
0,825167	0,5	0,163600
0,833500	0,5	0,155350
0,841833	0,5	0,162300
0,850167	0,5	0,162850
0,858500	0,5	0,153200
0,866833	0,5	0,174500
0,875167	0,5	0,163450
0,883500	0,5	0,150600
0,891833	0,5	0,156850
0,900167	0,5	0,177200
0,908500	0,5	0,221900
0,916833	0,5	0,238150
0,925167	0,5	0,233600
0,933500	0,5	0,237050
0,941833	0,5	0,233350
0,950167	0,5	0,234400
0,958500	0,5	0,229900
0,966833	0,5	0,244900
0,975167	0,5	0,232000
0,983500	0,5	0,242800
0,991833	0,5	0,235300
1,000167	0,5	0,226500
1,008500	0,5	0,220200
1,016833	0,5	0,255250
1,025167	0,5	0,240800
1,033500	0,5	0,250400
1,041833	0,5	0,255250
1,050167	0,5	0,287450
1,058500	0,5	0,318750
1,066833	0,5	0,320200
1,075167	0,5	0,318250
1,083500	0,5	0,326600
1,091833	0,5	0,326100
1,100167	0,5	0,328350
1,108500	0,5	0,333750
1,116833	0,5	0,338600
1,125167	0,5	0,345150
1,133500	0,5	0,353250
1,141833	0,5	0,360700
