File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/608.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_4a
Injection Number	26
Position	RC4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	00:50:24
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,804350
Signal Max.	1 879,466778
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,090150
0,008667	0,5	-0,132700
0,017000	0,5	-0,120600
0,025333	0,5	-0,118750
0,033667	0,5	-0,084100
0,042000	0,5	-0,084750
0,050333	0,5	-0,077500
0,058667	0,5	-0,068450
0,067000	0,5	-0,062750
0,075333	0,5	-0,086850
0,083667	0,5	-0,053900
0,092000	0,5	-0,059150
0,100333	0,5	-0,076800
0,108667	0,5	-0,075650
0,117000	0,5	-0,062650
0,125333	0,5	-0,026150
0,133667	0,5	0,005450
0,142000	0,5	-0,004450
0,150333	0,5	-0,027550
0,158667	0,5	-0,018250
0,167000	0,5	-0,033750
0,175333	0,5	-0,023350
0,183667	0,5	-0,035300
0,192000	0,5	-0,031150
0,200333	0,5	-0,041350
0,208667	0,5	-0,034650
0,217000	0,5	-0,034000
0,225333	0,5	-0,039800
0,233667	0,5	-0,012950
0,242000	0,5	-0,033700
0,250333	0,5	-0,052250
0,258667	0,5	-0,052950
0,267000	0,5	-0,032900
0,275333	0,5	-0,007300
0,283667	0,5	0,005200
0,292000	0,5	-0,017250
0,300333	0,5	0,021750
0,308667	0,5	0,059300
0,317000	0,5	0,027050
0,325333	0,5	-0,023500
0,333667	0,5	-0,039500
0,342000	0,5	-0,048850
0,350333	0,5	-0,049450
0,358667	0,5	-0,048700
0,367000	0,5	-0,054400
0,375333	0,5	-0,062750
0,383667	0,5	-0,040550
0,392000	0,5	-0,068700
0,400333	0,5	-0,072600
0,408667	0,5	-0,075300
0,417000	0,5	-0,036050
0,425333	0,5	-0,006100
0,433667	0,5	-0,004600
0,442000	0,5	-0,009750
0,450333	0,5	-0,018150
0,458667	0,5	-0,022900
0,467000	0,5	-0,033650
0,475333	0,5	-0,034900
0,483667	0,5	-0,042100
0,492000	0,5	-0,043450
0,500333	0,5	-0,048500
0,508667	0,5	-0,053100
0,517000	0,5	-0,077850
0,525333	0,5	-0,061400
0,533667	0,5	-0,060700
0,542000	0,5	-0,067400
