File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/918.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_4b
Injection Number	32
Position	RD2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	03:43:02
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,832650
Signal Max.	2 015,194680
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,013400
0,008667	0,5	-0,131350
0,017000	0,5	-0,121100
0,025333	0,5	-0,112500
0,033667	0,5	-0,090250
0,042000	0,5	-0,077400
0,050333	0,5	-0,078300
0,058667	0,5	-0,064850
0,067000	0,5	-0,068150
0,075333	0,5	-0,063150
0,083667	0,5	-0,048900
0,092000	0,5	-0,037200
0,100333	0,5	-0,072800
0,108667	0,5	-0,062850
0,117000	0,5	-0,064550
0,125333	0,5	-0,019850
0,133667	0,5	-0,002200
0,142000	0,5	-0,006100
0,150333	0,5	-0,026800
0,158667	0,5	-0,021600
0,167000	0,5	-0,033050
0,175333	0,5	-0,036950
0,183667	0,5	-0,042550
0,192000	0,5	-0,036700
0,200333	0,5	-0,042450
0,208667	0,5	-0,042000
0,217000	0,5	-0,035650
0,225333	0,5	-0,034550
0,233667	0,5	-0,021250
0,242000	0,5	-0,036100
0,250333	0,5	-0,060800
0,258667	0,5	-0,061500
0,267000	0,5	-0,047250
0,275333	0,5	-0,015600
0,283667	0,5	0,006550
0,292000	0,5	-0,013250
0,300333	0,5	0,010400
0,308667	0,5	0,045400
0,317000	0,5	0,046900
0,325333	0,5	-0,011750
0,333667	0,5	-0,036550
0,342000	0,5	-0,049200
0,350333	0,5	-0,052300
0,358667	0,5	-0,051350
0,367000	0,5	-0,059900
0,375333	0,5	-0,059600
0,383667	0,5	-0,044500
0,392000	0,5	-0,060300
0,400333	0,5	-0,069250
0,408667	0,5	-0,061850
0,417000	0,5	-0,036600
0,425333	0,5	-0,011450
0,433667	0,5	-0,026350
0,442000	0,5	-0,026550
0,450333	0,5	-0,036850
0,458667	0,5	-0,032900
0,467000	0,5	-0,041950
0,475333	0,5	-0,036700
0,483667	0,5	-0,052550
0,492000	0,5	-0,044600
0,500333	0,5	-0,050950
0,508667	0,5	-0,045300
0,517000	0,5	-0,071100
0,525333	0,5	-0,042400
0,533667	0,5	-0,046450
0,542000	0,5	-0,056000
0,550333	0,5	-0,064500
0,558667	0,5	-0,054200
0,567000	0,5	-0,020450
0,575333	0,5	-0,012200
0,583667	0,5	-0,020600
0,592000	0,5	-0,012700
0,600333	0,5	-0,011300
0,608667	0,5	-0,018400
0,617000	0,5	-0,019400
0,625333	0,5	-0,018000
0,633667	0,5	-0,015400
0,642000	0,5	-0,028650
0,650333	0,5	-0,015750
0,658667	0,5	-0,026450
0,667000	0,5	-0,033800
0,675333	0,5	-0,008750
0,683667	0,5	-0,022750
0,692000	0,5	-0,033000
0,700333	0,5	-0,025650
0,708667	0,5	-0,014550
0,717000	0,5	0,028800
0,725333	0,5	0,017800
0,733667	0,5	0,002200
0,742000	0,5	0,002400
0,750333	0,5	0,004350
0,758667	0,5	-0,001100
0,767000	0,5	0,000350
0,775333	0,5	0,001550
0,783667	0,5	-0,003800
0,792000	0,5	0,002400
0,800333	0,5	0,007300
0,808667	0,5	0,027750
0,817000	0,5	0,005850
0,825333	0,5	0,048400
0,833667	0,5	0,009900
0,842000	0,5	0,006300
0,850333	0,5	0,002800
0,858667	0,5	0,019150
0,867000	0,5	0,056250
0,875333	0,5	0,050250
0,883667	0,5	0,030850
0,892000	0,5	0,052150
0,900333	0,5	0,046950
0,908667	0,5	0,048600
0,917000	0,5	0,049150
0,925333	0,5	0,047150
0,933667	0,5	0,045300
0,942000	0,5	0,043950
0,950333	0,5	0,064400
0,958667	0,5	0,048750
0,967000	0,5	0,052900
0,975333	0,5	0,068450
0,983667	0,5	0,042300
0,992000	0,5	0,056250
1,000333	0,5	0,069700
1,008667	0,5	0,084700
1,017000	0,5	0,125100
1,025333	0,5	0,095850
1,033667	0,5	0,102100
1,042000	0,5	0,094300
1,050333	0,5	0,097550
1,058667	0,5	0,093650
1,067000	0,5	0,104450
1,075333	0,5	0,100150
1,083667	0,5	0,102750
1,092000	0,5	0,114200
1,100333	0,5	0,103050
1,108667	0,5	0,095750
1,117000	0,5	0,116150
1,125333	0,5	0,115050
1,133667	0,5	0,104350
1,142000	0,5	0,107350
1,150333	0,5	0,120300
1,158667	0,5	0,161400
1,167000	0,5	0,177250
1,175333	0,5	0,178400
1,183667	0,5	0,168250
1,192000	0,5	0,184550
1,200333	0,5	0,178100
1,208667	0,5	0,182500
1,217000	0,5	0,175250
1,225333	0,5	0,177800
1,233667	0,5	0,178900
1,242000	0,5	0,190600
1,250333	0,5	0,190650
1,258667	0,5	0,198800
1,267000	0,5	0,212850
1,275333	0,5	0,212900
1,283667	0,5	0,195050
1,292000	0,5	0,213450
1,300333	0,5	0,242850
1,308667	0,5	0,268000
1,317000	0,5	0,288650
1,325333	0,5	0,277150
1,333667	0,5	0,284700
1,342000	0,5	0,278950
1,350333	0,5	0,280800
1,358667	0,5	0,283750
1,367000	0,5	0,296450
1,375333	0,5	0,293150
1,383667	0,5	0,304300
