File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/362.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_C-NE
Injection Number	64
Position	GB8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	19:04:05
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,544450
Signal Max.	1 261,937069
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,090750
0,008667	0,5	-0,099500
0,017000	0,5	-0,084650
0,025333	0,5	-0,081550
0,033667	0,5	-0,071500
0,042000	0,5	-0,061200
0,050333	0,5	-0,015500
0,058667	0,5	0,013250
0,067000	0,5	0,009950
0,075333	0,5	-0,001850
0,083667	0,5	0,001200
0,092000	0,5	0,008700
0,100333	0,5	-0,003350
0,108667	0,5	0,003500
0,117000	0,5	0,004200
0,125333	0,5	0,011500
0,133667	0,5	-0,004050
0,142000	0,5	0,001300
0,150333	0,5	-0,028700
0,158667	0,5	0,014750
0,167000	0,5	0,009250
0,175333	0,5	-0,006250
0,183667	0,5	-0,021700
0,192000	0,5	-0,009150
0,200333	0,5	0,021800
0,208667	0,5	0,040100
0,217000	0,5	0,020150
0,225333	0,5	0,029050
0,233667	0,5	0,024200
0,242000	0,5	0,017850
0,250333	0,5	0,017250
0,258667	0,5	0,009900
0,267000	0,5	0,020900
0,275333	0,5	0,007800
0,283667	0,5	0,010100
0,292000	0,5	-0,002450
0,300333	0,5	0,013850
0,308667	0,5	0,099550
0,317000	0,5	0,025850
0,325333	0,5	-0,017900
0,333667	0,5	-0,030850
0,342000	0,5	-0,020600
0,350333	0,5	0,030650
0,358667	0,5	0,017950
0,367000	0,5	0,015700
0,375333	0,5	0,009050
0,383667	0,5	0,018050
0,392000	0,5	0,008500
0,400333	0,5	0,016200
0,408667	0,5	0,010400
0,417000	0,5	0,009550
0,425333	0,5	-0,005100
0,433667	0,5	-0,003650
0,442000	0,5	-0,001250
0,450333	0,5	-0,013800
0,458667	0,5	0,019500
0,467000	0,5	-0,015900
0,475333	0,5	-0,007650
0,483667	0,5	-0,013000
0,492000	0,5	0,005500
0,500333	0,5	0,043300
0,508667	0,5	0,036250
0,517000	0,5	0,023250
0,525333	0,5	0,035000
0,533667	0,5	0,023250
0,542000	0,5	0,023750
0,550333	0,5	0,017600
0,558667	0,5	0,018000
0,567000	0,5	0,005300
0,575333	0,5	0,018650
0,583667	0,5	0,009950
0,592000	0,5	-0,000600
0,600333	0,5	0,000500
0,608667	0,5	0,015000
0,617000	0,5	-0,004900
0,625333	0,5	-0,006350
0,633667	0,5	-0,003800
0,642000	0,5	0,038450
0,650333	0,5	0,075500
0,658667	0,5	0,055000
0,667000	0,5	0,058800
0,675333	0,5	0,056650
0,683667	0,5	0,062300
0,692000	0,5	0,053150
0,700333	0,5	0,058400
0,708667	0,5	0,045600
0,717000	0,5	0,059300
0,725333	0,5	0,049200
0,733667	0,5	0,029100
0,742000	0,5	0,012600
0,750333	0,5	0,038200
0,758667	0,5	0,032500
0,767000	0,5	0,023800
0,775333	0,5	0,037500
0,783667	0,5	0,058250
0,792000	0,5	0,095150
0,800333	0,5	0,110750
0,808667	0,5	0,099150
0,817000	0,5	0,098500
0,825333	0,5	0,100500
0,833667	0,5	0,093750
0,842000	0,5	0,104000
0,850333	0,5	0,099200
0,858667	0,5	0,097300
0,867000	0,5	0,088550
0,875333	0,5	0,105100
0,883667	0,5	0,092150
0,892000	0,5	0,098800
0,900333	0,5	0,109100
0,908667	0,5	0,101800
0,917000	0,5	0,088600
0,925333	0,5	0,101400
0,933667	0,5	0,123000
0,942000	0,5	0,159550
0,950333	0,5	0,167300
0,958667	0,5	0,167250
0,967000	0,5	0,165200
0,975333	0,5	0,170550
0,983667	0,5	0,167600
0,992000	0,5	0,174100
1,000333	0,5	0,178650
1,008667	0,5	0,164700
1,017000	0,5	0,170650
1,025333	0,5	0,165000
1,033667	0,5	0,157300
1,042000	0,5	0,165450
1,050333	0,5	0,179450
1,058667	0,5	0,168050
1,067000	0,5	0,163050
1,075333	0,5	0,169150
1,083667	0,5	0,222250
1,092000	0,5	0,244350
1,100333	0,5	0,231000
1,108667	0,5	0,218950
1,117000	0,5	0,233500
1,125333	0,5	0,227550
1,133667	0,5	0,234600
1,142000	0,5	0,241250
1,150333	0,5	0,235150
1,158667	0,5	0,234950
1,167000	0,5	0,238200
1,175333	0,5	0,258700
1,183667	0,5	0,240300
1,192000	0,5	0,290850
1,200333	0,5	0,274500
1,208667	0,5	0,263850
1,217000	0,5	0,263150
1,225333	0,5	0,276050
1,233667	0,5	0,312050
1,242000	0,5	0,327450
1,250333	0,5	0,310150
1,258667	0,5	0,334100
1,267000	0,5	0,335350
1,275333	0,5	0,345800
1,283667	0,5	0,341500
1,292000	0,5	0,360750
1,300333	0,5	0,354750
1,308667	0,5	0,363100
1,317000	0,5	0,376950
1,325333	0,5	0,365550
1,333667	0,5	0,363100
1,342000	0,5	0,408700
1,350333	0,5	0,382050
1,358667	0,5	0,391750
1,367000	0,5	0,406800
1,375333	0,5	0,434700
1,383667	0,5	0,488550
1,392000	0,5	0,471700
1,400333	0,5	0,490750
1,408667	0,5	0,484150
1,417000	0,5	0,501900
1,425333	0,5	0,495800
1,433667	0,5	0,510800
1,442000	0,5	0,513300
