File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/875.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_CelS2
Injection Number	14
Position	RA8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	19:05:09
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,005550
Signal Max.	1 987,313630
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,088650
0,008667	0,5	-0,105500
0,017000	0,5	-0,097500
0,025333	0,5	-0,084850
0,033667	0,5	-0,075300
0,042000	0,5	-0,056650
0,050333	0,5	-0,052550
0,058667	0,5	-0,044050
0,067000	0,5	-0,005200
0,075333	0,5	-0,040950
0,083667	0,5	-0,054750
0,092000	0,5	-0,036850
0,100333	0,5	-0,008250
0,108667	0,5	0,027150
0,117000	0,5	0,009350
0,125333	0,5	-0,010700
0,133667	0,5	-0,002900
0,142000	0,5	-0,001150
0,150333	0,5	0,012300
0,158667	0,5	0,005100
0,167000	0,5	-0,001600
0,175333	0,5	-0,016950
0,183667	0,5	-0,004700
0,192000	0,5	-0,002900
0,200333	0,5	-0,018650
0,208667	0,5	-0,016700
0,217000	0,5	0,010950
0,225333	0,5	-0,029750
0,233667	0,5	-0,030800
0,242000	0,5	-0,027300
0,250333	0,5	0,015600
0,258667	0,5	0,040350
0,267000	0,5	0,002700
0,275333	0,5	0,004900
0,283667	0,5	0,000650
0,292000	0,5	0,004650
0,300333	0,5	0,014100
0,308667	0,5	0,053100
0,317000	0,5	0,010600
0,325333	0,5	-0,014050
0,333667	0,5	-0,025250
0,342000	0,5	-0,015500
0,350333	0,5	-0,043400
0,358667	0,5	-0,014950
0,367000	0,5	-0,034150
0,375333	0,5	-0,047850
0,383667	0,5	-0,052100
0,392000	0,5	-0,033450
0,400333	0,5	-0,003650
0,408667	0,5	0,007950
0,417000	0,5	-0,011100
0,425333	0,5	-0,007300
0,433667	0,5	-0,009350
0,442000	0,5	-0,015000
0,450333	0,5	-0,006900
0,458667	0,5	-0,010000
0,467000	0,5	-0,017750
0,475333	0,5	-0,027850
0,483667	0,5	-0,018500
0,492000	0,5	-0,050650
0,500333	0,5	-0,057850
0,508667	0,5	-0,033650
0,517000	0,5	-0,048050
0,525333	0,5	-0,056900
0,533667	0,5	-0,058400
0,542000	0,5	-0,033150
0,550333	0,5	0,020750
0,558667	0,5	0,005700
0,567000	0,5	-0,003500
0,575333	0,5	-0,017600
0,583667	0,5	-0,008000
0,592000	0,5	-0,029200
0,600333	0,5	-0,023150
0,608667	0,5	-0,034300
0,617000	0,5	-0,045850
0,625333	0,5	-0,036300
0,633667	0,5	-0,044000
0,642000	0,5	-0,045900
0,650333	0,5	-0,046400
0,658667	0,5	-0,034400
0,667000	0,5	-0,064900
0,675333	0,5	-0,066250
0,683667	0,5	-0,072850
0,692000	0,5	-0,036400
0,700333	0,5	-0,019850
0,708667	0,5	-0,002800
0,717000	0,5	-0,027400
0,725333	0,5	-0,020050
0,733667	0,5	-0,039900
0,742000	0,5	-0,033500
0,750333	0,5	-0,040150
0,758667	0,5	-0,042200
0,767000	0,5	-0,051200
0,775333	0,5	-0,055300
0,783667	0,5	-0,055550
0,792000	0,5	-0,066200
0,800333	0,5	-0,047600
0,808667	0,5	-0,047850
0,817000	0,5	-0,074950
0,825333	0,5	-0,074550
0,833667	0,5	-0,073000
0,842000	0,5	-0,031900
0,850333	0,5	-0,012200
0,858667	0,5	-0,041750
0,867000	0,5	-0,032900
0,875333	0,5	-0,049050
0,883667	0,5	-0,042800
0,892000	0,5	-0,060100
0,900333	0,5	-0,050000
0,908667	0,5	-0,061450
0,917000	0,5	-0,064450
0,925333	0,5	-0,065100
0,933667	0,5	-0,080750
0,942000	0,5	-0,086800
0,950333	0,5	-0,032850
0,958667	0,5	-0,076150
0,967000	0,5	-0,089500
0,975333	0,5	-0,088550
0,983667	0,5	-0,081650
0,992000	0,5	-0,038800
1,000333	0,5	-0,043350
1,008667	0,5	-0,045300
1,017000	0,5	-0,062750
1,025333	0,5	-0,057100
1,033667	0,5	-0,077000
1,042000	0,5	-0,058450
1,050333	0,5	-0,063450
1,058667	0,5	-0,069250
1,067000	0,5	-0,081450
1,075333	0,5	-0,071450
1,083667	0,5	-0,085850
1,092000	0,5	-0,074250
1,100333	0,5	-0,060500
1,108667	0,5	-0,084900
1,117000	0,5	-0,095350
1,125333	0,5	-0,095150
1,133667	0,5	-0,076200
1,142000	0,5	-0,025100
1,150333	0,5	-0,052300
1,158667	0,5	-0,076400
1,167000	0,5	-0,072050
1,175333	0,5	-0,073450
1,183667	0,5	-0,072550
1,192000	0,5	-0,069600
1,200333	0,5	-0,070200
1,208667	0,5	-0,084250
1,217000	0,5	-0,079100
1,225333	0,5	-0,071350
1,233667	0,5	-0,073150
1,242000	0,5	-0,050650
1,250333	0,5	-0,043800
1,258667	0,5	-0,086150
1,267000	0,5	-0,094650
1,275333	0,5	-0,091650
1,283667	0,5	-0,055550
1,292000	0,5	-0,033100
1,300333	0,5	-0,059700
1,308667	0,5	-0,070800
1,317000	0,5	-0,065600
1,325333	0,5	-0,067900
1,333667	0,5	-0,072150
1,342000	0,5	-0,061400
1,350333	0,5	-0,083450
1,358667	0,5	-0,077500
1,367000	0,5	-0,085450
1,375333	0,5	-0,060950
1,383667	0,5	-0,090950
1,392000	0,5	-0,056550
1,400333	0,5	-0,080050
1,408667	0,5	-0,090050
1,417000	0,5	-0,098150
