File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/945.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_BMCC_WT
Injection Number	20
Position	RB6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	21:57:48
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-6,911100
Signal Max.	1 969,374129
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,049400
0,008667	0,5	-0,090300
0,017000	0,5	-0,091900
0,025333	0,5	-0,077800
0,033667	0,5	-0,059500
0,042000	0,5	-0,041600
0,050333	0,5	-0,038650
0,058667	0,5	-0,018000
0,067000	0,5	-0,061500
0,075333	0,5	-0,051900
0,083667	0,5	-0,037400
0,092000	0,5	0,000800
0,100333	0,5	0,025800
0,108667	0,5	0,019900
0,117000	0,5	0,014650
0,125333	0,5	0,016150
0,133667	0,5	0,004800
0,142000	0,5	-0,000900
0,150333	0,5	0,003550
0,158667	0,5	-0,009250
0,167000	0,5	-0,008250
0,175333	0,5	-0,016600
0,183667	0,5	-0,010050
0,192000	0,5	-0,032600
0,200333	0,5	0,002700
0,208667	0,5	-0,016300
0,217000	0,5	-0,039950
0,225333	0,5	-0,034200
0,233667	0,5	-0,022650
0,242000	0,5	0,010050
0,250333	0,5	0,018750
0,258667	0,5	-0,002200
0,267000	0,5	-0,005800
0,275333	0,5	-0,012100
0,283667	0,5	-0,004000
0,292000	0,5	-0,005050
0,300333	0,5	0,019150
0,308667	0,5	0,062450
0,317000	0,5	0,034500
0,325333	0,5	-0,008200
0,333667	0,5	-0,036400
0,342000	0,5	-0,041700
0,350333	0,5	-0,025300
0,358667	0,5	-0,033200
0,367000	0,5	-0,053750
0,375333	0,5	-0,047950
0,383667	0,5	-0,036550
0,392000	0,5	0,009750
0,400333	0,5	-0,015600
0,408667	0,5	-0,015700
0,417000	0,5	-0,026150
0,425333	0,5	-0,026950
0,433667	0,5	-0,033650
0,442000	0,5	-0,029800
0,450333	0,5	-0,036700
0,458667	0,5	-0,053550
0,467000	0,5	-0,044100
0,475333	0,5	-0,045450
0,483667	0,5	-0,044600
0,492000	0,5	-0,018400
0,500333	0,5	-0,017400
0,508667	0,5	-0,054400
0,517000	0,5	-0,059150
0,525333	0,5	-0,055100
0,533667	0,5	-0,020000
0,542000	0,5	-0,011500
0,550333	0,5	-0,024050
0,558667	0,5	-0,039450
0,567000	0,5	-0,028950
0,575333	0,5	-0,047800
0,583667	0,5	-0,036100
0,592000	0,5	-0,029800
0,600333	0,5	-0,035500
0,608667	0,5	-0,043850
0,617000	0,5	-0,047050
0,625333	0,5	-0,041650
0,633667	0,5	-0,060550
0,642000	0,5	-0,038150
0,650333	0,5	-0,044350
0,658667	0,5	-0,064000
0,667000	0,5	-0,078100
0,675333	0,5	-0,062950
0,683667	0,5	-0,028000
0,692000	0,5	-0,009250
0,700333	0,5	-0,047100
0,708667	0,5	-0,048900
0,717000	0,5	-0,052600
0,725333	0,5	-0,048700
0,733667	0,5	-0,053450
0,742000	0,5	-0,053150
0,750333	0,5	-0,068800
0,758667	0,5	-0,065950
0,767000	0,5	-0,065200
0,775333	0,5	-0,067600
0,783667	0,5	-0,084400
0,792000	0,5	-0,043400
0,800333	0,5	-0,078200
