File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/819.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_2a
Injection Number	39
Position	RD7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	07:04:26
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,616700
Signal Max.	2 837,472892
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,081700
0,008667	0,5	-0,093100
0,017000	0,5	-0,085800
0,025333	0,5	-0,090150
0,033667	0,5	-0,065300
0,042000	0,5	-0,026100
0,050333	0,5	0,009600
0,058667	0,5	0,018550
0,067000	0,5	0,014750
0,075333	0,5	0,005550
0,083667	0,5	0,011850
0,092000	0,5	0,006900
0,100333	0,5	0,005600
0,108667	0,5	0,007950
0,117000	0,5	-0,002700
0,125333	0,5	0,003350
0,133667	0,5	-0,000600
0,142000	0,5	-0,008650
0,150333	0,5	0,002350
0,158667	0,5	0,015800
0,167000	0,5	-0,018550
0,175333	0,5	-0,021250
0,183667	0,5	-0,021200
0,192000	0,5	0,025800
0,200333	0,5	0,035300
0,208667	0,5	0,034700
0,217000	0,5	0,015000
0,225333	0,5	0,025050
0,233667	0,5	0,020150
0,242000	0,5	0,028900
0,250333	0,5	0,017150
0,258667	0,5	0,007950
0,267000	0,5	0,002950
0,275333	0,5	0,005550
0,283667	0,5	0,012500
0,292000	0,5	-0,001550
0,300333	0,5	0,090500
0,308667	0,5	0,101700
0,317000	0,5	0,037700
0,325333	0,5	-0,018400
0,333667	0,5	-0,023900
0,342000	0,5	0,011400
0,350333	0,5	0,018500
0,358667	0,5	-0,000700
0,367000	0,5	0,006550
0,375333	0,5	-0,001050
0,383667	0,5	-0,003950
0,392000	0,5	-0,014150
0,400333	0,5	-0,006500
0,408667	0,5	-0,016050
0,417000	0,5	-0,018450
0,425333	0,5	-0,012450
0,433667	0,5	-0,024400
0,442000	0,5	-0,031750
0,450333	0,5	0,006950
0,458667	0,5	-0,025600
0,467000	0,5	-0,033850
0,475333	0,5	-0,028150
0,483667	0,5	-0,026700
0,492000	0,5	0,018650
0,500333	0,5	-0,009600
0,508667	0,5	-0,005450
0,517000	0,5	-0,012550
0,525333	0,5	-0,002350
0,533667	0,5	-0,014600
0,542000	0,5	0,002500
0,550333	0,5	-0,011250
0,558667	0,5	-0,016500
0,567000	0,5	-0,021100
0,575333	0,5	-0,016350
0,583667	0,5	-0,026800
0,592000	0,5	-0,020050
0,600333	0,5	0,000100
0,608667	0,5	-0,023500
0,617000	0,5	-0,035800
0,625333	0,5	-0,033250
0,633667	0,5	-0,002000
0,642000	0,5	0,039750
0,650333	0,5	0,022500
0,658667	0,5	0,008200
0,667000	0,5	0,003150
0,675333	0,5	-0,007750
0,683667	0,5	-0,003300
0,692000	0,5	-0,015550
0,700333	0,5	-0,004600
0,708667	0,5	-0,023050
0,717000	0,5	-0,005950
0,725333	0,5	0,003950
0,733667	0,5	0,003750
0,742000	0,5	0,014200
0,750333	0,5	0,008550
0,758667	0,5	-0,013550
0,767000	0,5	-0,019900
0,775333	0,5	-0,013800
0,783667	0,5	0,012750
0,792000	0,5	0,032600
0,800333	0,5	0,011700
0,808667	0,5	0,008050
0,817000	0,5	0,014500
0,825333	0,5	0,006050
0,833667	0,5	0,012450
0,842000	0,5	0,027700
0,850333	0,5	0,010700
0,858667	0,5	0,007150
0,867000	0,5	0,002450
0,875333	0,5	0,021550
0,883667	0,5	0,001600
0,892000	0,5	0,031200
0,900333	0,5	0,010200
0,908667	0,5	0,004150
0,917000	0,5	0,000350
0,925333	0,5	0,023700
0,933667	0,5	0,058200
0,942000	0,5	0,078250
0,950333	0,5	0,054200
0,958667	0,5	0,061050
0,967000	0,5	0,062200
0,975333	0,5	0,051300
0,983667	0,5	0,045650
0,992000	0,5	0,043650
1,000333	0,5	0,043600
1,008667	0,5	0,043200
1,017000	0,5	0,054500
1,025333	0,5	0,037200
1,033667	0,5	0,047250
1,042000	0,5	0,070800
1,050333	0,5	0,050750
1,058667	0,5	0,043750
1,067000	0,5	0,042800
1,075333	0,5	0,067200
1,083667	0,5	0,105700
1,092000	0,5	0,104650
1,100333	0,5	0,105050
1,108667	0,5	0,090100
1,117000	0,5	0,095500
1,125333	0,5	0,089100
1,133667	0,5	0,103100
1,142000	0,5	0,101250
1,150333	0,5	0,095250
1,158667	0,5	0,100450
1,167000	0,5	0,096500
1,175333	0,5	0,094050
1,183667	0,5	0,116750
1,192000	0,5	0,109750
1,200333	0,5	0,093100
1,208667	0,5	0,095250
1,217000	0,5	0,096450
1,225333	0,5	0,141800
1,233667	0,5	0,160200
1,242000	0,5	0,177500
1,250333	0,5	0,156000
1,258667	0,5	0,165700
1,267000	0,5	0,153950
1,275333	0,5	0,157300
1,283667	0,5	0,154400
1,292000	0,5	0,158650
1,300333	0,5	0,156850
1,308667	0,5	0,159350
1,317000	0,5	0,171350
1,325333	0,5	0,172650
1,333667	0,5	0,205250
1,342000	0,5	0,196850
1,350333	0,5	0,180800
1,358667	0,5	0,185800
1,367000	0,5	0,201250
1,375333	0,5	0,243800
1,383667	0,5	0,253450
1,392000	0,5	0,239600
1,400333	0,5	0,245650
1,408667	0,5	0,245800
1,417000	0,5	0,252800
1,425333	0,5	0,253600
1,433667	0,5	0,268200
1,442000	0,5	0,270600
1,450333	0,5	0,277600
1,458667	0,5	0,292600
1,467000	0,5	0,290750
1,475333	0,5	0,286000
1,483667	0,5	0,325850
1,492000	0,5	0,303650
1,500333	0,5	0,303600
1,508667	0,5	0,316450
1,517000	0,5	0,335400
1,525333	0,5	0,382100
1,533667	0,5	0,376900
1,542000	0,5	0,381850
1,550333	0,5	0,385400
1,558667	0,5	0,401300
1,567000	0,5	0,402350
1,575333	0,5	0,333650
1,583667	0,5	-0,145850
1,592000	0,5	-1,191550
1,600333	0,5	-1,540000
1,608667	0,5	0,226950
1,617000	0,5	3,415950
1,625333	0,5	7,350750
1,633667	0,5	12,470800
1,642000	0,5	17,659400
1,650333	0,5	20,370500
1,658667	0,5	20,010400
1,667000	0,5	18,178400
1,675333	0,5	16,196650
1,683667	0,5	14,354800
1,692000	0,5	12,741450
1,700333	0,5	11,491150
1,708667	0,5	10,953150
1,717000	0,5	11,915700
1,725333	0,5	14,951050
1,733667	0,5	18,261500
1,742000	0,5	18,644800
1,750333	0,5	15,990250
1,758667	0,5	12,736850
1,767000	0,5	10,505050
1,775333	0,5	9,654500
1,783667	0,5	10,045850
1,792000	0,5	11,181000
1,800333	0,5	12,320850
1,808667	0,5	12,729200
1,817000	0,5	12,258350
1,825333	0,5	11,333750
1,833667	0,5	10,384050
1,842000	0,5	9,519050
1,850333	0,5	8,734200
1,858667	0,5	7,995100
1,867000	0,5	7,340550
1,875333	0,5	6,797350
1,883667	0,5	6,344100
1,892000	0,5	5,955100
1,900333	0,5	5,607250
1,908667	0,5	5,303150
1,917000	0,5	5,030200
1,925333	0,5	4,867650
1,933667	0,5	4,791950
1,942000	0,5	5,002450
1,950333	0,5	5,556900
1,958667	0,5	6,155200
1,967000	0,5	6,299150
1,975333	0,5	6,345000
1,983667	0,5	7,957650
1,992000	0,5	14,743100
2,000333	0,5	32,542300
2,008667	0,5	70,644101
2,017000	0,5	154,824702
2,025333	0,5	353,177855
2,033667	0,5	700,251560
2,042000	0,5	1 007,794865
2,050333	0,5	1 060,572766
2,058667	0,5	893,865363
2,067000	0,5	662,593060
2,075333	0,5	478,103707
2,083667	0,5	358,599155
2,092000	0,5	280,847704
2,100333	0,5	226,773803
2,108667	0,5	187,146453
2,117000	0,5	157,203802
2,125333	0,5	134,174602
2,133667	0,5	116,257602
2,142000	0,5	101,886302
2,150333	0,5	90,277801
2,158667	0,5	81,341001
2,167000	0,5	74,501301
2,175333	0,5	68,205501
2,183667	0,5	61,805901
2,192000	0,5	55,815451
2,200333	0,5	50,756851
2,208667	0,5	46,644801
2,217000	0,5	43,307001
2,225333	0,5	40,508351
2,233667	0,5	38,188651
2,242000	0,5	36,276651
2,250333	0,5	34,655851
2,258667	0,5	33,260350
2,267000	0,5	32,021400
2,275333	0,5	30,978650
2,283667	0,5	30,093450
2,292000	0,5	29,287450
2,300333	0,5	28,447250
2,308667	0,5	27,639350
2,317000	0,5	26,893950
2,325333	0,5	26,263600
2,333667	0,5	25,729700
2,342000	0,5	25,266900
2,350333	0,5	24,839150
2,358667	0,5	24,451800
2,367000	0,5	24,151550
2,375333	0,5	23,897650
2,383667	0,5	23,707800
2,392000	0,5	23,630800
2,400333	0,5	23,693200
2,408667	0,5	23,969250
2,417000	0,5	24,504050
2,425333	0,5	25,380000
2,433667	0,5	26,609500
2,442000	0,5	27,582100
2,450333	0,5	27,448950
2,458667	0,5	26,401450
2,467000	0,5	25,571800
2,475333	0,5	25,063250
2,483667	0,5	24,660050
2,492000	0,5	24,257250
2,500333	0,5	23,888000
2,508667	0,5	23,549750
2,517000	0,5	23,276750
2,525333	0,5	22,992450
2,533667	0,5	22,752900
2,542000	0,5	22,529000
2,550333	0,5	22,351350
2,558667	0,5	22,256550
2,567000	0,5	22,241750
2,575333	0,5	22,389150
2,583667	0,5	22,788050
2,592000	0,5	23,666350
2,600333	0,5	25,513650
2,608667	0,5	28,833900
2,617000	0,5	34,063751
2,625333	0,5	47,127201
2,633667	0,5	84,658801
2,642000	0,5	145,466002
2,650333	0,5	221,764603
2,658667	0,5	323,658605
2,667000	0,5	510,347658
2,675333	0,5	959,965664
2,683667	0,5	1 563,408073
2,692000	0,5	2 312,709684
2,700333	0,5	2 657,487890
2,708667	0,5	2 800,430392
2,717000	0,5	2 837,472892
2,725333	0,5	2 821,844842
2,733667	0,5	2 771,533641
2,742000	0,5	2 692,403790
2,750333	0,5	2 586,053939
2,758667	0,5	2 453,084237
2,767000	0,5	2 294,397434
2,775333	0,5	2 114,641682
2,783667	0,5	1 924,601929
2,792000	0,5	1 739,751926
2,800333	0,5	1 575,101323
2,808667	0,5	1 438,275221
2,817000	0,5	1 323,614570
2,825333	0,5	1 219,728768
2,833667	0,5	1 117,630167
2,842000	0,5	1 013,626265
2,850333	0,5	907,898864
2,858667	0,5	804,358762
2,867000	0,5	708,117061
2,875333	0,5	621,970959
2,883667	0,5	546,734908
2,892000	0,5	482,401707
2,900333	0,5	424,794806
2,908667	0,5	374,297756
2,917000	0,5	330,373805
2,925333	0,5	292,594804
2,933667	0,5	260,400404
2,942000	0,5	233,054753
2,950333	0,5	209,731303
2,958667	0,5	189,838403
2,967000	0,5	172,558353
2,975333	0,5	157,471802
2,983667	0,5	144,132202
2,992000	0,5	132,284002
3,000333	0,5	121,645452
3,008667	0,5	112,050552
3,017000	0,5	103,371052
3,025333	0,5	95,600751
3,033667	0,5	88,584851
3,042000	0,5	82,283051
3,050333	0,5	76,577001
