File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/773.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_2b
Injection Number	45
Position	RE5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	09:57:03
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,944700
Signal Max.	2 778,398991
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,083650
0,008667	0,5	-0,080700
0,017000	0,5	-0,068850
0,025333	0,5	-0,057550
0,033667	0,5	-0,061050
0,042000	0,5	-0,034000
0,050333	0,5	-0,008550
0,058667	0,5	0,016900
0,067000	0,5	-0,001750
0,075333	0,5	0,008250
0,083667	0,5	-0,002050
0,092000	0,5	0,002200
0,100333	0,5	-0,004700
0,108667	0,5	0,001000
0,117000	0,5	-0,006400
0,125333	0,5	-0,003350
0,133667	0,5	0,012400
0,142000	0,5	0,009500
0,150333	0,5	-0,001350
0,158667	0,5	0,035100
0,167000	0,5	0,011250
0,175333	0,5	-0,012100
0,183667	0,5	-0,015400
0,192000	0,5	-0,007950
0,200333	0,5	0,040100
0,208667	0,5	0,030900
0,217000	0,5	0,023450
0,225333	0,5	0,013350
0,233667	0,5	0,030000
0,242000	0,5	0,004450
0,250333	0,5	0,016150
0,258667	0,5	0,008350
0,267000	0,5	0,009200
0,275333	0,5	0,005850
0,283667	0,5	0,000850
0,292000	0,5	0,034550
0,300333	0,5	0,070600
0,308667	0,5	0,126400
0,317000	0,5	0,047450
0,325333	0,5	-0,009000
0,333667	0,5	-0,017950
0,342000	0,5	-0,007400
0,350333	0,5	0,029900
0,358667	0,5	0,024950
0,367000	0,5	0,001700
0,375333	0,5	0,011750
0,383667	0,5	0,001050
0,392000	0,5	0,001300
0,400333	0,5	-0,004100
0,408667	0,5	-0,002600
0,417000	0,5	-0,011650
0,425333	0,5	-0,010050
0,433667	0,5	0,003850
0,442000	0,5	0,002050
0,450333	0,5	-0,015000
0,458667	0,5	0,010300
0,467000	0,5	-0,027700
0,475333	0,5	-0,030900
0,483667	0,5	-0,029050
0,492000	0,5	-0,007200
0,500333	0,5	0,034400
0,508667	0,5	0,011300
0,517000	0,5	0,011800
0,525333	0,5	0,000550
0,533667	0,5	0,015850
0,542000	0,5	0,005950
0,550333	0,5	0,012950
0,558667	0,5	0,003650
0,567000	0,5	0,002150
0,575333	0,5	0,000300
0,583667	0,5	0,003800
0,592000	0,5	-0,014600
0,600333	0,5	-0,002900
0,608667	0,5	-0,010250
0,617000	0,5	-0,024950
0,625333	0,5	-0,023900
0,633667	0,5	0,000600
0,642000	0,5	0,029450
0,650333	0,5	0,047950
0,658667	0,5	0,044150
0,667000	0,5	0,033800
0,675333	0,5	0,042150
0,683667	0,5	0,024150
0,692000	0,5	0,017950
0,700333	0,5	0,018250
0,708667	0,5	0,021500
0,717000	0,5	0,013500
0,725333	0,5	0,025150
0,733667	0,5	0,017800
0,742000	0,5	0,028900
0,750333	0,5	0,047850
0,758667	0,5	0,030550
0,767000	0,5	0,015200
0,775333	0,5	0,016300
0,783667	0,5	0,028750
0,792000	0,5	0,060500
0,800333	0,5	0,077800
0,808667	0,5	0,069800
0,817000	0,5	0,063250
0,825333	0,5	0,070300
0,833667	0,5	0,069100
0,842000	0,5	0,071350
0,850333	0,5	0,063650
0,858667	0,5	0,054150
0,867000	0,5	0,065650
0,875333	0,5	0,065850
0,883667	0,5	0,075800
0,892000	0,5	0,072650
0,900333	0,5	0,092400
0,908667	0,5	0,067600
0,917000	0,5	0,065950
0,925333	0,5	0,066900
0,933667	0,5	0,107350
0,942000	0,5	0,132050
0,950333	0,5	0,126150
0,958667	0,5	0,112100
0,967000	0,5	0,120100
0,975333	0,5	0,110450
0,983667	0,5	0,113300
0,992000	0,5	0,114050
1,000333	0,5	0,115600
1,008667	0,5	0,114300
1,017000	0,5	0,116550
1,025333	0,5	0,122100
1,033667	0,5	0,106850
1,042000	0,5	0,146100
1,050333	0,5	0,132200
1,058667	0,5	0,124100
1,067000	0,5	0,120800
1,075333	0,5	0,134500
1,083667	0,5	0,163550
1,092000	0,5	0,178500
1,100333	0,5	0,156500
1,108667	0,5	0,174100
1,117000	0,5	0,171850
1,125333	0,5	0,175100
1,133667	0,5	0,174650
1,142000	0,5	0,188050
1,150333	0,5	0,182200
1,158667	0,5	0,184100
1,167000	0,5	0,196150
1,175333	0,5	0,183700
1,183667	0,5	0,171800
1,192000	0,5	0,212200
1,200333	0,5	0,193600
1,208667	0,5	0,190750
1,217000	0,5	0,194050
1,225333	0,5	0,204550
1,233667	0,5	0,263800
1,242000	0,5	0,264250
1,250333	0,5	0,266450
1,258667	0,5	0,252350
1,267000	0,5	0,265300
1,275333	0,5	0,255200
1,283667	0,5	0,267150
1,292000	0,5	0,267300
1,300333	0,5	0,277800
1,308667	0,5	0,281250
1,317000	0,5	0,291800
1,325333	0,5	0,291250
1,333667	0,5	0,287550
1,342000	0,5	0,330050
1,350333	0,5	0,310700
1,358667	0,5	0,310200
1,367000	0,5	0,312950
1,375333	0,5	0,340900
1,383667	0,5	0,382350
1,392000	0,5	0,385200
1,400333	0,5	0,379700
1,408667	0,5	0,392100
1,417000	0,5	0,391550
1,425333	0,5	0,404000
1,433667	0,5	0,406700
1,442000	0,5	0,428750
1,450333	0,5	0,419950
1,458667	0,5	0,430200
1,467000	0,5	0,441500
1,475333	0,5	0,445000
1,483667	0,5	0,445850
1,492000	0,5	0,478550
1,500333	0,5	0,458300
1,508667	0,5	0,466500
1,517000	0,5	0,473600
1,525333	0,5	0,510800
1,533667	0,5	0,550550
1,542000	0,5	0,544250
1,550333	0,5	0,554150
1,558667	0,5	0,563350
1,567000	0,5	0,569300
1,575333	0,5	0,465450
1,583667	0,5	-0,074250
1,592000	0,5	-1,138800
1,600333	0,5	-1,293950
1,608667	0,5	0,770750
1,617000	0,5	4,239250
1,625333	0,5	8,511950
1,633667	0,5	13,969200
1,642000	0,5	19,140550
1,650333	0,5	21,578700
1,658667	0,5	21,053550
1,667000	0,5	19,232650
1,675333	0,5	17,269000
1,683667	0,5	15,393100
1,692000	0,5	13,604100
1,700333	0,5	12,037350
1,708667	0,5	10,765800
1,717000	0,5	9,886050
1,725333	0,5	9,379700
1,733667	0,5	8,933600
1,742000	0,5	8,225150
1,750333	0,5	7,375450
1,758667	0,5	6,759300
1,767000	0,5	6,616900
1,775333	0,5	7,210550
1,783667	0,5	8,506100
1,792000	0,5	10,123600
1,800333	0,5	11,474150
1,808667	0,5	11,945050
1,817000	0,5	11,516700
1,825333	0,5	10,747750
1,833667	0,5	9,915100
1,842000	0,5	9,122000
1,850333	0,5	8,367500
1,858667	0,5	7,694150
1,867000	0,5	7,098000
1,875333	0,5	6,625450
1,883667	0,5	6,221750
1,892000	0,5	5,860200
1,900333	0,5	5,543700
1,908667	0,5	5,259550
1,917000	0,5	5,022450
1,925333	0,5	4,889900
1,933667	0,5	4,937950
1,942000	0,5	5,291400
1,950333	0,5	5,870250
1,958667	0,5	6,192250
1,967000	0,5	6,282450
1,975333	0,5	7,302300
1,983667	0,5	12,116850
1,992000	0,5	25,804400
2,000333	0,5	56,182201
2,008667	0,5	121,901852
2,017000	0,5	277,759104
2,025333	0,5	582,956109
2,033667	0,5	914,411814
2,042000	0,5	1 031,253665
2,050333	0,5	907,320564
2,058667	0,5	684,226910
2,067000	0,5	491,260557
2,075333	0,5	364,469005
2,083667	0,5	283,206754
2,092000	0,5	227,561903
2,100333	0,5	187,129953
2,108667	0,5	156,727802
2,117000	0,5	133,450202
2,125333	0,5	115,335502
2,133667	0,5	100,906402
2,142000	0,5	89,411101
2,150333	0,5	80,617351
2,158667	0,5	73,947501
2,167000	0,5	67,789551
2,175333	0,5	61,331401
2,183667	0,5	55,160601
2,192000	0,5	50,064501
2,200333	0,5	46,031001
2,208667	0,5	42,739201
2,217000	0,5	39,998101
2,225333	0,5	37,761351
2,233667	0,5	35,845601
2,242000	0,5	34,233051
2,250333	0,5	32,835650
2,258667	0,5	31,652150
2,267000	0,5	30,687500
2,275333	0,5	29,791600
2,283667	0,5	28,914400
2,292000	0,5	28,044350
2,300333	0,5	27,247500
2,308667	0,5	26,535450
2,317000	0,5	25,952100
2,325333	0,5	25,425050
2,333667	0,5	24,953950
2,342000	0,5	24,503500
2,350333	0,5	24,124850
2,358667	0,5	23,788450
2,367000	0,5	23,547450
2,375333	0,5	23,395750
2,383667	0,5	23,274750
2,392000	0,5	23,200900
2,400333	0,5	23,227700
2,408667	0,5	23,455400
2,417000	0,5	24,034350
2,425333	0,5	24,619800
2,433667	0,5	24,475100
2,442000	0,5	23,584450
2,450333	0,5	22,844350
2,458667	0,5	22,430300
2,467000	0,5	22,130350
2,475333	0,5	21,881050
2,483667	0,5	21,666600
2,492000	0,5	21,508250
2,500333	0,5	21,399300
2,508667	0,5	21,323200
2,517000	0,5	21,262400
2,525333	0,5	21,221350
2,533667	0,5	21,132200
2,542000	0,5	21,092750
2,550333	0,5	21,118150
2,558667	0,5	21,285250
2,567000	0,5	21,638350
2,575333	0,5	22,362750
2,583667	0,5	23,916800
2,592000	0,5	26,946850
2,600333	0,5	32,609200
2,608667	0,5	48,268901
2,617000	0,5	88,460901
2,625333	0,5	149,729102
2,633667	0,5	226,284303
2,642000	0,5	330,922505
2,650333	0,5	537,129558
2,658667	0,5	1 024,637415
2,667000	0,5	1 563,147873
2,675333	0,5	2 336,280985
2,683667	0,5	2 641,339739
2,692000	0,5	2 758,460941
2,700333	0,5	2 778,398991
2,708667	0,5	2 746,488641
2,717000	0,5	2 677,384990
2,725333	0,5	2 574,819138
2,733667	0,5	2 440,901486
2,742000	0,5	2 276,979934
2,750333	0,5	2 088,014931
2,758667	0,5	1 885,197078
2,767000	0,5	1 685,860775
2,775333	0,5	1 508,137322
2,783667	0,5	1 363,335170
2,792000	0,5	1 249,482469
2,800333	0,5	1 152,982617
2,808667	0,5	1 060,080466
2,817000	0,5	963,539364
2,825333	0,5	862,734013
2,833667	0,5	763,574511
2,842000	0,5	671,181060
2,850333	0,5	588,879559
2,858667	0,5	518,690058
2,867000	0,5	456,485807
2,875333	0,5	402,170006
2,883667	0,5	354,420805
2,892000	0,5	312,751855
2,900333	0,5	276,695054
2,908667	0,5	245,906404
2,917000	0,5	219,723053
2,925333	0,5	197,503753
2,933667	0,5	178,535753
2,942000	0,5	162,201052
