File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/205.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_3a
Injection Number	51
Position	GA3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	12:49:48
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,183150
Signal Max.	2 633,785989
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,094800
0,008667	0,5	-0,097550
0,017000	0,5	-0,085650
0,025333	0,5	-0,067600
0,033667	0,5	-0,074650
0,042000	0,5	-0,035300
0,050333	0,5	-0,036500
0,058667	0,5	-0,048850
0,067000	0,5	-0,043250
0,075333	0,5	-0,033500
0,083667	0,5	0,015950
0,092000	0,5	0,036850
0,100333	0,5	0,005200
0,108667	0,5	0,013600
0,117000	0,5	0,008400
0,125333	0,5	0,012250
0,133667	0,5	0,001650
0,142000	0,5	0,012500
0,150333	0,5	-0,001100
0,158667	0,5	-0,004650
0,167000	0,5	0,004650
0,175333	0,5	-0,017000
0,183667	0,5	-0,036750
0,192000	0,5	0,022900
0,200333	0,5	-0,014050
0,208667	0,5	-0,023450
0,217000	0,5	-0,019750
0,225333	0,5	-0,012850
0,233667	0,5	0,037300
0,242000	0,5	0,016900
0,250333	0,5	0,017700
0,258667	0,5	0,009700
0,267000	0,5	0,013700
0,275333	0,5	-0,005900
0,283667	0,5	0,007900
0,292000	0,5	0,027500
0,300333	0,5	0,091500
0,308667	0,5	0,084150
0,317000	0,5	0,021200
0,325333	0,5	-0,016000
0,333667	0,5	-0,023550
0,342000	0,5	-0,003150
0,350333	0,5	-0,021300
0,358667	0,5	-0,029650
0,367000	0,5	-0,023000
0,375333	0,5	-0,001500
0,383667	0,5	0,045550
0,392000	0,5	0,031850
0,400333	0,5	0,015300
0,408667	0,5	0,016250
0,417000	0,5	0,012550
0,425333	0,5	0,014300
0,433667	0,5	0,010400
0,442000	0,5	0,014850
0,450333	0,5	0,003650
0,458667	0,5	0,015250
0,467000	0,5	0,005850
0,475333	0,5	-0,011000
0,483667	0,5	-0,014200
0,492000	0,5	0,019300
0,500333	0,5	-0,011650
0,508667	0,5	-0,009700
0,517000	0,5	-0,001750
0,525333	0,5	0,032050
0,533667	0,5	0,059750
0,542000	0,5	0,041650
0,550333	0,5	0,037650
0,558667	0,5	0,044650
0,567000	0,5	0,040450
0,575333	0,5	0,040000
0,583667	0,5	0,044550
0,592000	0,5	0,056000
0,600333	0,5	0,051400
0,608667	0,5	0,051500
0,617000	0,5	0,041750
0,625333	0,5	0,017650
0,633667	0,5	0,037500
0,642000	0,5	0,030850
0,650333	0,5	0,027450
0,658667	0,5	0,028500
0,667000	0,5	0,051300
0,675333	0,5	0,080400
0,683667	0,5	0,107750
0,692000	0,5	0,095900
0,700333	0,5	0,095900
0,708667	0,5	0,087350
0,717000	0,5	0,086850
0,725333	0,5	0,078900
0,733667	0,5	0,085550
0,742000	0,5	0,085900
0,750333	0,5	0,083600
0,758667	0,5	0,091350
0,767000	0,5	0,068050
0,775333	0,5	0,067850
0,783667	0,5	0,087600
0,792000	0,5	0,088100
0,800333	0,5	0,084550
0,808667	0,5	0,085600
0,817000	0,5	0,103600
0,825333	0,5	0,147250
0,833667	0,5	0,147050
0,842000	0,5	0,149350
0,850333	0,5	0,138650
0,858667	0,5	0,150450
0,867000	0,5	0,141750
0,875333	0,5	0,149550
0,883667	0,5	0,143000
0,892000	0,5	0,155950
0,900333	0,5	0,154650
0,908667	0,5	0,151400
0,917000	0,5	0,141350
0,925333	0,5	0,156050
0,933667	0,5	0,164850
0,942000	0,5	0,145150
0,950333	0,5	0,139900
0,958667	0,5	0,146750
0,967000	0,5	0,185800
0,975333	0,5	0,211000
0,983667	0,5	0,226400
0,992000	0,5	0,217500
1,000333	0,5	0,225700
1,008667	0,5	0,209950
1,017000	0,5	0,216950
1,025333	0,5	0,210550
1,033667	0,5	0,217300
1,042000	0,5	0,213550
1,050333	0,5	0,222050
1,058667	0,5	0,221250
1,067000	0,5	0,219150
1,075333	0,5	0,246900
1,083667	0,5	0,243850
1,092000	0,5	0,241250
1,100333	0,5	0,249900
1,108667	0,5	0,253900
1,117000	0,5	0,296350
1,125333	0,5	0,307900
1,133667	0,5	0,288800
1,142000	0,5	0,297300
1,150333	0,5	0,302350
1,158667	0,5	0,305450
1,167000	0,5	0,307650
1,175333	0,5	0,325000
1,183667	0,5	0,320300
1,192000	0,5	0,334400
1,200333	0,5	0,338550
1,208667	0,5	0,340500
1,217000	0,5	0,334400
1,225333	0,5	0,380250
1,233667	0,5	0,356800
1,242000	0,5	0,358500
1,250333	0,5	0,364450
1,258667	0,5	0,391450
1,267000	0,5	0,443750
1,275333	0,5	0,439400
1,283667	0,5	0,439500
1,292000	0,5	0,457600
1,300333	0,5	0,466800
1,308667	0,5	0,464300
1,317000	0,5	0,480000
1,325333	0,5	0,483900
1,333667	0,5	0,492400
1,342000	0,5	0,496050
1,350333	0,5	0,515650
1,358667	0,5	0,499750
1,367000	0,5	0,510500
1,375333	0,5	0,539850
1,383667	0,5	0,533300
1,392000	0,5	0,539450
1,400333	0,5	0,558900
1,408667	0,5	0,577750
1,417000	0,5	0,622150
1,425333	0,5	0,613750
1,433667	0,5	0,617800
1,442000	0,5	0,620650
1,450333	0,5	0,632400
1,458667	0,5	0,637250
1,467000	0,5	0,645650
1,475333	0,5	0,650650
1,483667	0,5	0,651100
1,492000	0,5	0,671500
1,500333	0,5	0,673950
1,508667	0,5	0,669600
1,517000	0,5	0,676650
1,525333	0,5	0,687750
1,533667	0,5	0,675250
1,542000	0,5	0,679000
1,550333	0,5	0,694400
1,558667	0,5	0,729900
1,567000	0,5	0,711400
1,575333	0,5	0,466750
1,583667	0,5	-0,348650
1,592000	0,5	-1,283450
1,600333	0,5	-0,694700
1,608667	0,5	2,087700
1,617000	0,5	5,567900
1,625333	0,5	8,983850
1,633667	0,5	12,385000
1,642000	0,5	15,267050
1,650333	0,5	16,700100
1,658667	0,5	16,462350
1,667000	0,5	15,316200
1,675333	0,5	13,854450
1,683667	0,5	12,440600
1,692000	0,5	11,236800
1,700333	0,5	10,457750
1,708667	0,5	10,455700
1,717000	0,5	11,670900
1,725333	0,5	13,406750
1,733667	0,5	13,886700
1,742000	0,5	12,471100
1,750333	0,5	10,459500
1,758667	0,5	8,995300
1,767000	0,5	8,444850
1,775333	0,5	8,748650
1,783667	0,5	9,670200
1,792000	0,5	10,826250
1,800333	0,5	11,618950
1,808667	0,5	11,656750
1,817000	0,5	11,145250
1,825333	0,5	10,414600
1,833667	0,5	9,684400
1,842000	0,5	8,975100
1,850333	0,5	8,346750
1,858667	0,5	7,810750
1,867000	0,5	7,324250
1,875333	0,5	6,926950
1,883667	0,5	6,569600
1,892000	0,5	6,264350
1,900333	0,5	5,954950
1,908667	0,5	5,703000
1,917000	0,5	5,501700
1,925333	0,5	5,449650
1,933667	0,5	5,667250
1,942000	0,5	6,166300
1,950333	0,5	6,571350
1,958667	0,5	6,689550
1,967000	0,5	7,184150
1,975333	0,5	10,013350
1,983667	0,5	18,855000
1,992000	0,5	39,623401
2,000333	0,5	84,632801
2,008667	0,5	189,937353
2,017000	0,5	414,447156
2,025333	0,5	712,497711
2,033667	0,5	879,702463
2,042000	0,5	821,598762
2,050333	0,5	638,140360
