File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/799.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_3b
Injection Number	57
Position	GB1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	15:42:26
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,338200
Signal Max.	2 760,675691
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,032950
0,008500	0,5	-0,084850
0,016833	0,5	-0,089500
0,025167	0,5	-0,064500
0,033500	0,5	-0,065700
0,041833	0,5	-0,075000
0,050167	0,5	-0,056100
0,058500	0,5	-0,018800
0,066833	0,5	0,037200
0,075167	0,5	0,031400
0,083500	0,5	0,033400
0,091833	0,5	0,026000
0,100167	0,5	0,031050
0,108500	0,5	0,009300
0,116833	0,5	0,017100
0,125167	0,5	0,011450
0,133500	0,5	0,007600
0,141833	0,5	0,010150
0,150167	0,5	0,004750
0,158500	0,5	0,002150
0,166833	0,5	0,011300
0,175167	0,5	0,017200
0,183500	0,5	-0,008650
0,191833	0,5	-0,011400
0,200167	0,5	-0,011950
0,208500	0,5	0,022150
0,216833	0,5	0,042750
0,225167	0,5	0,052400
0,233500	0,5	0,026800
0,241833	0,5	0,033300
0,250167	0,5	0,022400
0,258500	0,5	0,032700
0,266833	0,5	0,032450
0,275167	0,5	0,028850
0,283500	0,5	0,010800
0,291833	0,5	0,017850
0,300167	0,5	0,041150
0,308500	0,5	0,098550
0,316833	0,5	0,096950
0,325167	0,5	0,030000
0,333500	0,5	-0,018750
0,341833	0,5	-0,018600
0,350167	0,5	-0,024700
0,358500	0,5	0,020100
0,366833	0,5	0,047450
0,375167	0,5	0,037150
0,383500	0,5	0,030950
0,391833	0,5	0,029650
0,400167	0,5	0,024700
0,408500	0,5	0,011300
0,416833	0,5	0,014300
0,425167	0,5	-0,001200
0,433500	0,5	0,002500
0,441833	0,5	-0,005600
0,450167	0,5	-0,006550
0,458500	0,5	-0,021100
0,466833	0,5	0,031100
0,475167	0,5	-0,004250
0,483500	0,5	-0,021250
0,491833	0,5	-0,020150
0,500167	0,5	-0,002500
