File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/225.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_4a
Injection Number	25
Position	RC3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	00:21:38
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,645900
Signal Max.	2 704,460040
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,003200
0,008500	0,5	-0,070900
0,016833	0,5	-0,079200
0,025167	0,5	-0,077600
0,033500	0,5	-0,067250
0,041833	0,5	-0,023650
0,050167	0,5	-0,003650
0,058500	0,5	0,004550
0,066833	0,5	0,001650
0,075167	0,5	0,006400
0,083500	0,5	-0,007200
0,091833	0,5	0,001150
0,100167	0,5	-0,001950
0,108500	0,5	0,001850
0,116833	0,5	-0,011450
0,125167	0,5	0,002700
0,133500	0,5	0,011800
0,141833	0,5	-0,018450
0,150167	0,5	0,017000
0,158500	0,5	0,003250
0,166833	0,5	-0,002500
0,175167	0,5	-0,017100
0,183500	0,5	-0,004800
0,191833	0,5	0,029400
0,200167	0,5	0,045800
0,208500	0,5	0,019600
0,216833	0,5	0,026700
0,225167	0,5	0,016850
0,233500	0,5	0,019200
0,241833	0,5	0,000150
0,250167	0,5	0,011400
0,258500	0,5	0,001300
0,266833	0,5	0,010750
0,275167	0,5	0,018100
0,283500	0,5	0,001250
0,291833	0,5	-0,021200
0,300167	0,5	0,033450
0,308500	0,5	0,060100
0,316833	0,5	0,082650
0,325167	0,5	0,021500
0,333500	0,5	-0,011950
0,341833	0,5	0,007300
0,350167	0,5	0,005900
0,358500	0,5	-0,006100
0,366833	0,5	-0,004450
0,375167	0,5	0,011800
0,383500	0,5	-0,008250
0,391833	0,5	0,000750
0,400167	0,5	-0,005750
0,408500	0,5	-0,007200
0,416833	0,5	-0,014200
0,425167	0,5	-0,009250
0,433500	0,5	-0,008600
0,441833	0,5	-0,020400
0,450167	0,5	0,000600
0,458500	0,5	-0,029150
0,466833	0,5	-0,031200
0,475167	0,5	-0,030650
0,483500	0,5	-0,018050
0,491833	0,5	0,028100
0,500167	0,5	0,016400
0,508500	0,5	0,004050
0,516833	0,5	0,003150
0,525167	0,5	-0,009950
0,533500	0,5	-0,011150
0,541833	0,5	-0,017400
0,550167	0,5	-0,012150
0,558500	0,5	-0,029900
0,566833	0,5	-0,017350
0,575167	0,5	-0,010650
0,583500	0,5	-0,021300
0,591833	0,5	-0,025950
0,600167	0,5	-0,007650
0,608500	0,5	-0,042100
0,616833	0,5	-0,032750
0,625167	0,5	-0,032300
0,633500	0,5	0,001800
0,641833	0,5	0,030150
0,650167	0,5	0,008500
0,658500	0,5	-0,001050
0,666833	0,5	-0,002950
0,675167	0,5	0,003550
0,683500	0,5	-0,000750
0,691833	0,5	0,005000
0,700167	0,5	-0,005100
0,708500	0,5	-0,004550
0,716833	0,5	-0,014500
0,725167	0,5	-0,015050
0,733500	0,5	-0,034100
0,741833	0,5	-0,014950
0,750167	0,5	-0,026500
0,758500	0,5	-0,038950
0,766833	0,5	-0,038450
0,775167	0,5	-0,008900
0,783500	0,5	0,024250
0,791833	0,5	0,039850
0,800167	0,5	0,028650
0,808500	0,5	0,024700
0,816833	0,5	0,019550
0,825167	0,5	0,012900
0,833500	0,5	0,014000
