File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/729.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_4b
Injection Number	31
Position	RD1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	03:14:16
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,838850
Signal Max.	2 751,517891
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,050200
0,008500	0,5	-0,078000
0,016833	0,5	-0,076100
0,025167	0,5	-0,073200
0,033500	0,5	-0,070350
0,041833	0,5	-0,034200
0,050167	0,5	0,009150
0,058500	0,5	0,025300
0,066833	0,5	0,014900
0,075167	0,5	0,018550
0,083500	0,5	0,009200
0,091833	0,5	0,007450
0,100167	0,5	0,006700
0,108500	0,5	0,014650
0,116833	0,5	0,011500
0,125167	0,5	0,010300
0,133500	0,5	0,012900
0,141833	0,5	-0,013000
0,150167	0,5	-0,004850
0,158500	0,5	0,019300
0,166833	0,5	-0,003550
0,175167	0,5	-0,015400
0,183500	0,5	-0,007100
0,191833	0,5	0,018600
0,200167	0,5	0,055900
0,208500	0,5	0,045400
0,216833	0,5	0,036200
0,225167	0,5	0,024150
0,233500	0,5	0,025050
0,241833	0,5	0,017300
0,250167	0,5	0,017700
0,258500	0,5	0,016200
0,266833	0,5	0,006250
0,275167	0,5	0,010350
0,283500	0,5	-0,001650
0,291833	0,5	-0,004000
0,300167	0,5	0,060250
0,308500	0,5	0,099800
0,316833	0,5	0,051300
0,325167	0,5	-0,007550
0,333500	0,5	-0,030300
0,341833	0,5	-0,006250
0,350167	0,5	0,014200
0,358500	0,5	0,024900
0,366833	0,5	0,005450
0,375167	0,5	0,014950
0,383500	0,5	-0,007950
0,391833	0,5	0,002350
0,400167	0,5	-0,007450
0,408500	0,5	-0,010150
0,416833	0,5	-0,016200
0,425167	0,5	-0,013050
0,433500	0,5	-0,012550
0,441833	0,5	-0,023850
0,450167	0,5	0,002300
0,458500	0,5	-0,014300
0,466833	0,5	-0,034000
0,475167	0,5	-0,030550
0,483500	0,5	-0,020350
0,491833	0,5	0,016200
0,500167	0,5	0,013300
0,508500	0,5	-0,006850
0,516833	0,5	-0,003400
0,525167	0,5	-0,013050
0,533500	0,5	-0,011050
0,541833	0,5	-0,024950
0,550167	0,5	-0,007650
0,558500	0,5	-0,016300
0,566833	0,5	-0,011050
0,575167	0,5	-0,013400
0,583500	0,5	-0,022150
0,591833	0,5	-0,020150
0,600167	0,5	0,015300
0,608500	0,5	-0,014800
0,616833	0,5	-0,028500
0,625167	0,5	-0,019750
0,633500	0,5	-0,005650
0,641833	0,5	0,029100
0,650167	0,5	0,003750
0,658500	0,5	0,016800
0,666833	0,5	0,013550
0,675167	0,5	0,013350
0,683500	0,5	0,002150
0,691833	0,5	0,000250
0,700167	0,5	-0,007550
0,708500	0,5	-0,006900
0,716833	0,5	-0,009550
0,725167	0,5	-0,005350
0,733500	0,5	-0,022350
0,741833	0,5	0,002300
