File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/793.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_C-NE
Injection Number	63
Position	GB7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	18:35:19
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,470500
Signal Max.	2 758,308241
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,014050
0,008500	0,5	-0,109200
0,016833	0,5	-0,111350
0,025167	0,5	-0,102250
0,033500	0,5	-0,087800
0,041833	0,5	-0,082500
0,050167	0,5	-0,065100
0,058500	0,5	-0,067850
0,066833	0,5	-0,039300
0,075167	0,5	-0,050250
0,083500	0,5	-0,002650
0,091833	0,5	-0,035500
0,100167	0,5	-0,049650
0,108500	0,5	-0,054900
0,116833	0,5	-0,043000
0,125167	0,5	0,012500
0,133500	0,5	0,010950
0,141833	0,5	-0,010400
0,150167	0,5	-0,001950
0,158500	0,5	-0,010100
0,166833	0,5	-0,008950
0,175167	0,5	-0,017450
0,183500	0,5	-0,012550
0,191833	0,5	-0,017750
0,200167	0,5	-0,024100
0,208500	0,5	-0,023050
0,216833	0,5	-0,039100
0,225167	0,5	-0,029900
0,233500	0,5	0,012350
0,241833	0,5	-0,024900
0,250167	0,5	-0,036700
0,258500	0,5	-0,028500
0,266833	0,5	-0,022500
0,275167	0,5	0,022150
0,283500	0,5	-0,004250
0,291833	0,5	-0,002000
0,300167	0,5	0,007850
0,308500	0,5	0,074250
0,316833	0,5	0,084400
0,325167	0,5	0,025550
0,333500	0,5	-0,022300
0,341833	0,5	-0,033500
0,350167	0,5	-0,034100
0,358500	0,5	-0,032950
0,366833	0,5	-0,025550
0,375167	0,5	-0,008650
0,383500	0,5	-0,001950
0,391833	0,5	-0,031750
0,400167	0,5	-0,031450
0,408500	0,5	-0,032800
0,416833	0,5	-0,005000
0,425167	0,5	0,015450
0,433500	0,5	0,014350
0,441833	0,5	-0,004150
0,450167	0,5	0,003750
0,458500	0,5	-0,011450
0,466833	0,5	-0,008800
0,475167	0,5	-0,005850
0,483500	0,5	-0,002850
0,491833	0,5	-0,009350
0,500167	0,5	-0,005450
0,508500	0,5	-0,006350
0,516833	0,5	-0,019850
0,525167	0,5	0,002000
0,533500	0,5	-0,001000
0,541833	0,5	-0,008550
0,550167	0,5	-0,015000
0,558500	0,5	-0,000750
0,566833	0,5	0,039800
0,575167	0,5	0,054850
0,583500	0,5	0,030100
0,591833	0,5	0,031800
0,600167	0,5	0,036150
0,608500	0,5	0,036450
0,616833	0,5	0,032200
0,625167	0,5	0,038950
0,633500	0,5	0,023750
0,641833	0,5	0,039300
0,650167	0,5	0,036050
0,658500	0,5	0,039050
0,666833	0,5	0,020400
0,675167	0,5	0,052000
0,683500	0,5	0,031950
0,691833	0,5	0,030250
0,700167	0,5	0,026950
0,708500	0,5	0,050150
0,716833	0,5	0,095650
0,725167	0,5	0,095500
0,733500	0,5	0,090450
0,741833	0,5	0,100750
0,750167	0,5	0,097850
0,758500	0,5	0,096500
0,766833	0,5	0,102000
0,775167	0,5	0,099600
0,783500	0,5	0,095200
0,791833	0,5	0,093900
0,800167	0,5	0,106500
0,808500	0,5	0,081200
0,816833	0,5	0,089500
0,825167	0,5	0,095600
0,833500	0,5	0,083200
0,841833	0,5	0,088800
0,850167	0,5	0,108100
0,858500	0,5	0,141500
0,866833	0,5	0,173850
0,875167	0,5	0,170100
0,883500	0,5	0,169500
0,891833	0,5	0,168300
0,900167	0,5	0,173600
0,908500	0,5	0,162500
0,916833	0,5	0,168750
0,925167	0,5	0,178750
0,933500	0,5	0,163850
0,941833	0,5	0,170850
0,950167	0,5	0,167750
0,958500	0,5	0,163100
0,966833	0,5	0,187050
0,975167	0,5	0,183450
0,983500	0,5	0,166050
0,991833	0,5	0,173500
1,000167	0,5	0,179850
1,008500	0,5	0,222200
1,016833	0,5	0,234500
1,025167	0,5	0,234650
1,033500	0,5	0,223000
1,041833	0,5	0,241950
1,050167	0,5	0,241900
1,058500	0,5	0,246150
1,066833	0,5	0,242050
1,075167	0,5	0,240800
1,083500	0,5	0,244950
1,091833	0,5	0,251100
1,100167	0,5	0,261100
1,108500	0,5	0,250600
1,116833	0,5	0,283450
1,125167	0,5	0,271050
1,133500	0,5	0,260300
1,141833	0,5	0,262100
1,150167	0,5	0,285000
1,158500	0,5	0,328200
1,166833	0,5	0,336900
1,175167	0,5	0,321400
1,183500	0,5	0,335700
1,191833	0,5	0,335650
1,200167	0,5	0,345400
1,208500	0,5	0,343700
1,216833	0,5	0,358150
1,225167	0,5	0,346500
1,233500	0,5	0,350650
1,241833	0,5	0,361150
1,250167	0,5	0,351950
1,258500	0,5	0,370600
1,266833	0,5	0,397900
1,275167	0,5	0,381200
1,283500	0,5	0,388200
1,291833	0,5	0,404900
1,300167	0,5	0,434100
1,308500	0,5	0,473500
1,316833	0,5	0,458650
1,325167	0,5	0,470250
1,333500	0,5	0,481950
1,341833	0,5	0,494200
1,350167	0,5	0,485950
1,358500	0,5	0,513450
1,366833	0,5	0,506900
1,375167	0,5	0,520900
1,383500	0,5	0,527200
1,391833	0,5	0,542000
1,400167	0,5	0,539400
1,408500	0,5	0,580600
1,416833	0,5	0,575750
1,425167	0,5	0,575050
1,433500	0,5	0,569450
1,441833	0,5	0,590850
1,450167	0,5	0,632250
1,458500	0,5	0,657750
1,466833	0,5	0,657800
1,475167	0,5	0,658350
1,483500	0,5	0,669150
1,491833	0,5	0,658950
1,500167	0,5	0,676000
