File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/257.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_CelS2
Injection Number	13
Position	RA7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	18:36:21
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-6,821150
Signal Max.	1 659,120475
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,093700
0,008667	0,5	-0,107050
0,017000	0,5	-0,106100
0,025333	0,5	-0,091550
0,033667	0,5	-0,026750
0,042000	0,5	0,014850
0,050333	0,5	0,003400
0,058667	0,5	-0,020750
0,067000	0,5	-0,000850
0,075333	0,5	-0,008900
0,083667	0,5	-0,010000
0,092000	0,5	-0,017900
0,100333	0,5	-0,019750
0,108667	0,5	-0,025650
0,117000	0,5	-0,016800
0,125333	0,5	0,013500
0,133667	0,5	0,006900
0,142000	0,5	0,012850
0,150333	0,5	0,008800
0,158667	0,5	-0,019500
0,167000	0,5	-0,025050
0,175333	0,5	-0,009800
0,183667	0,5	0,016100
0,192000	0,5	0,048800
0,200333	0,5	0,013200
0,208667	0,5	0,020400
0,217000	0,5	0,006550
0,225333	0,5	0,016650
0,233667	0,5	0,020000
0,242000	0,5	0,029150
0,250333	0,5	0,004750
0,258667	0,5	0,001350
0,267000	0,5	-0,000200
0,275333	0,5	-0,010800
0,283667	0,5	-0,025350
0,292000	0,5	0,009100
0,300333	0,5	0,017450
0,308667	0,5	0,000500
0,317000	0,5	-0,027400
0,325333	0,5	-0,024800
0,333667	0,5	0,016200
0,342000	0,5	0,010800
0,350333	0,5	0,009050
0,358667	0,5	-0,000900
0,367000	0,5	0,009800
0,375333	0,5	-0,008550
0,383667	0,5	-0,005400
0,392000	0,5	-0,020450
0,400333	0,5	-0,017350
0,408667	0,5	-0,028150
0,417000	0,5	-0,021500
0,425333	0,5	-0,028900
0,433667	0,5	-0,002250
0,442000	0,5	-0,001900
0,450333	0,5	-0,039150
0,458667	0,5	-0,050750
0,467000	0,5	-0,047300
0,475333	0,5	-0,013200
0,483667	0,5	0,012550
0,492000	0,5	0,013150
0,500333	0,5	-0,002350
0,508667	0,5	-0,005950
0,517000	0,5	-0,016050
0,525333	0,5	-0,008350
0,533667	0,5	-0,004800
0,542000	0,5	-0,009800
0,550333	0,5	-0,030000
0,558667	0,5	-0,019600
0,567000	0,5	-0,022050
0,575333	0,5	-0,029350
0,583667	0,5	-0,008550
0,592000	0,5	-0,021600
0,600333	0,5	-0,047150
0,608667	0,5	-0,048950
0,617000	0,5	-0,050000
0,625333	0,5	0,003400
0,633667	0,5	0,006000
0,642000	0,5	-0,011950
0,650333	0,5	-0,026950
0,658667	0,5	-0,018100
0,667000	0,5	-0,030300
0,675333	0,5	-0,029800
0,683667	0,5	-0,033700
0,692000	0,5	-0,044400
0,700333	0,5	-0,044600
0,708667	0,5	-0,051350
0,717000	0,5	-0,042300
0,725333	0,5	-0,062500
0,733667	0,5	-0,004600
0,742000	0,5	-0,054650
0,750333	0,5	-0,066000
0,758667	0,5	-0,076100
0,767000	0,5	-0,058700
0,775333	0,5	-0,011150
0,783667	0,5	-0,029300
0,792000	0,5	-0,053150
0,800333	0,5	-0,036600
0,808667	0,5	-0,049500
0,817000	0,5	-0,053750
0,825333	0,5	-0,046950
0,833667	0,5	-0,055050
0,842000	0,5	-0,062900
0,850333	0,5	-0,062450
0,858667	0,5	-0,050250
0,867000	0,5	-0,080200
0,875333	0,5	-0,081450
0,883667	0,5	-0,055350
0,892000	0,5	-0,087800
0,900333	0,5	-0,093200
0,908667	0,5	-0,086050
0,917000	0,5	-0,074150
0,925333	0,5	-0,002900
0,933667	0,5	-0,043500
0,942000	0,5	-0,052500
0,950333	0,5	-0,069600
0,958667	0,5	-0,058800
0,967000	0,5	-0,077300
0,975333	0,5	-0,061800
0,983667	0,5	-0,071100
0,992000	0,5	-0,082200
1,000333	0,5	-0,079650
1,008667	0,5	-0,081300
1,017000	0,5	-0,083500
1,025333	0,5	-0,062650
1,033667	0,5	-0,063850
1,042000	0,5	-0,100450
1,050333	0,5	-0,099000
1,058667	0,5	-0,093350
1,067000	0,5	-0,069500
1,075333	0,5	-0,046400
1,083667	0,5	-0,047500
1,092000	0,5	-0,073800
1,100333	0,5	-0,057900
1,108667	0,5	-0,076250
1,117000	0,5	-0,074100
1,125333	0,5	-0,071000
1,133667	0,5	-0,078500
1,142000	0,5	-0,083000
1,150333	0,5	-0,086550
1,158667	0,5	-0,083950
1,167000	0,5	-0,104750
1,175333	0,5	-0,090350
1,183667	0,5	-0,089300
1,192000	0,5	-0,116050
1,200333	0,5	-0,118200
1,208667	0,5	-0,096650
1,217000	0,5	-0,065300
1,225333	0,5	-0,028850
1,233667	0,5	-0,062450
1,242000	0,5	-0,063450
1,250333	0,5	-0,077550
1,258667	0,5	-0,072500
1,267000	0,5	-0,080300
1,275333	0,5	-0,068500
1,283667	0,5	-0,086450
1,292000	0,5	-0,084800
1,300333	0,5	-0,087100
1,308667	0,5	-0,113050
1,317000	0,5	-0,122700
1,325333	0,5	-0,083200
1,333667	0,5	-0,120150
1,342000	0,5	-0,126200
1,350333	0,5	-0,125800
1,358667	0,5	-0,099750
1,367000	0,5	-0,065450
1,375333	0,5	-0,064600
1,383667	0,5	-0,067100
1,392000	0,5	-0,074500
1,400333	0,5	-0,074600
1,408667	0,5	-0,091400
1,417000	0,5	-0,078650
1,425333	0,5	-0,090200
1,433667	0,5	-0,092350
