File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/223.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	EG_PASC_WT
Injection Number	19
Position	RB5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	21:29:01
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-6,930950
Signal Max.	2 688,159940
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,057500
0,008667	0,5	-0,071200
0,017000	0,5	-0,067500
0,025333	0,5	-0,032700
0,033667	0,5	0,023600
0,042000	0,5	0,020100
0,050333	0,5	0,017700
0,058667	0,5	0,020100
0,067000	0,5	0,023350
0,075333	0,5	0,009650
0,083667	0,5	0,018500
0,092000	0,5	0,018700
0,100333	0,5	0,019300
0,108667	0,5	0,016850
0,117000	0,5	0,009450
0,125333	0,5	-0,005300
0,133667	0,5	0,021550
0,142000	0,5	0,016200
0,150333	0,5	-0,007400
0,158667	0,5	-0,009850
0,167000	0,5	-0,006300
0,175333	0,5	0,028650
0,183667	0,5	0,052950
0,192000	0,5	0,036600
0,200333	0,5	0,038850
0,208667	0,5	0,023850
0,217000	0,5	0,030400
0,225333	0,5	0,025200
0,233667	0,5	0,025050
0,242000	0,5	0,011150
0,250333	0,5	0,007000
0,258667	0,5	0,021650
0,267000	0,5	0,005850
0,275333	0,5	0,002550
0,283667	0,5	0,023200
0,292000	0,5	0,013200
0,300333	0,5	0,030150
0,308667	0,5	0,096600
0,317000	0,5	0,043550
0,325333	0,5	0,020600
0,333667	0,5	0,015500
0,342000	0,5	0,014950
0,350333	0,5	0,008000
0,358667	0,5	0,005200
0,367000	0,5	-0,009100
0,375333	0,5	-0,003750
0,383667	0,5	-0,006800
0,392000	0,5	-0,007000
0,400333	0,5	-0,009600
0,408667	0,5	-0,009200
0,417000	0,5	-0,004800
0,425333	0,5	-0,017900
0,433667	0,5	0,024850
0,442000	0,5	-0,014350
0,450333	0,5	-0,024600
0,458667	0,5	-0,022200
0,467000	0,5	-0,003550
0,475333	0,5	0,022250
0,483667	0,5	0,010250
0,492000	0,5	-0,006850
0,500333	0,5	0,000900
0,508667	0,5	-0,009350
0,517000	0,5	-0,008650
0,525333	0,5	-0,018500
0,533667	0,5	0,001000
0,542000	0,5	-0,015650
0,550333	0,5	-0,021050
0,558667	0,5	-0,014500
0,567000	0,5	-0,029850
0,575333	0,5	-0,021750
0,583667	0,5	-0,000100
0,592000	0,5	-0,026800
0,600333	0,5	-0,036050
0,608667	0,5	-0,028600
0,617000	0,5	-0,010900
0,625333	0,5	0,022250
0,633667	0,5	-0,001400
0,642000	0,5	-0,000750
0,650333	0,5	-0,012650
0,658667	0,5	-0,007700
0,667000	0,5	-0,021650
0,675333	0,5	-0,009800
0,683667	0,5	-0,022200
0,692000	0,5	-0,025200
0,700333	0,5	-0,028050
0,708667	0,5	-0,027300
0,717000	0,5	-0,050300
0,725333	0,5	-0,030600
0,733667	0,5	-0,035450
0,742000	0,5	-0,049200
0,750333	0,5	-0,058550
0,758667	0,5	-0,046150
0,767000	0,5	-0,009350
0,775333	0,5	0,000450
0,783667	0,5	-0,018300
0,792000	0,5	-0,030950
0,800333	0,5	-0,028950
0,808667	0,5	-0,039500
0,817000	0,5	-0,033750
0,825333	0,5	-0,043250
0,833667	0,5	-0,032700
0,842000	0,5	-0,050300
0,850333	0,5	-0,046550
0,858667	0,5	-0,047350
0,867000	0,5	-0,052050
0,875333	0,5	-0,029600
