File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/430.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Std_C1ox_0,0025
Injection Number	37
Position	RA2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	06:06:55
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,992750
Signal Max.	20,476850
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,077750
0,008667	0,5	-0,079650
0,017000	0,5	-0,062300
0,025333	0,5	-0,030800
0,033667	0,5	0,012500
0,042000	0,5	-0,010350
0,050333	0,5	-0,001150
0,058667	0,5	-0,003100
0,067000	0,5	0,002850
0,075333	0,5	0,000900
0,083667	0,5	0,005050
0,092000	0,5	-0,002400
0,100333	0,5	-0,001800
0,108667	0,5	0,011700
0,117000	0,5	0,010600
0,125333	0,5	0,001300
0,133667	0,5	0,022700
0,142000	0,5	0,012300
0,150333	0,5	-0,012950
0,158667	0,5	-0,008900
0,167000	0,5	0,002500
0,175333	0,5	0,044050
0,183667	0,5	0,042050
0,192000	0,5	0,035600
0,200333	0,5	0,032350
0,208667	0,5	0,035900
0,217000	0,5	0,015200
0,225333	0,5	0,014800
0,233667	0,5	0,010350
0,242000	0,5	0,008950
0,250333	0,5	0,009550
0,258667	0,5	0,014300
0,267000	0,5	0,032750
0,275333	0,5	0,014200
0,283667	0,5	0,038200
0,292000	0,5	0,002450
0,300333	0,5	0,014500
0,308667	0,5	0,007400
0,317000	0,5	0,019100
0,325333	0,5	0,035550
0,333667	0,5	0,045750
0,342000	0,5	0,016200
0,350333	0,5	0,026000
0,358667	0,5	0,017050
0,367000	0,5	0,015850
0,375333	0,5	0,004050
0,383667	0,5	0,008800
0,392000	0,5	0,003350
0,400333	0,5	0,005750
0,408667	0,5	0,006900
0,417000	0,5	-0,004600
0,425333	0,5	-0,001750
0,433667	0,5	0,013650
0,442000	0,5	-0,014850
0,450333	0,5	-0,013150
0,458667	0,5	-0,015500
0,467000	0,5	0,010800
0,475333	0,5	0,041950
0,483667	0,5	0,028150
0,492000	0,5	0,028950
0,500333	0,5	0,028500
0,508667	0,5	0,024650
0,517000	0,5	0,007900
0,525333	0,5	0,013950
0,533667	0,5	-0,000400
0,542000	0,5	0,003750
0,550333	0,5	0,006800
0,558667	0,5	0,002250
0,567000	0,5	-0,017150
0,575333	0,5	0,013700
0,583667	0,5	-0,005500
0,592000	0,5	-0,015600
0,600333	0,5	-0,010300
0,608667	0,5	-0,007600
0,617000	0,5	0,027600
0,625333	0,5	0,038000
0,633667	0,5	0,039450
0,642000	0,5	0,031400
0,650333	0,5	0,031900
0,658667	0,5	0,017300
0,667000	0,5	0,018650
0,675333	0,5	0,016400
0,683667	0,5	0,014100
0,692000	0,5	0,007400
0,700333	0,5	0,020650
0,708667	0,5	-0,000650
0,717000	0,5	0,008000
0,725333	0,5	0,027650
0,733667	0,5	0,016550
0,742000	0,5	-0,005900
0,750333	0,5	0,009450
0,758667	0,5	0,019250
0,767000	0,5	0,059250
0,775333	0,5	0,053400
0,783667	0,5	0,042150
0,792000	0,5	0,041050
0,800333	0,5	0,045000
0,808667	0,5	0,041400
0,817000	0,5	0,035800
0,825333	0,5	0,032900
0,833667	0,5	0,033250
0,842000	0,5	0,040000
0,850333	0,5	0,045400
0,858667	0,5	0,049200
0,867000	0,5	0,045750
0,875333	0,5	0,071800
0,883667	0,5	0,043750
0,892000	0,5	0,043000
0,900333	0,5	0,044400
0,908667	0,5	0,069400
0,917000	0,5	0,091200
0,925333	0,5	0,085100
0,933667	0,5	0,069450
0,942000	0,5	0,079850
0,950333	0,5	0,070200
0,958667	0,5	0,074050
0,967000	0,5	0,076300
0,975333	0,5	0,077600
0,983667	0,5	0,075350
0,992000	0,5	0,083150
1,000333	0,5	0,103150
1,008667	0,5	0,075700
1,017000	0,5	0,103350
1,025333	0,5	0,097550
1,033667	0,5	0,086300
1,042000	0,5	0,078200
1,050333	0,5	0,095250
1,058667	0,5	0,125550
1,067000	0,5	0,140800
1,075333	0,5	0,111850
1,083667	0,5	0,124200
1,092000	0,5	0,125100
1,100333	0,5	0,134200
1,108667	0,5	0,122150
1,117000	0,5	0,135700
1,125333	0,5	0,127650
1,133667	0,5	0,129200
1,142000	0,5	0,132900
