File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/478.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_2a
Injection Number	33
Position	RD3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	04:11:47
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,923150
Signal Max.	35,566651
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,050450
0,008500	0,5	-0,071650
0,016833	0,5	-0,069100
0,025167	0,5	-0,041500
0,033500	0,5	-0,055050
0,041833	0,5	-0,052400
0,050167	0,5	-0,050850
0,058500	0,5	-0,016350
0,066833	0,5	0,023900
0,075167	0,5	0,037800
0,083500	0,5	0,016000
0,091833	0,5	0,020200
0,100167	0,5	0,006700
0,108500	0,5	0,010600
0,116833	0,5	-0,001500
0,125167	0,5	0,007900
0,133500	0,5	-0,006850
0,141833	0,5	-0,006400
0,150167	0,5	0,023900
0,158500	0,5	0,040400
0,166833	0,5	0,033750
0,175167	0,5	0,040500
0,183500	0,5	0,003450
0,191833	0,5	-0,000950
0,200167	0,5	-0,007600
0,208500	0,5	0,022050
0,216833	0,5	0,060400
0,225167	0,5	0,040200
0,233500	0,5	0,038000
0,241833	0,5	0,019850
0,250167	0,5	0,040400
0,258500	0,5	0,019800
0,266833	0,5	0,024900
0,275167	0,5	0,012400
0,283500	0,5	0,010200
0,291833	0,5	0,007250
0,300167	0,5	0,038000
0,308500	0,5	0,078150
0,316833	0,5	0,077150
