File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/307.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_2b
Injection Number	41
Position	RE1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	08:01:59
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,771500
Signal Max.	40,289751
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,012550
0,008667	0,5	-0,069700
0,017000	0,5	-0,081450
0,025333	0,5	-0,080700
0,033667	0,5	-0,081150
0,042000	0,5	-0,058800
0,050333	0,5	-0,010950
0,058667	0,5	0,009150
0,067000	0,5	0,001450
0,075333	0,5	-0,012400
0,083667	0,5	-0,004050
0,092000	0,5	-0,019400
0,100333	0,5	-0,009750
0,108667	0,5	-0,013150
0,117000	0,5	-0,003500
0,125333	0,5	-0,004250
0,133667	0,5	0,005850
0,142000	0,5	0,029150
0,150333	0,5	0,012900
0,158667	0,5	0,037650
0,167000	0,5	0,010950
0,175333	0,5	-0,004650
0,183667	0,5	-0,010650
0,192000	0,5	-0,005100
0,200333	0,5	0,041950
0,208667	0,5	0,033750
0,217000	0,5	0,015350
0,225333	0,5	0,025200
0,233667	0,5	0,014650
0,242000	0,5	0,012100
0,250333	0,5	0,006350
0,258667	0,5	0,012800
0,267000	0,5	-0,004900
0,275333	0,5	-0,000300
0,283667	0,5	-0,001600
0,292000	0,5	0,024700
0,300333	0,5	0,005250
0,308667	0,5	0,083600
0,317000	0,5	0,072400
0,325333	0,5	0,033550
0,333667	0,5	-0,013800
0,342000	0,5	-0,009000
0,350333	0,5	0,022250
0,358667	0,5	0,013450
0,367000	0,5	0,005450
0,375333	0,5	0,008700
0,383667	0,5	-0,000050
0,392000	0,5	-0,000300
0,400333	0,5	0,002000
0,408667	0,5	-0,006800
0,417000	0,5	-0,004250
0,425333	0,5	-0,009100
0,433667	0,5	-0,000250
0,442000	0,5	-0,017650
0,450333	0,5	-0,016300
0,458667	0,5	-0,011550
0,467000	0,5	-0,029200
0,475333	0,5	-0,035000
0,483667	0,5	-0,027750
0,492000	0,5	-0,005450
0,500333	0,5	0,026650
0,508667	0,5	0,011400
0,517000	0,5	0,003100
0,525333	0,5	0,004600
0,533667	0,5	-0,000400
0,542000	0,5	-0,003700
0,550333	0,5	-0,006550
0,558667	0,5	-0,012000
0,567000	0,5	-0,022500
0,575333	0,5	-0,013400
0,583667	0,5	-0,013650
0,592000	0,5	-0,009750
0,600333	0,5	0,011100
0,608667	0,5	-0,006850
0,617000	0,5	-0,034150
0,625333	0,5	-0,020000
0,633667	0,5	-0,021750
0,642000	0,5	0,013200
0,650333	0,5	0,021600
0,658667	0,5	0,028100
0,667000	0,5	0,005900
0,675333	0,5	0,016750
0,683667	0,5	-0,002200
0,692000	0,5	0,000150
0,700333	0,5	-0,006900
0,708667	0,5	-0,017150
0,717000	0,5	-0,012150
0,725333	0,5	-0,008200
0,733667	0,5	0,004250
0,742000	0,5	0,006550
0,750333	0,5	0,022500
0,758667	0,5	-0,002600
0,767000	0,5	-0,021950
0,775333	0,5	-0,015650
0,783667	0,5	0,004500
0,792000	0,5	0,034650
0,800333	0,5	0,036200
0,808667	0,5	0,012200
0,817000	0,5	0,023400
0,825333	0,5	0,018450
0,833667	0,5	0,021450
0,842000	0,5	0,010950
0,850333	0,5	0,013350
0,858667	0,5	0,008400
0,867000	0,5	0,021150
0,875333	0,5	0,024050
0,883667	0,5	0,016250
0,892000	0,5	0,027400
0,900333	0,5	0,037050
0,908667	0,5	0,016650
0,917000	0,5	0,016000
0,925333	0,5	0,027000
0,933667	0,5	0,041400
0,942000	0,5	0,064900
0,950333	0,5	0,043550
0,958667	0,5	0,048900
0,967000	0,5	0,047750
0,975333	0,5	0,050850
0,983667	0,5	0,044550
0,992000	0,5	0,054450
1,000333	0,5	0,041850
1,008667	0,5	0,042750
1,017000	0,5	0,049650
1,025333	0,5	0,062850
1,033667	0,5	0,040350
1,042000	0,5	0,087150
1,050333	0,5	0,062400
1,058667	0,5	0,057250
1,067000	0,5	0,048800
1,075333	0,5	0,065150
1,083667	0,5	0,107050
1,092000	0,5	0,104200
1,100333	0,5	0,094700
1,108667	0,5	0,088050
1,117000	0,5	0,108550
1,125333	0,5	0,090350
1,133667	0,5	0,087850
1,142000	0,5	0,090350
1,150333	0,5	0,096250
1,158667	0,5	0,098400
1,167000	0,5	0,104600
1,175333	0,5	0,114150
1,183667	0,5	0,105950
1,192000	0,5	0,131600
1,200333	0,5	0,110150
1,208667	0,5	0,107750
1,217000	0,5	0,107750
1,225333	0,5	0,125350
1,233667	0,5	0,170500
1,242000	0,5	0,157600
1,250333	0,5	0,148150
1,258667	0,5	0,149400
1,267000	0,5	0,158900
1,275333	0,5	0,159100
1,283667	0,5	0,164350
1,292000	0,5	0,169100
1,300333	0,5	0,164800
1,308667	0,5	0,173700
1,317000	0,5	0,183650
1,325333	0,5	0,203250
1,333667	0,5	0,182000
1,342000	0,5	0,215450
1,350333	0,5	0,190500
1,358667	0,5	0,195450
1,367000	0,5	0,195600
1,375333	0,5	0,222600
1,383667	0,5	0,262450
1,392000	0,5	0,263700
1,400333	0,5	0,261300
1,408667	0,5	0,268850
1,417000	0,5	0,273050
1,425333	0,5	0,275450
1,433667	0,5	0,279900
1,442000	0,5	0,284300
1,450333	0,5	0,289200
1,458667	0,5	0,296600
1,467000	0,5	0,308750
1,475333	0,5	0,298650
1,483667	0,5	0,320100
1,492000	0,5	0,331300
