File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/238.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_3a
Injection Number	47
Position	RE7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	10:54:37
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,027450
Signal Max.	50,218001
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,075900
0,008667	0,5	-0,088250
0,017000	0,5	-0,095700
0,025333	0,5	-0,087400
0,033667	0,5	-0,054150
0,042000	0,5	-0,021250
0,050333	0,5	0,006650
0,058667	0,5	-0,013150
0,067000	0,5	-0,009750
0,075333	0,5	0,005550
0,083667	0,5	0,006450
0,092000	0,5	-0,003000
0,100333	0,5	0,002200
0,108667	0,5	-0,009850
0,117000	0,5	-0,002750
0,125333	0,5	-0,009900
0,133667	0,5	0,006800
0,142000	0,5	-0,028600
0,150333	0,5	0,007850
0,158667	0,5	-0,008200
0,167000	0,5	-0,013500
0,175333	0,5	-0,026500
0,183667	0,5	-0,002650
0,192000	0,5	0,027000
0,200333	0,5	0,047600
0,208667	0,5	0,022850
0,217000	0,5	0,024550
0,225333	0,5	0,016800
0,233667	0,5	0,017300
0,242000	0,5	0,014550
0,250333	0,5	0,010300
0,258667	0,5	0,008500
0,267000	0,5	0,004950
0,275333	0,5	0,016150
0,283667	0,5	-0,014400
0,292000	0,5	-0,016250
0,300333	0,5	0,029150
0,308667	0,5	0,054100
0,317000	0,5	0,005700
0,325333	0,5	-0,025100
0,333667	0,5	-0,022300
0,342000	0,5	0,019950
0,350333	0,5	0,020250
0,358667	0,5	0,024950
0,367000	0,5	0,011350
0,375333	0,5	0,011100
0,383667	0,5	-0,001050
0,392000	0,5	0,008550
0,400333	0,5	-0,001050
0,408667	0,5	-0,010850
0,417000	0,5	-0,009400
0,425333	0,5	-0,019450
0,433667	0,5	-0,025550
0,442000	0,5	-0,014150
0,450333	0,5	-0,015200
0,458667	0,5	-0,036650
0,467000	0,5	-0,038950
0,475333	0,5	-0,035000
0,483667	0,5	0,002550
0,492000	0,5	0,013800
0,500333	0,5	0,022400
0,508667	0,5	-0,002500
0,517000	0,5	0,014450
0,525333	0,5	-0,002350
0,533667	0,5	0,000700
0,542000	0,5	-0,006200
0,550333	0,5	0,001750
0,558667	0,5	-0,007850
0,567000	0,5	-0,000700
0,575333	0,5	-0,008050
0,583667	0,5	-0,022050
0,592000	0,5	0,005150
0,600333	0,5	-0,007850
0,608667	0,5	-0,020500
0,617000	0,5	-0,023350
0,625333	0,5	-0,013700
0,633667	0,5	0,025850
0,642000	0,5	0,051800
0,650333	0,5	0,031800
0,658667	0,5	0,028500
0,667000	0,5	0,017000
0,675333	0,5	0,022150
0,683667	0,5	0,014450
0,692000	0,5	0,021100
0,700333	0,5	0,010100
0,708667	0,5	0,009800
0,717000	0,5	0,011900
0,725333	0,5	-0,001050
0,733667	0,5	-0,014150
0,742000	0,5	0,040600
0,750333	0,5	0,009650
0,758667	0,5	0,004100
0,767000	0,5	0,008200
0,775333	0,5	0,024550
0,783667	0,5	0,070750
0,792000	0,5	0,051900
0,800333	0,5	0,051650
0,808667	0,5	0,045300
0,817000	0,5	0,051800
0,825333	0,5	0,039750
0,833667	0,5	0,049450
0,842000	0,5	0,056850
0,850333	0,5	0,055150
0,858667	0,5	0,052150
0,867000	0,5	0,062450
0,875333	0,5	0,047750
0,883667	0,5	0,059800
0,892000	0,5	0,080000
0,900333	0,5	0,062050
0,908667	0,5	0,048450
0,917000	0,5	0,060850
0,925333	0,5	0,080700
0,933667	0,5	0,122900
0,942000	0,5	0,113950
0,950333	0,5	0,099050
0,958667	0,5	0,104350
0,967000	0,5	0,095350
0,975333	0,5	0,096650
0,983667	0,5	0,097200
