File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/803.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_3b
Injection Number	53
Position	GA5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	13:47:21
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,285800
Signal Max.	37,023951
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,006300
0,008500	0,5	-0,082900
0,016833	0,5	-0,090700
0,025167	0,5	-0,084150
0,033500	0,5	-0,077400
0,041833	0,5	-0,022750
0,050167	0,5	-0,038700
0,058500	0,5	-0,050000
0,066833	0,5	-0,046450
0,075167	0,5	-0,031800
0,083500	0,5	0,023000
0,091833	0,5	0,013200
0,100167	0,5	0,005250
0,108500	0,5	0,008650
0,116833	0,5	0,026450
0,125167	0,5	0,002800
0,133500	0,5	0,014250
0,141833	0,5	0,012100
0,150167	0,5	0,012000
0,158500	0,5	0,005300
0,166833	0,5	0,006650
0,175167	0,5	-0,001150
0,183500	0,5	-0,017400
0,191833	0,5	0,023850
0,200167	0,5	-0,006250
0,208500	0,5	0,001000
0,216833	0,5	-0,008550
0,225167	0,5	0,012350
0,233500	0,5	0,053150
0,241833	0,5	0,050200
0,250167	0,5	0,023000
0,258500	0,5	0,025300
0,266833	0,5	0,015550
0,275167	0,5	0,018800
0,283500	0,5	0,009600
0,291833	0,5	0,014700
0,300167	0,5	0,005600
0,308500	0,5	0,075050
0,316833	0,5	0,090650
0,325167	0,5	0,021950
0,333500	0,5	-0,020150
0,341833	0,5	-0,004600
0,350167	0,5	-0,026550
0,358500	0,5	-0,024250
0,366833	0,5	-0,023650
0,375167	0,5	0,001150
0,383500	0,5	0,044200
0,391833	0,5	0,022950
0,400167	0,5	0,022550
0,408500	0,5	0,027500
0,416833	0,5	0,024600
0,425167	0,5	0,015800
0,433500	0,5	0,024400
0,441833	0,5	0,013900
0,450167	0,5	0,009600
0,458500	0,5	0,008200
0,466833	0,5	-0,000700
0,475167	0,5	-0,024600
0,483500	0,5	-0,013700
0,491833	0,5	-0,008750
0,500167	0,5	-0,023750
0,508500	0,5	-0,009100
0,516833	0,5	0,011600
0,525167	0,5	0,031500
0,533500	0,5	0,056050
0,541833	0,5	0,047400
0,550167	0,5	0,043950
0,558500	0,5	0,042250
0,566833	0,5	0,036850
0,575167	0,5	0,036850
0,583500	0,5	0,026150
0,591833	0,5	0,025050
0,600167	0,5	0,025350
0,608500	0,5	0,043450
0,616833	0,5	0,019550
0,625167	0,5	0,017400
0,633500	0,5	0,038000
0,641833	0,5	0,027800
0,650167	0,5	0,010950
0,658500	0,5	0,016200
0,666833	0,5	0,029300
0,675167	0,5	0,074900
