File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/894.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_4a
Injection Number	21
Position	RB7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	22:26:34
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-6,980450
Signal Max.	44,768601
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,003700
0,008500	0,5	-0,087400
0,016833	0,5	-0,080450
0,025167	0,5	-0,070050
0,033500	0,5	-0,032750
0,041833	0,5	0,007200
0,050167	0,5	0,000550
0,058500	0,5	-0,009000
0,066833	0,5	-0,000600
0,075167	0,5	-0,009450
0,083500	0,5	-0,001950
0,091833	0,5	-0,003400
0,100167	0,5	-0,000500
0,108500	0,5	-0,017000
0,116833	0,5	0,016250
0,125167	0,5	0,002650
0,133500	0,5	0,001900
0,141833	0,5	0,007100
0,150167	0,5	0,009500
0,158500	0,5	-0,019650
0,166833	0,5	-0,015050
0,175167	0,5	-0,005350
0,183500	0,5	0,030150
0,191833	0,5	0,045850
0,200167	0,5	0,027600
0,208500	0,5	0,023700
0,216833	0,5	0,033800
0,225167	0,5	0,021600
0,233500	0,5	0,023450
0,241833	0,5	0,024150
0,250167	0,5	0,010050
0,258500	0,5	0,005350
0,266833	0,5	-0,007100
0,275167	0,5	-0,013000
0,283500	0,5	-0,022650
0,291833	0,5	0,002200
0,300167	0,5	-0,014700
0,308500	0,5	0,019500
0,316833	0,5	0,032250
0,325167	0,5	0,014250
0,333500	0,5	0,007150
0,341833	0,5	0,014950
0,350167	0,5	-0,001350
0,358500	0,5	0,003450
0,366833	0,5	-0,004350
0,375167	0,5	-0,007450
0,383500	0,5	-0,007900
0,391833	0,5	-0,014100
0,400167	0,5	-0,019600
0,408500	0,5	-0,022600
0,416833	0,5	-0,009000
0,425167	0,5	-0,046250
0,433500	0,5	-0,037650
0,441833	0,5	-0,033900
0,450167	0,5	-0,047400
0,458500	0,5	-0,055600
0,466833	0,5	-0,043300
0,475167	0,5	-0,016300
0,483500	0,5	0,009750
0,491833	0,5	-0,009200
0,500167	0,5	-0,007250
0,508500	0,5	-0,023300
0,516833	0,5	-0,002450
0,525167	0,5	-0,016700
0,533500	0,5	-0,009300
0,541833	0,5	-0,021050
0,550167	0,5	-0,025250
0,558500	0,5	-0,021200
0,566833	0,5	-0,043700
0,575167	0,5	-0,050750
0,583500	0,5	-0,024350
0,591833	0,5	-0,042950
0,600167	0,5	-0,054850
0,608500	0,5	-0,050150
0,616833	0,5	-0,031700
0,625167	0,5	0,017400
0,633500	0,5	0,005500
0,641833	0,5	0,000350
0,650167	0,5	-0,017050
0,658500	0,5	-0,004700
0,666833	0,5	-0,027300
0,675167	0,5	-0,026650
0,683500	0,5	-0,034200
0,691833	0,5	-0,036600
0,700167	0,5	-0,039200
0,708500	0,5	-0,035100
0,716833	0,5	-0,022700
0,725167	0,5	-0,037200
0,733500	0,5	-0,007150
0,741833	0,5	-0,036000
0,750167	0,5	-0,048250
0,758500	0,5	-0,049400
0,766833	0,5	-0,038350
0,775167	0,5	-0,001500
0,783500	0,5	-0,008800
0,791833	0,5	-0,035500
0,800167	0,5	-0,024200
0,808500	0,5	-0,034100
0,816833	0,5	-0,018400
0,825167	0,5	-0,024150
0,833500	0,5	-0,021950
0,841833	0,5	-0,033750
0,850167	0,5	-0,026850
0,858500	0,5	-0,030750
0,866833	0,5	-0,042200
0,875167	0,5	-0,058000
0,883500	0,5	-0,024500
0,891833	0,5	-0,051300
0,900167	0,5	-0,047600
0,908500	0,5	-0,040350
0,916833	0,5	-0,008950
0,925167	0,5	0,025000
0,933500	0,5	-0,008550
0,941833	0,5	-0,005800
0,950167	0,5	-0,010000
0,958500	0,5	-0,006200
0,966833	0,5	-0,016300
0,975167	0,5	-0,006450
0,983500	0,5	-0,014150
0,991833	0,5	-0,012250
1,000167	0,5	-0,009150
1,008500	0,5	-0,016150
1,016833	0,5	-0,030050
1,025167	0,5	-0,005800
1,033500	0,5	-0,005150
1,041833	0,5	-0,028050
1,050167	0,5	-0,025850
1,058500	0,5	-0,014200
1,066833	0,5	0,013550
1,075167	0,5	0,041500
1,083500	0,5	0,028450
1,091833	0,5	0,025500
1,100167	0,5	0,027900
1,108500	0,5	0,015450
1,116833	0,5	0,025350
1,125167	0,5	0,026450
1,133500	0,5	0,021350
1,141833	0,5	0,011200
1,150167	0,5	0,024100
1,158500	0,5	0,012850
1,166833	0,5	0,008550
1,175167	0,5	0,019750
1,183500	0,5	0,006000
1,191833	0,5	0,001950
1,200167	0,5	0,003450
1,208500	0,5	0,021600
1,216833	0,5	0,064900
1,225167	0,5	0,075750
1,233500	0,5	0,060750
1,241833	0,5	0,055400
1,250167	0,5	0,057050
1,258500	0,5	0,048400
1,266833	0,5	0,051450
1,275167	0,5	0,054000
1,283500	0,5	0,051750
1,291833	0,5	0,053850
1,300167	0,5	0,051750
1,308500	0,5	0,047800
1,316833	0,5	0,054450
1,325167	0,5	0,082650
1,333500	0,5	0,052950
1,341833	0,5	0,050800
1,350167	0,5	0,047750
1,358500	0,5	0,077000
1,366833	0,5	0,108500
1,375167	0,5	0,123150
1,383500	0,5	0,109250
1,391833	0,5	0,112550
1,400167	0,5	0,106400
1,408500	0,5	0,112700
1,416833	0,5	0,118150
1,425167	0,5	0,124800
1,433500	0,5	0,119600
1,441833	0,5	0,116800
1,450167	0,5	0,125750
1,458500	0,5	0,113900
1,466833	0,5	0,130700
1,475167	0,5	0,136100
1,483500	0,5	0,122550
1,491833	0,5	0,124300
