File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/914.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_4b
Injection Number	27
Position	RC5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	01:19:10
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,867250
Signal Max.	37,020701
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,086400
0,008667	0,5	-0,082500
0,017000	0,5	-0,069450
0,025333	0,5	-0,080050
0,033667	0,5	-0,063650
0,042000	0,5	-0,030400
0,050333	0,5	0,001450
0,058667	0,5	0,030950
0,067000	0,5	0,009900
0,075333	0,5	0,018850
0,083667	0,5	0,010100
0,092000	0,5	0,020450
0,100333	0,5	0,015150
0,108667	0,5	0,026800
0,117000	0,5	0,006450
0,125333	0,5	0,003050
0,133667	0,5	0,002850
0,142000	0,5	-0,021800
0,150333	0,5	-0,033600
0,158667	0,5	0,008700
0,167000	0,5	-0,015000
0,175333	0,5	-0,031900
0,183667	0,5	-0,031400
0,192000	0,5	-0,009150
0,200333	0,5	0,039700
0,208667	0,5	0,039950
0,217000	0,5	0,032600
0,225333	0,5	0,019050
0,233667	0,5	0,020550
0,242000	0,5	0,014250
0,250333	0,5	0,016750
0,258667	0,5	0,003300
0,267000	0,5	0,002050
0,275333	0,5	-0,003550
0,283667	0,5	-0,004450
0,292000	0,5	-0,029050
0,300333	0,5	0,043100
0,308667	0,5	0,058250
0,317000	0,5	-0,006100
0,325333	0,5	-0,049250
0,333667	0,5	-0,041150
0,342000	0,5	-0,022400
0,350333	0,5	0,003550
0,358667	0,5	0,001300
0,367000	0,5	-0,015300
0,375333	0,5	-0,015950
0,383667	0,5	-0,024750
0,392000	0,5	-0,021900
0,400333	0,5	-0,022150
0,408667	0,5	-0,016400
0,417000	0,5	-0,031200
0,425333	0,5	-0,021550
0,433667	0,5	-0,035750
0,442000	0,5	-0,047150
0,450333	0,5	-0,026450
0,458667	0,5	-0,033950
0,467000	0,5	-0,057400
0,475333	0,5	-0,062250
0,483667	0,5	-0,056400
0,492000	0,5	-0,017850
0,500333	0,5	-0,008200
0,508667	0,5	-0,020700
0,517000	0,5	-0,041500
0,525333	0,5	-0,027950
0,533667	0,5	-0,033300
0,542000	0,5	-0,032600
0,550333	0,5	-0,036700
0,558667	0,5	-0,045500
0,567000	0,5	-0,047750
0,575333	0,5	-0,048700
0,583667	0,5	-0,029250
0,592000	0,5	-0,065450
0,600333	0,5	-0,011900
0,608667	0,5	-0,044850
0,617000	0,5	-0,057950
0,625333	0,5	-0,067200
0,633667	0,5	-0,046100
0,642000	0,5	-0,014400
0,650333	0,5	-0,017850
0,658667	0,5	-0,044150
0,667000	0,5	-0,040550
0,675333	0,5	-0,042350
0,683667	0,5	-0,042500
0,692000	0,5	-0,051400
0,700333	0,5	-0,041350
0,708667	0,5	-0,049850
0,717000	0,5	-0,043450
0,725333	0,5	-0,037500
0,733667	0,5	-0,054150
0,742000	0,5	-0,070950
0,750333	0,5	-0,035400
0,758667	0,5	-0,053950
0,767000	0,5	-0,065500
0,775333	0,5	-0,047800
0,783667	0,5	-0,035700
0,792000	0,5	0,003750
0,800333	0,5	-0,017200
0,808667	0,5	-0,007600
0,817000	0,5	-0,020600
0,825333	0,5	-0,017950
0,833667	0,5	-0,028150
0,842000	0,5	-0,018300
0,850333	0,5	-0,037800
0,858667	0,5	-0,034800
0,867000	0,5	-0,033900
0,875333	0,5	-0,027600
0,883667	0,5	-0,032700
0,892000	0,5	-0,020200
0,900333	0,5	-0,009200
0,908667	0,5	-0,035850
0,917000	0,5	-0,036650
0,925333	0,5	-0,034150
0,933667	0,5	-0,008900
0,942000	0,5	0,022350
0,950333	0,5	0,018500
0,958667	0,5	0,005850
0,967000	0,5	0,018600
0,975333	0,5	-0,001000
0,983667	0,5	0,002900
