File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/619.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_C-NE
Injection Number	59
Position	GB3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	16:40:10
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,443650
Signal Max.	36,616351
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,061300
0,008667	0,5	-0,096700
0,017000	0,5	-0,088950
0,025333	0,5	-0,050900
0,033667	0,5	-0,012050
0,042000	0,5	-0,025750
0,050333	0,5	-0,013400
0,058667	0,5	-0,017950
0,067000	0,5	-0,012150
0,075333	0,5	-0,023400
0,083667	0,5	-0,016350
0,092000	0,5	-0,027050
0,100333	0,5	-0,009450
0,108667	0,5	-0,015100
0,117000	0,5	-0,017350
0,125333	0,5	-0,026700
0,133667	0,5	0,000550
0,142000	0,5	-0,026250
0,150333	0,5	-0,042250
0,158667	0,5	-0,038800
0,167000	0,5	-0,025350
0,175333	0,5	0,006350
0,183667	0,5	0,008950
0,192000	0,5	0,002750
0,200333	0,5	0,012400
0,208667	0,5	0,009500
0,217000	0,5	-0,001450
0,225333	0,5	0,003000
0,233667	0,5	-0,013950
0,242000	0,5	-0,007950
0,250333	0,5	-0,022700
0,258667	0,5	-0,016250
0,267000	0,5	-0,045150
0,275333	0,5	-0,025500
0,283667	0,5	-0,024650
0,292000	0,5	-0,029500
0,300333	0,5	-0,010500
0,308667	0,5	0,046000
0,317000	0,5	0,032650
0,325333	0,5	0,008650
0,333667	0,5	-0,011450
0,342000	0,5	-0,015500
0,350333	0,5	-0,008850
0,358667	0,5	-0,018600
0,367000	0,5	-0,024400
0,375333	0,5	-0,027750
0,383667	0,5	-0,023400
0,392000	0,5	-0,029650
0,400333	0,5	-0,018500
0,408667	0,5	-0,020300
0,417000	0,5	-0,031950
0,425333	0,5	-0,019550
0,433667	0,5	-0,015600
0,442000	0,5	-0,031550
0,450333	0,5	-0,034300
0,458667	0,5	-0,032450
0,467000	0,5	0,002150
0,475333	0,5	0,008500
0,483667	0,5	-0,002050
0,492000	0,5	-0,006400
0,500333	0,5	0,014750
0,508667	0,5	0,008950
0,517000	0,5	0,002550
0,525333	0,5	0,005300
0,533667	0,5	0,001550
0,542000	0,5	0,002800
0,550333	0,5	-0,003400
0,558667	0,5	0,011350
0,567000	0,5	-0,008900
0,575333	0,5	0,031250
0,583667	0,5	0,010750
0,592000	0,5	0,004300
0,600333	0,5	0,003300
0,608667	0,5	0,025700
0,617000	0,5	0,061800
0,625333	0,5	0,068250
0,633667	0,5	0,048700
0,642000	0,5	0,059250
0,650333	0,5	0,055100
0,658667	0,5	0,056600
0,667000	0,5	0,053150
0,675333	0,5	0,062350
0,683667	0,5	0,058550
0,692000	0,5	0,056200
0,700333	0,5	0,071850
0,708667	0,5	0,062400
0,717000	0,5	0,052400
0,725333	0,5	0,067950
0,733667	0,5	0,055850
0,742000	0,5	0,055300
0,750333	0,5	0,062950
0,758667	0,5	0,082150
0,767000	0,5	0,134900
0,775333	0,5	0,119350
0,783667	0,5	0,118150
0,792000	0,5	0,113450
0,800333	0,5	0,121750
0,808667	0,5	0,117250
0,817000	0,5	0,129750
0,825333	0,5	0,121650
0,833667	0,5	0,118350
0,842000	0,5	0,115750
0,850333	0,5	0,120900
0,858667	0,5	0,116150
0,867000	0,5	0,134450
0,875333	0,5	0,137100
0,883667	0,5	0,117800
0,892000	0,5	0,131700
0,900333	0,5	0,132600
0,908667	0,5	0,166300
0,917000	0,5	0,198300
0,925333	0,5	0,200350
0,933667	0,5	0,188300
0,942000	0,5	0,197100
0,950333	0,5	0,192500
0,958667	0,5	0,195450
0,967000	0,5	0,202500
0,975333	0,5	0,207050
0,983667	0,5	0,192900
0,992000	0,5	0,203300
1,000333	0,5	0,201200
1,008667	0,5	0,211250
1,017000	0,5	0,228300
1,025333	0,5	0,227850
1,033667	0,5	0,208100
1,042000	0,5	0,214000
1,050333	0,5	0,225250
1,058667	0,5	0,270450
1,067000	0,5	0,289500
1,075333	0,5	0,280100
1,083667	0,5	0,285100
1,092000	0,5	0,287350
1,100333	0,5	0,287900
1,108667	0,5	0,293000
1,117000	0,5	0,305200
1,125333	0,5	0,298400
1,133667	0,5	0,309700
1,142000	0,5	0,317400
1,150333	0,5	0,316100
1,158667	0,5	0,313750
1,167000	0,5	0,343750
1,175333	0,5	0,336700
1,183667	0,5	0,333250
1,192000	0,5	0,350750
1,200333	0,5	0,369650
1,208667	0,5	0,414200
1,217000	0,5	0,427900
1,225333	0,5	0,426250
1,233667	0,5	0,440900
1,242000	0,5	0,440800
1,250333	0,5	0,449200
1,258667	0,5	0,462300
1,267000	0,5	0,468350
1,275333	0,5	0,471100
1,283667	0,5	0,480300
1,292000	0,5	0,494300
1,300333	0,5	0,491350
1,308667	0,5	0,526050
1,317000	0,5	0,536700
1,325333	0,5	0,528200
1,333667	0,5	0,521300
1,342000	0,5	0,549400
1,350333	0,5	0,587050
1,358667	0,5	0,606850
1,367000	0,5	0,606250
1,375333	0,5	0,615700
1,383667	0,5	0,619850
1,392000	0,5	0,625550
1,400333	0,5	0,626400
1,408667	0,5	0,638850
1,417000	0,5	0,648500
1,425333	0,5	0,649800
1,433667	0,5	0,658250
1,442000	0,5	0,667000
1,450333	0,5	0,666500
1,458667	0,5	0,696000
1,467000	0,5	0,687900
1,475333	0,5	0,679150
1,483667	0,5	0,677600
1,492000	0,5	0,687700
1,500333	0,5	0,724200
1,508667	0,5	0,716900
1,517000	0,5	0,723850
1,525333	0,5	0,712200
1,533667	0,5	0,718850
1,542000	0,5	0,714300
1,550333	0,5	0,716550
1,558667	0,5	0,704650
1,567000	0,5	0,658450
1,575333	0,5	0,445500
1,583667	0,5	-0,229950
1,592000	0,5	-1,391550
1,600333	0,5	-1,956300
1,608667	0,5	-0,716900
1,617000	0,5	1,424700
1,625333	0,5	3,407350
1,633667	0,5	5,518400
1,642000	0,5	7,834750
1,650333	0,5	9,629750
1,658667	0,5	10,249100
1,667000	0,5	9,948550
1,675333	0,5	9,272300
1,683667	0,5	8,488550
1,692000	0,5	7,814000
1,700333	0,5	7,324500
1,708667	0,5	7,344400
1,717000	0,5	8,379400
1,725333	0,5	10,520550
1,733667	0,5	12,192850
1,742000	0,5	11,820200
1,750333	0,5	9,875700
1,758667	0,5	7,848800
1,767000	0,5	6,346100
1,775333	0,5	5,459100
1,783667	0,5	5,135600
1,792000	0,5	5,477250
1,800333	0,5	6,346350
1,808667	0,5	7,147450
1,817000	0,5	7,571600
1,825333	0,5	7,557950
1,833667	0,5	7,238400
1,842000	0,5	6,745450
1,850333	0,5	6,227400
1,858667	0,5	5,724150
1,867000	0,5	5,313100
1,875333	0,5	5,002050
1,883667	0,5	4,753350
1,892000	0,5	4,566550
1,900333	0,5	4,477200
1,908667	0,5	4,436250
1,917000	0,5	4,390800
1,925333	0,5	4,290050
1,933667	0,5	4,102400
1,942000	0,5	3,931700
1,950333	0,5	3,836300
1,958667	0,5	3,778000
1,967000	0,5	3,734850
1,975333	0,5	3,750600
1,983667	0,5	3,849050
1,992000	0,5	4,176050
