File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/897.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_CelS2
Injection Number	7
Position	RA3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	14:54:29
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-4,175300
Signal Max.	78,840601
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,078450
0,008667	0,5	-0,094900
0,017000	0,5	-0,090550
0,025333	0,5	-0,074050
0,033667	0,5	-0,059500
0,042000	0,5	-0,040500
0,050333	0,5	-0,063550
0,058667	0,5	-0,057800
0,067000	0,5	-0,034050
0,075333	0,5	-0,060450
0,083667	0,5	-0,061600
0,092000	0,5	-0,040500
0,100333	0,5	-0,014250
0,108667	0,5	0,026550
0,117000	0,5	0,008650
0,125333	0,5	0,007900
0,133667	0,5	-0,001850
0,142000	0,5	-0,004200
0,150333	0,5	-0,008700
0,158667	0,5	-0,008000
0,167000	0,5	-0,011000
0,175333	0,5	-0,020400
0,183667	0,5	-0,013750
0,192000	0,5	-0,021650
0,200333	0,5	-0,017350
0,208667	0,5	-0,003900
0,217000	0,5	-0,014850
0,225333	0,5	-0,043200
0,233667	0,5	-0,033200
0,242000	0,5	-0,041000
0,250333	0,5	-0,005550
0,258667	0,5	0,004600
0,267000	0,5	0,011050
0,275333	0,5	-0,007300
0,283667	0,5	-0,000950
0,292000	0,5	-0,007500
0,300333	0,5	0,014500
0,308667	0,5	0,029700
0,317000	0,5	0,001150
0,325333	0,5	-0,025650
0,333667	0,5	-0,033800
0,342000	0,5	-0,037650
0,350333	0,5	-0,038300
0,358667	0,5	-0,014100
0,367000	0,5	-0,034700
0,375333	0,5	-0,053900
0,383667	0,5	-0,057050
0,392000	0,5	-0,030250
0,400333	0,5	0,004150
0,408667	0,5	0,011700
0,417000	0,5	-0,014750
0,425333	0,5	-0,009350
0,433667	0,5	-0,021300
0,442000	0,5	-0,022050
0,450333	0,5	-0,027700
0,458667	0,5	-0,023300
0,467000	0,5	-0,040450
0,475333	0,5	-0,033050
0,483667	0,5	-0,032900
0,492000	0,5	-0,050650
0,500333	0,5	-0,050100
0,508667	0,5	-0,023800
0,517000	0,5	-0,049450
0,525333	0,5	-0,062450
0,533667	0,5	-0,057900
0,542000	0,5	-0,042650
0,550333	0,5	-0,004450
0,558667	0,5	-0,041200
0,567000	0,5	-0,033850
0,575333	0,5	-0,043900
0,583667	0,5	-0,033250
0,592000	0,5	-0,038850
0,600333	0,5	-0,021150
0,608667	0,5	-0,039950
0,617000	0,5	-0,045300
0,625333	0,5	-0,045300
0,633667	0,5	-0,044350
0,642000	0,5	-0,070500
0,650333	0,5	-0,044200
0,658667	0,5	-0,048950
0,667000	0,5	-0,060900
0,675333	0,5	-0,060850
0,683667	0,5	-0,067650
0,692000	0,5	-0,031600
0,700333	0,5	-0,013800
0,708667	0,5	-0,032350
0,717000	0,5	-0,042250
0,725333	0,5	-0,038600
0,733667	0,5	-0,048750
0,742000	0,5	-0,053750
0,750333	0,5	-0,056050
0,758667	0,5	-0,052900
0,767000	0,5	-0,066350
0,775333	0,5	-0,052300
0,783667	0,5	-0,058500
0,792000	0,5	-0,072400
0,800333	0,5	-0,040250
0,808667	0,5	-0,059950
0,817000	0,5	-0,073100
0,825333	0,5	-0,078850
0,833667	0,5	-0,069250
0,842000	0,5	-0,027400
0,850333	0,5	-0,032500
0,858667	0,5	-0,052300
0,867000	0,5	-0,062800
0,875333	0,5	-0,053600
0,883667	0,5	-0,059300
0,892000	0,5	-0,059300
0,900333	0,5	-0,048450
0,908667	0,5	-0,064400
0,917000	0,5	-0,064150
0,925333	0,5	-0,067900
0,933667	0,5	-0,047950
0,942000	0,5	-0,075200
0,950333	0,5	-0,044050
0,958667	0,5	-0,083850
0,967000	0,5	-0,083850
0,975333	0,5	-0,089700
0,983667	0,5	-0,067450
0,992000	0,5	-0,035800
1,000333	0,5	-0,031250
1,008667	0,5	-0,047850
1,017000	0,5	-0,044200
1,025333	0,5	-0,054750
1,033667	0,5	-0,054050
1,042000	0,5	-0,059650
1,050333	0,5	-0,062450
1,058667	0,5	-0,068050
1,067000	0,5	-0,069400
1,075333	0,5	-0,066150
1,083667	0,5	-0,081400
1,092000	0,5	-0,072100
1,100333	0,5	-0,061250
1,108667	0,5	-0,085900
1,117000	0,5	-0,090400
1,125333	0,5	-0,087150
1,133667	0,5	-0,064050
1,142000	0,5	-0,028800
1,150333	0,5	-0,055150
1,158667	0,5	-0,047100
1,167000	0,5	-0,063650
1,175333	0,5	-0,056150
1,183667	0,5	-0,072550
1,192000	0,5	-0,063350
1,200333	0,5	-0,066250
1,208667	0,5	-0,071750
1,217000	0,5	-0,068050
1,225333	0,5	-0,084650
1,233667	0,5	-0,082300
1,242000	0,5	-0,061600
1,250333	0,5	-0,082450
1,258667	0,5	-0,094550
1,267000	0,5	-0,092600
1,275333	0,5	-0,096800
1,283667	0,5	-0,055100
1,292000	0,5	-0,053100
1,300333	0,5	-0,049000
1,308667	0,5	-0,065750
1,317000	0,5	-0,059650
1,325333	0,5	-0,079500
1,333667	0,5	-0,072250
1,342000	0,5	-0,083800
1,350333	0,5	-0,081800
1,358667	0,5	-0,084850
1,367000	0,5	-0,082650
1,375333	0,5	-0,081900
1,383667	0,5	-0,079900
1,392000	0,5	-0,059750
1,400333	0,5	-0,075550
1,408667	0,5	-0,094450
1,417000	0,5	-0,095400
1,425333	0,5	-0,081150
1,433667	0,5	-0,051600
1,442000	0,5	-0,056600
1,450333	0,5	-0,069650
1,458667	0,5	-0,063600
1,467000	0,5	-0,071850
1,475333	0,5	-0,076100
1,483667	0,5	-0,083550
1,492000	0,5	-0,073450
1,500333	0,5	-0,079300
1,508667	0,5	-0,074200
1,517000	0,5	-0,071750
1,525333	0,5	-0,076400
1,533667	0,5	-0,078050
1,542000	0,5	-0,057050
1,550333	0,5	-0,082050
1,558667	0,5	-0,089500
1,567000	0,5	-0,119150
1,575333	0,5	-0,264350
1,583667	0,5	-0,773150
1,592000	0,5	-1,826000
1,600333	0,5	-2,689750
1,608667	0,5	-2,339950
1,617000	0,5	-0,457350
1,625333	0,5	2,240450
1,633667	0,5	6,605500
1,642000	0,5	13,757100
1,650333	0,5	21,329500
1,658667	0,5	24,652650
1,667000	0,5	22,677000
1,675333	0,5	18,485500
1,683667	0,5	14,742050
1,692000	0,5	11,904250
1,700333	0,5	9,804550
1,708667	0,5	8,190400
1,717000	0,5	6,980200
1,725333	0,5	6,155750
1,733667	0,5	5,703400
1,742000	0,5	5,403050
1,750333	0,5	4,990850
1,758667	0,5	4,357150
1,767000	0,5	3,671250
1,775333	0,5	3,116550
1,783667	0,5	2,742700
1,792000	0,5	2,566750
1,800333	0,5	2,557700
1,808667	0,5	2,666950
1,817000	0,5	2,746400
1,825333	0,5	2,756600
1,833667	0,5	2,723100
1,842000	0,5	2,588500
1,850333	0,5	2,431400
1,858667	0,5	2,280500
1,867000	0,5	2,140000
1,875333	0,5	2,056650
1,883667	0,5	1,947750
1,892000	0,5	1,855100
1,900333	0,5	1,785150
1,908667	0,5	1,751750
1,917000	0,5	1,713000
