File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/615.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_Avi_WT
Injection Number	15
Position	RB1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	19:33:55
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-6,951550
Signal Max.	23,714050
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,029400
0,008667	0,5	-0,089500
0,017000	0,5	-0,093950
0,025333	0,5	-0,077300
0,033667	0,5	-0,026600
0,042000	0,5	-0,009500
0,050333	0,5	-0,003450
0,058667	0,5	0,007350
0,067000	0,5	0,020600
0,075333	0,5	0,005350
0,083667	0,5	0,009450
0,092000	0,5	0,005400
0,100333	0,5	-0,000600
0,108667	0,5	-0,007650
0,117000	0,5	-0,000100
0,125333	0,5	-0,019100
0,133667	0,5	-0,001750
0,142000	0,5	0,005800
0,150333	0,5	-0,013900
0,158667	0,5	-0,022800
0,167000	0,5	-0,013200
0,175333	0,5	0,013950
0,183667	0,5	0,043000
0,192000	0,5	0,050050
0,200333	0,5	0,032900
0,208667	0,5	0,028950
0,217000	0,5	0,023350
0,225333	0,5	0,011450
0,233667	0,5	0,007150
0,242000	0,5	0,003500
0,250333	0,5	-0,006400
0,258667	0,5	0,018500
0,267000	0,5	0,006500
0,275333	0,5	-0,002300
0,283667	0,5	0,000350
0,292000	0,5	0,007950
0,300333	0,5	-0,006450
0,308667	0,5	0,042500
0,317000	0,5	0,038750
0,325333	0,5	0,017000
0,333667	0,5	-0,000750
0,342000	0,5	-0,003200
0,350333	0,5	-0,011600
0,358667	0,5	0,007700
0,367000	0,5	0,000550
0,375333	0,5	-0,001750
0,383667	0,5	-0,000550
0,392000	0,5	-0,013300
0,400333	0,5	-0,020200
0,408667	0,5	-0,022850
0,417000	0,5	-0,025650
0,425333	0,5	-0,046350
0,433667	0,5	-0,001500
0,442000	0,5	-0,024950
0,450333	0,5	-0,040450
0,458667	0,5	-0,034200
0,467000	0,5	-0,028300
0,475333	0,5	0,005150
0,483667	0,5	0,003750
0,492000	0,5	-0,020700
0,500333	0,5	-0,010400
0,508667	0,5	-0,016500
0,517000	0,5	-0,016450
0,525333	0,5	-0,031500
0,533667	0,5	-0,023750
0,542000	0,5	-0,030900
0,550333	0,5	-0,027800
0,558667	0,5	-0,010500
0,567000	0,5	-0,046250
0,575333	0,5	-0,056500
0,583667	0,5	-0,012850
0,592000	0,5	-0,048350
0,600333	0,5	-0,053800
0,608667	0,5	-0,046500
0,617000	0,5	-0,036250
0,625333	0,5	0,013000
0,633667	0,5	-0,020200
0,642000	0,5	-0,023700
0,650333	0,5	-0,034100
0,658667	0,5	-0,015500
0,667000	0,5	-0,033400
0,675333	0,5	-0,030450
0,683667	0,5	-0,040150
0,692000	0,5	-0,050150
0,700333	0,5	-0,045450
0,708667	0,5	-0,046550
0,717000	0,5	-0,060750
0,725333	0,5	-0,058350
0,733667	0,5	-0,040250
0,742000	0,5	-0,071500
0,750333	0,5	-0,067750
0,758667	0,5	-0,062350
0,767000	0,5	-0,048700
0,775333	0,5	-0,015600
0,783667	0,5	-0,028700
0,792000	0,5	-0,049100
0,800333	0,5	-0,037400
0,808667	0,5	-0,046850
0,817000	0,5	-0,043700
0,825333	0,5	-0,045850
0,833667	0,5	-0,048800
0,842000	0,5	-0,068650
0,850333	0,5	-0,052500
0,858667	0,5	-0,038100
0,867000	0,5	-0,056000
0,875333	0,5	-0,045650
0,883667	0,5	-0,047350
0,892000	0,5	-0,077450
0,900333	0,5	-0,078100
0,908667	0,5	-0,071450
0,917000	0,5	-0,034800
0,925333	0,5	-0,009450
0,933667	0,5	-0,041400
0,942000	0,5	-0,043900
0,950333	0,5	-0,044800
0,958667	0,5	-0,045050
0,967000	0,5	-0,059450
0,975333	0,5	-0,049600
0,983667	0,5	-0,064400
0,992000	0,5	-0,059400
1,000333	0,5	-0,067300
1,008667	0,5	-0,062350
1,017000	0,5	-0,083350
1,025333	0,5	-0,051900
1,033667	0,5	-0,076400
1,042000	0,5	-0,084450
1,050333	0,5	-0,082950
1,058667	0,5	-0,061700
1,067000	0,5	-0,030150
1,075333	0,5	-0,031850
1,083667	0,5	-0,042150
1,092000	0,5	-0,043800
1,100333	0,5	-0,041800
1,108667	0,5	-0,043100
1,117000	0,5	-0,044600
1,125333	0,5	-0,052250
1,133667	0,5	-0,059900
1,142000	0,5	-0,068400
1,150333	0,5	-0,054950
1,158667	0,5	-0,086100
1,167000	0,5	-0,075300
1,175333	0,5	-0,065100
1,183667	0,5	-0,084500
1,192000	0,5	-0,098750
1,200333	0,5	-0,091150
1,208667	0,5	-0,067550
1,217000	0,5	-0,032650
1,225333	0,5	-0,031150
1,233667	0,5	-0,045150
1,242000	0,5	-0,053900
1,250333	0,5	-0,041700
1,258667	0,5	-0,059800
1,267000	0,5	-0,060850
1,275333	0,5	-0,062650
1,283667	0,5	-0,072300
1,292000	0,5	-0,064300
1,300333	0,5	-0,074200
1,308667	0,5	-0,080900
1,317000	0,5	-0,067550
1,325333	0,5	-0,064500
1,333667	0,5	-0,091400
1,342000	0,5	-0,082450
1,350333	0,5	-0,075300
1,358667	0,5	-0,032950
1,367000	0,5	-0,039000
1,375333	0,5	-0,043850
1,383667	0,5	-0,056550
1,392000	0,5	-0,047300
1,400333	0,5	-0,057150
1,408667	0,5	-0,050600
1,417000	0,5	-0,054750
1,425333	0,5	-0,061650
1,433667	0,5	-0,068800
1,442000	0,5	-0,065050
1,450333	0,5	-0,055450
