File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/618.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_2a
Injection Number	35
Position	RD5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	05:09:21
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,984350
Signal Max.	37,832251
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,080500
0,008667	0,5	-0,092850
0,017000	0,5	-0,095900
0,025333	0,5	-0,086150
0,033667	0,5	-0,065500
0,042000	0,5	-0,025050
0,050333	0,5	0,014100
0,058667	0,5	-0,007350
0,067000	0,5	0,000550
0,075333	0,5	-0,001550
0,083667	0,5	-0,004700
0,092000	0,5	-0,018600
0,100333	0,5	-0,007750
0,108667	0,5	-0,020850
0,117000	0,5	-0,014950
0,125333	0,5	-0,011350
0,133667	0,5	-0,008800
0,142000	0,5	-0,010950
0,150333	0,5	0,029050
0,158667	0,5	-0,009700
0,167000	0,5	-0,028350
0,175333	0,5	-0,030200
0,183667	0,5	-0,007250
0,192000	0,5	0,023400
0,200333	0,5	0,022250
0,208667	0,5	0,021200
0,217000	0,5	0,004400
0,225333	0,5	0,007350
0,233667	0,5	-0,006450
0,242000	0,5	0,001250
0,250333	0,5	0,002700
0,258667	0,5	-0,003700
0,267000	0,5	-0,007900
0,275333	0,5	-0,009500
0,283667	0,5	-0,031500
0,292000	0,5	0,004650
0,300333	0,5	0,045750
0,308667	0,5	0,054500
0,317000	0,5	-0,005900
0,325333	0,5	-0,031100
0,333667	0,5	-0,021600
0,342000	0,5	0,001850
0,350333	0,5	0,005250
0,358667	0,5	-0,007900
0,367000	0,5	-0,008400
0,375333	0,5	-0,016900
0,383667	0,5	-0,018000
0,392000	0,5	-0,021450
0,400333	0,5	-0,026150
0,408667	0,5	-0,035100
0,417000	0,5	-0,023750
0,425333	0,5	-0,024550
0,433667	0,5	-0,032850
0,442000	0,5	0,007000
0,450333	0,5	-0,007750
0,458667	0,5	-0,035300
0,467000	0,5	-0,038400
0,475333	0,5	-0,037400
0,483667	0,5	0,008700
0,492000	0,5	0,003000
0,500333	0,5	-0,015750
0,508667	0,5	-0,023100
0,517000	0,5	-0,014550
0,525333	0,5	-0,031200
0,533667	0,5	-0,020250
0,542000	0,5	-0,018250
0,550333	0,5	-0,017700
0,558667	0,5	-0,019400
0,567000	0,5	-0,025100
0,575333	0,5	-0,019250
0,583667	0,5	-0,041900
0,592000	0,5	0,001800
0,600333	0,5	-0,038150
0,608667	0,5	-0,037300
0,617000	0,5	-0,042100
0,625333	0,5	-0,019500
0,633667	0,5	0,023100
0,642000	0,5	0,014550
0,650333	0,5	-0,004350
0,658667	0,5	0,008100
0,667000	0,5	-0,005150
0,675333	0,5	-0,003200
0,683667	0,5	-0,007200
0,692000	0,5	-0,006200
0,700333	0,5	-0,017150
0,708667	0,5	-0,012100
0,717000	0,5	-0,004350
0,725333	0,5	-0,018050
0,733667	0,5	-0,023950
0,742000	0,5	0,008950
0,750333	0,5	-0,011050
0,758667	0,5	-0,024600
0,767000	0,5	-0,013450
0,775333	0,5	-0,003900
0,783667	0,5	0,041000
0,792000	0,5	0,021350
0,800333	0,5	0,023700
0,808667	0,5	0,018750
0,817000	0,5	0,026950
0,825333	0,5	0,016600
0,833667	0,5	0,025950
0,842000	0,5	0,022500
0,850333	0,5	0,022550
0,858667	0,5	0,020350
0,867000	0,5	0,021050
0,875333	0,5	0,001900
0,883667	0,5	0,018900
0,892000	0,5	0,017700
0,900333	0,5	-0,002350
0,908667	0,5	0,000650
0,917000	0,5	0,018850
0,925333	0,5	0,058150
0,933667	0,5	0,079500
0,942000	0,5	0,076100
0,950333	0,5	0,062500
0,958667	0,5	0,068650
0,967000	0,5	0,052000
0,975333	0,5	0,059400
0,983667	0,5	0,046750
0,992000	0,5	0,056850
1,000333	0,5	0,054450
1,008667	0,5	0,054600
1,017000	0,5	0,046800
1,025333	0,5	0,038350
1,033667	0,5	0,061400
1,042000	0,5	0,059150
1,050333	0,5	0,043850
1,058667	0,5	0,047750
1,067000	0,5	0,063650
1,075333	0,5	0,090050
1,083667	0,5	0,113400
1,092000	0,5	0,101550
1,100333	0,5	0,094900
1,108667	0,5	0,099050
1,117000	0,5	0,098450
1,125333	0,5	0,092750
1,133667	0,5	0,099050
1,142000	0,5	0,086550
1,150333	0,5	0,102000
1,158667	0,5	0,099200
1,167000	0,5	0,096600
1,175333	0,5	0,098150
1,183667	0,5	0,124550
1,192000	0,5	0,096400
1,200333	0,5	0,096150
1,208667	0,5	0,095300
1,217000	0,5	0,132950
1,225333	0,5	0,155000
1,233667	0,5	0,161100
1,242000	0,5	0,170200
1,250333	0,5	0,166500
1,258667	0,5	0,161800
1,267000	0,5	0,154350
1,275333	0,5	0,163150
1,283667	0,5	0,159800
1,292000	0,5	0,166000
1,300333	0,5	0,165300
1,308667	0,5	0,169800
1,317000	0,5	0,155050
1,325333	0,5	0,181400
1,333667	0,5	0,183300
1,342000	0,5	0,185100
1,350333	0,5	0,177850
1,358667	0,5	0,201450
1,367000	0,5	0,239200
1,375333	0,5	0,262750
1,383667	0,5	0,243150
1,392000	0,5	0,254150
1,400333	0,5	0,256050
1,408667	0,5	0,264350
1,417000	0,5	0,265650
1,425333	0,5	0,272700
1,433667	0,5	0,275650
1,442000	0,5	0,285350
1,450333	0,5	0,296800
1,458667	0,5	0,287800
1,467000	0,5	0,288750
1,475333	0,5	0,332950
1,483667	0,5	0,318000
1,492000	0,5	0,307250
1,500333	0,5	0,318200
1,508667	0,5	0,325000
1,517000	0,5	0,379350
1,525333	0,5	0,374250
1,533667	0,5	0,379950
1,542000	0,5	0,380750
1,550333	0,5	0,390700
1,558667	0,5	0,385700
1,567000	0,5	0,362700
1,575333	0,5	0,192250
1,583667	0,5	-0,374400
1,592000	0,5	-1,324500
1,600333	0,5	-1,624150
1,608667	0,5	-0,395300
1,617000	0,5	1,508300
1,625333	0,5	3,306650
1,633667	0,5	5,101750
1,642000	0,5	6,954100
1,650333	0,5	8,277300
1,658667	0,5	8,735850
1,667000	0,5	8,539950
1,675333	0,5	7,983300
1,683667	0,5	7,316900
1,692000	0,5	6,698000
1,700333	0,5	6,208100
1,708667	0,5	6,094150
1,717000	0,5	6,767200
1,725333	0,5	8,562600
1,733667	0,5	10,521400
1,742000	0,5	10,924450
1,750333	0,5	9,549550
1,758667	0,5	7,669650
1,767000	0,5	6,226550
1,775333	0,5	5,432400
1,783667	0,5	5,334850
1,792000	0,5	6,237050
1,800333	0,5	8,016650
1,808667	0,5	9,767700
1,817000	0,5	10,668450
1,825333	0,5	10,593850
1,833667	0,5	9,835750
1,842000	0,5	8,739250
1,850333	0,5	7,699900
1,858667	0,5	6,832900
1,867000	0,5	6,170950
1,875333	0,5	5,634300
1,883667	0,5	5,215300
1,892000	0,5	4,869550
1,900333	0,5	4,571850
1,908667	0,5	4,289450
1,917000	0,5	4,090600
1,925333	0,5	3,887200
1,933667	0,5	3,721850
1,942000	0,5	3,587750
1,950333	0,5	3,505300
1,958667	0,5	3,465900
1,967000	0,5	3,432300
1,975333	0,5	3,387300
1,983667	0,5	3,376350
1,992000	0,5	3,374750
2,000333	0,5	3,370350
2,008667	0,5	3,384950
2,017000	0,5	3,432900
2,025333	0,5	3,548450
2,033667	0,5	3,815900
2,042000	0,5	4,341300
2,050333	0,5	5,002550
2,058667	0,5	5,634100
2,067000	0,5	6,281500
2,075333	0,5	7,067300
2,083667	0,5	7,947950
2,092000	0,5	8,691550
2,100333	0,5	9,183250
2,108667	0,5	9,467600
2,117000	0,5	9,604050
2,125333	0,5	9,688650
2,133667	0,5	9,846650
2,142000	0,5	10,099350
2,150333	0,5	10,413000
2,158667	0,5	10,840700
2,167000	0,5	11,256550
2,175333	0,5	11,334350
2,183667	0,5	10,956550
2,192000	0,5	10,360700
2,200333	0,5	9,874350
2,208667	0,5	9,533600
2,217000	0,5	9,316150
2,225333	0,5	9,151950
2,233667	0,5	9,093600
2,242000	0,5	9,105800
2,250333	0,5	9,189350
2,258667	0,5	9,215050
2,267000	0,5	9,193100
2,275333	0,5	9,136050
2,283667	0,5	9,118400
2,292000	0,5	9,107600
2,300333	0,5	9,119600
2,308667	0,5	9,134200
2,317000	0,5	9,171500
2,325333	0,5	9,206800
2,333667	0,5	9,268600
2,342000	0,5	9,334500
2,350333	0,5	9,394900
2,358667	0,5	9,493000
2,367000	0,5	9,575150
2,375333	0,5	9,654150
2,383667	0,5	9,754250
2,392000	0,5	9,883250
2,400333	0,5	10,078400
2,408667	0,5	10,330550
2,417000	0,5	10,594000
2,425333	0,5	10,725450
2,433667	0,5	10,640600
2,442000	0,5	10,518500
2,450333	0,5	10,499450
2,458667	0,5	10,574350
2,467000	0,5	10,640300
2,475333	0,5	10,712400
2,483667	0,5	10,781100
2,492000	0,5	10,818900
2,500333	0,5	10,849800
2,508667	0,5	10,904500
2,517000	0,5	10,909150
2,525333	0,5	10,929950
2,533667	0,5	10,969500
2,542000	0,5	11,038900
2,550333	0,5	11,166350
2,558667	0,5	11,316600
2,567000	0,5	11,596250
2,575333	0,5	12,034700
2,583667	0,5	12,666650
2,592000	0,5	13,395750
2,600333	0,5	14,144250
2,608667	0,5	14,750500
2,617000	0,5	15,162200
2,625333	0,5	15,392650
2,633667	0,5	15,544250
2,642000	0,5	15,649000
2,650333	0,5	15,770950
2,658667	0,5	15,871150
2,667000	0,5	15,883850
2,675333	0,5	15,838000
2,683667	0,5	15,820400
2,692000	0,5	15,972600
2,700333	0,5	16,529850
2,708667	0,5	17,691650
2,717000	0,5	19,618050
2,725333	0,5	22,214700
2,733667	0,5	25,124900
2,742000	0,5	27,956150
2,750333	0,5	30,381900
2,758667	0,5	32,175600
2,767000	0,5	33,114450
2,775333	0,5	33,161650
2,783667	0,5	32,440350
2,792000	0,5	31,201450
2,800333	0,5	29,701400
2,808667	0,5	28,121650
2,817000	0,5	26,586300
2,825333	0,5	25,472150
2,833667	0,5	25,276100
2,842000	0,5	26,555300
2,850333	0,5	29,448700
2,858667	0,5	33,253550
2,867000	0,5	36,529151
2,875333	0,5	37,832251
2,883667	0,5	36,673151
2,892000	0,5	33,656151
2,900333	0,5	29,908250
2,908667	0,5	26,320250
2,917000	0,5	23,333900
2,925333	0,5	20,914350
2,933667	0,5	18,891600
2,942000	0,5	17,050700
2,950333	0,5	15,424300
2,958667	0,5	13,909550
2,967000	0,5	12,595900
2,975333	0,5	11,473500
2,983667	0,5	10,546500
2,992000	0,5	9,781400
3,000333	0,5	9,118400
3,008667	0,5	8,531750
3,017000	0,5	8,045100
3,025333	0,5	7,619200
3,033667	0,5	7,245800
3,042000	0,5	6,912550
3,050333	0,5	6,609700
3,058667	0,5	6,338650
3,067000	0,5	6,085250
3,075333	0,5	5,857150
3,083667	0,5	5,625600
3,092000	0,5	5,416100
3,100333	0,5	5,228850
3,108667	0,5	5,032550
3,117000	0,5	4,848400
3,125333	0,5	4,694400
3,133667	0,5	4,577000
3,142000	0,5	4,484350
3,150333	0,5	4,387550
3,158667	0,5	4,325350
3,167000	0,5	4,301400
3,175333	0,5	4,329200
3,183667	0,5	4,394100
3,192000	0,5	4,551800
3,200333	0,5	4,839800
3,208667	0,5	5,361250
3,217000	0,5	6,261700
3,225333	0,5	7,645350
3,233667	0,5	9,540350
3,242000	0,5	11,723900
3,250333	0,5	13,811700
3,258667	0,5	15,333200
3,267000	0,5	16,023200
3,275333	0,5	15,783950
3,283667	0,5	14,808750
3,292000	0,5	13,315150
3,300333	0,5	11,597850
3,308667	0,5	9,889750
3,317000	0,5	8,365550
3,325333	0,5	7,064000
3,333667	0,5	6,029250
3,342000	0,5	5,201700
3,350333	0,5	4,554350
3,358667	0,5	4,045300
3,367000	0,5	3,645300
3,375333	0,5	3,332300
3,383667	0,5	3,068400
3,392000	0,5	2,864850
3,400333	0,5	2,675200
3,408667	0,5	2,504550
3,417000	0,5	2,377750
3,425333	0,5	2,280700
3,433667	0,5	2,230250
3,442000	0,5	2,162400
3,450333	0,5	2,079650
3,458667	0,5	2,016850
3,467000	0,5	1,942050
3,475333	0,5	1,869350
3,483667	0,5	1,787900
3,492000	0,5	1,718900
3,500333	0,5	1,637250
3,508667	0,5	1,570800
3,517000	0,5	1,505200
3,525333	0,5	1,442300
3,533667	0,5	1,395950
3,542000	0,5	1,369200
3,550333	0,5	1,303600
3,558667	0,5	1,257000
3,567000	0,5	1,227000
3,575333	0,5	1,206300
3,583667	0,5	1,203450
3,592000	0,5	1,162450
3,600333	0,5	1,136300
3,608667	0,5	1,102800
3,617000	0,5	1,073400
3,625333	0,5	1,039950
3,633667	0,5	1,022250
3,642000	0,5	0,984550
3,650333	0,5	0,958000
3,658667	0,5	0,926900
3,667000	0,5	0,901750
3,675333	0,5	0,861150
3,683667	0,5	0,845400
3,692000	0,5	0,825000
3,700333	0,5	0,790700
3,708667	0,5	0,760250
3,717000	0,5	0,743850
3,725333	0,5	0,737550
3,733667	0,5	0,746500
3,742000	0,5	0,715400
3,750333	0,5	0,693250
3,758667	0,5	0,678900
3,767000	0,5	0,662650
3,775333	0,5	0,649550
3,783667	0,5	0,641750
3,792000	0,5	0,636300
3,800333	0,5	0,625400
3,808667	0,5	0,624150
3,817000	0,5	0,614100
3,825333	0,5	0,597950
3,833667	0,5	0,608000
3,842000	0,5	0,592550
3,850333	0,5	0,564250
3,858667	0,5	0,550250
3,867000	0,5	0,542550
3,875333	0,5	0,560750
3,883667	0,5	0,553100
3,892000	0,5	0,535650
3,900333	0,5	0,522400
3,908667	0,5	0,512100
3,917000	0,5	0,500050
3,925333	0,5	0,486750
3,933667	0,5	0,489000
3,942000	0,5	0,469200
3,950333	0,5	0,460700
3,958667	0,5	0,451650
3,967000	0,5	0,445200
3,975333	0,5	0,424150
3,983667	0,5	0,443200
3,992000	0,5	0,417550
4,000333	0,5	0,406150
4,008667	0,5	0,392400
4,017000	0,5	0,405800
4,025333	0,5	0,427650
4,033667	0,5	0,423000
4,042000	0,5	0,406800
4,050333	0,5	0,402500
4,058667	0,5	0,385200
4,067000	0,5	0,379050
4,075333	0,5	0,371100
4,083667	0,5	0,366100
4,092000	0,5	0,355750
4,100333	0,5	0,348900
4,108667	0,5	0,343900
4,117000	0,5	0,324050
4,125333	0,5	0,313150
4,133667	0,5	0,320150
4,142000	0,5	0,310000
4,150333	0,5	0,295650
4,158667	0,5	0,302850
4,167000	0,5	0,314600
4,175333	0,5	0,341450
4,183667	0,5	0,323050
4,192000	0,5	0,318800
4,200333	0,5	0,307200
4,208667	0,5	0,310400
4,217000	0,5	0,295900
4,225333	0,5	0,301150
4,233667	0,5	0,292600
4,242000	0,5	0,291200
4,250333	0,5	0,285000
4,258667	0,5	0,286250
4,267000	0,5	0,278000
4,275333	0,5	0,283400
