File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/624.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_2b
Injection Number	43
Position	RE3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	08:59:30
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,959200
Signal Max.	42,787001
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,080950
0,008667	0,5	-0,083700
0,017000	0,5	-0,073850
0,025333	0,5	-0,050350
0,033667	0,5	-0,064300
0,042000	0,5	-0,061700
0,050333	0,5	-0,053400
0,058667	0,5	0,000900
0,067000	0,5	0,031050
0,075333	0,5	0,038750
0,083667	0,5	0,014150
0,092000	0,5	0,025700
0,100333	0,5	0,010550
0,108667	0,5	0,010200
0,117000	0,5	0,001750
0,125333	0,5	0,012200
0,133667	0,5	-0,001650
0,142000	0,5	0,010450
0,150333	0,5	0,009450
0,158667	0,5	0,015800
0,167000	0,5	0,029650
0,175333	0,5	0,018100
0,183667	0,5	-0,008400
0,192000	0,5	-0,008150
0,200333	0,5	-0,006300
0,208667	0,5	0,024900
0,217000	0,5	0,047200
0,225333	0,5	0,028500
0,233667	0,5	0,023600
0,242000	0,5	0,019300
0,250333	0,5	0,017400
0,258667	0,5	0,014200
0,267000	0,5	0,021950
0,275333	0,5	-0,003550
0,283667	0,5	0,003950
0,292000	0,5	0,011950
0,300333	0,5	0,069750
0,308667	0,5	0,055200
0,317000	0,5	0,029400
0,325333	0,5	-0,019550
0,333667	0,5	-0,031150
0,342000	0,5	-0,037950
0,350333	0,5	-0,030700
0,358667	0,5	0,011250
0,367000	0,5	0,004200
0,375333	0,5	-0,004700
0,383667	0,5	-0,006250
0,392000	0,5	-0,007050
0,400333	0,5	-0,016300
0,408667	0,5	-0,014400
0,417000	0,5	-0,017500
0,425333	0,5	-0,023300
0,433667	0,5	-0,025750
0,442000	0,5	-0,010850
0,450333	0,5	-0,023400
0,458667	0,5	-0,011950
0,467000	0,5	0,002050
0,475333	0,5	-0,021750
0,483667	0,5	-0,048650
0,492000	0,5	-0,041300
0,500333	0,5	-0,030700
0,508667	0,5	0,010000
0,517000	0,5	-0,013650
0,525333	0,5	-0,007900
0,533667	0,5	-0,012400
0,542000	0,5	-0,012500
0,550333	0,5	-0,024350
0,558667	0,5	-0,013900
0,567000	0,5	-0,017550
0,575333	0,5	-0,025500
0,583667	0,5	-0,016850
0,592000	0,5	-0,024250
0,600333	0,5	-0,035700
0,608667	0,5	-0,026750
0,617000	0,5	-0,011500
0,625333	0,5	-0,036450
0,633667	0,5	-0,038800
0,642000	0,5	-0,032700
0,650333	0,5	0,003000
0,658667	0,5	0,024100
0,667000	0,5	-0,000250
0,675333	0,5	-0,011150
0,683667	0,5	-0,005900
0,692000	0,5	-0,010950
0,700333	0,5	-0,009150
0,708667	0,5	-0,011650
0,717000	0,5	-0,010600
0,725333	0,5	-0,015050
0,733667	0,5	-0,011600
0,742000	0,5	-0,001650
0,750333	0,5	-0,026200
0,758667	0,5	0,008650
0,767000	0,5	-0,011150
0,775333	0,5	-0,020050
0,783667	0,5	-0,028050
0,792000	0,5	-0,007050
0,800333	0,5	0,025500
0,808667	0,5	0,044650
0,817000	0,5	0,025150
0,825333	0,5	0,028050
0,833667	0,5	0,023950
0,842000	0,5	0,024050
0,850333	0,5	0,019300
0,858667	0,5	0,037500
0,867000	0,5	0,026650
0,875333	0,5	0,032150
0,883667	0,5	0,030100
0,892000	0,5	0,016700
0,900333	0,5	0,011050
0,908667	0,5	0,043050
0,917000	0,5	0,024500
0,925333	0,5	0,025200
0,933667	0,5	0,018150
0,942000	0,5	0,042950
0,950333	0,5	0,090000
0,958667	0,5	0,091000
0,967000	0,5	0,086950
0,975333	0,5	0,073500
0,983667	0,5	0,082800
0,992000	0,5	0,065700
1,000333	0,5	0,080150
1,008667	0,5	0,070200
1,017000	0,5	0,073050
1,025333	0,5	0,072250
1,033667	0,5	0,075500
1,042000	0,5	0,071250
1,050333	0,5	0,082000
1,058667	0,5	0,095400
1,067000	0,5	0,068950
1,075333	0,5	0,070100
1,083667	0,5	0,071300
1,092000	0,5	0,102600
1,100333	0,5	0,138050
1,108667	0,5	0,152300
1,117000	0,5	0,133150
1,125333	0,5	0,134850
1,133667	0,5	0,125400
1,142000	0,5	0,124850
1,150333	0,5	0,128800
1,158667	0,5	0,136250
1,167000	0,5	0,123500
1,175333	0,5	0,132250
1,183667	0,5	0,128650
1,192000	0,5	0,137550
1,200333	0,5	0,151350
1,208667	0,5	0,146050
1,217000	0,5	0,131050
1,225333	0,5	0,135400
1,233667	0,5	0,144850
1,242000	0,5	0,188400
1,250333	0,5	0,212800
1,258667	0,5	0,203650
1,267000	0,5	0,203450
1,275333	0,5	0,201250
1,283667	0,5	0,197800
1,292000	0,5	0,203400
1,300333	0,5	0,208000
1,308667	0,5	0,204650
1,317000	0,5	0,209750
1,325333	0,5	0,215450
1,333667	0,5	0,208350
1,342000	0,5	0,204900
1,350333	0,5	0,250300
1,358667	0,5	0,234600
1,367000	0,5	0,235000
1,375333	0,5	0,234950
1,383667	0,5	0,263750
1,392000	0,5	0,298250
1,400333	0,5	0,303600
1,408667	0,5	0,301150
1,417000	0,5	0,313100
1,425333	0,5	0,310350
1,433667	0,5	0,316300
1,442000	0,5	0,323750
1,450333	0,5	0,331200
1,458667	0,5	0,336900
