File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/985.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_3a
Injection Number	49
Position	GA1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	11:52:13
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,189950
Signal Max.	44,867951
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,113200
0,008667	0,5	-0,107100
0,017000	0,5	-0,099200
0,025333	0,5	-0,073600
0,033667	0,5	-0,064600
0,042000	0,5	-0,069750
0,050333	0,5	-0,051400
0,058667	0,5	-0,055100
0,067000	0,5	-0,050950
0,075333	0,5	-0,026700
0,083667	0,5	-0,032900
0,092000	0,5	-0,062200
0,100333	0,5	-0,039900
0,108667	0,5	-0,041050
0,117000	0,5	0,005550
0,125333	0,5	0,010100
0,133667	0,5	0,017350
0,142000	0,5	-0,001250
0,150333	0,5	0,011700
0,158667	0,5	-0,013900
0,167000	0,5	-0,011050
0,175333	0,5	-0,015350
0,183667	0,5	-0,020400
0,192000	0,5	-0,018450
0,200333	0,5	-0,018450
0,208667	0,5	-0,020250
0,217000	0,5	-0,017700
0,225333	0,5	-0,004600
0,233667	0,5	-0,028050
0,242000	0,5	-0,044950
0,250333	0,5	-0,043750
0,258667	0,5	-0,027550
0,267000	0,5	0,003050
0,275333	0,5	0,012050
0,283667	0,5	-0,019150
0,292000	0,5	0,008350
0,300333	0,5	0,037950
0,308667	0,5	0,046450
0,317000	0,5	-0,012400
0,325333	0,5	-0,032100
0,333667	0,5	-0,042800
0,342000	0,5	-0,042350
0,350333	0,5	-0,042350
0,358667	0,5	-0,050050
0,367000	0,5	-0,048700
0,375333	0,5	-0,030700
0,383667	0,5	-0,054350
0,392000	0,5	-0,051850
0,400333	0,5	-0,049350
0,408667	0,5	-0,025400
0,417000	0,5	-0,005200
0,425333	0,5	-0,033350
0,433667	0,5	-0,032800
0,442000	0,5	-0,034700
0,450333	0,5	-0,035350
0,458667	0,5	-0,044650
0,467000	0,5	-0,034800
0,475333	0,5	-0,050500
0,483667	0,5	-0,052400
0,492000	0,5	-0,045100
0,500333	0,5	-0,042650
0,508667	0,5	-0,075450
0,517000	0,5	-0,036750
0,525333	0,5	-0,050950
0,533667	0,5	-0,061050
