File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/252.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_3b
Injection Number	55
Position	GA7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	14:44:53
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,341450
Signal Max.	40,292451
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,039600
0,008667	0,5	-0,097550
0,017000	0,5	-0,098650
0,025333	0,5	-0,071550
0,033667	0,5	-0,070700
0,042000	0,5	-0,035550
0,050333	0,5	-0,040500
0,058667	0,5	-0,047250
0,067000	0,5	-0,051700
0,075333	0,5	-0,030000
0,083667	0,5	0,007350
0,092000	0,5	0,031900
0,100333	0,5	0,004450
0,108667	0,5	0,009400
0,117000	0,5	-0,006200
0,125333	0,5	0,002100
0,133667	0,5	-0,011100
0,142000	0,5	-0,000500
0,150333	0,5	-0,021550
0,158667	0,5	0,000400
0,167000	0,5	-0,000950
0,175333	0,5	-0,006000
0,183667	0,5	-0,022000
0,192000	0,5	0,008300
0,200333	0,5	-0,024450
0,208667	0,5	-0,027950
0,217000	0,5	-0,030750
0,225333	0,5	-0,006800
0,233667	0,5	0,032300
0,242000	0,5	0,024250
0,250333	0,5	0,025500
0,258667	0,5	0,032650
0,267000	0,5	0,028250
0,275333	0,5	0,009800
0,283667	0,5	0,014300
0,292000	0,5	-0,000550
0,300333	0,5	0,017250
0,308667	0,5	0,063750
0,317000	0,5	0,047650
0,325333	0,5	-0,020950
0,333667	0,5	-0,029050
0,342000	0,5	-0,024600
0,350333	0,5	-0,032250
0,358667	0,5	-0,039800
0,367000	0,5	-0,030950
0,375333	0,5	-0,001300
0,383667	0,5	0,023100
0,392000	0,5	0,028800
0,400333	0,5	0,016500
