File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/471.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_4a
Injection Number	23
Position	RC1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	23:24:06
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,245100
Signal Max.	41,596051
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,105250
0,008667	0,5	-0,100450
0,017000	0,5	-0,094050
0,025333	0,5	-0,043650
0,033667	0,5	-0,023300
0,042000	0,5	-0,023300
0,050333	0,5	-0,027750
0,058667	0,5	-0,009500
0,067000	0,5	-0,020050
0,075333	0,5	-0,009500
0,083667	0,5	-0,011600
0,092000	0,5	-0,020400
0,100333	0,5	-0,017750
0,108667	0,5	-0,021550
0,117000	0,5	-0,011700
0,125333	0,5	-0,029250
0,133667	0,5	0,018650
0,142000	0,5	-0,018600
0,150333	0,5	-0,030050
0,158667	0,5	-0,031600
0,167000	0,5	-0,011100
0,175333	0,5	0,036100
0,183667	0,5	0,030350
0,192000	0,5	-0,001150
0,200333	0,5	0,006700
0,208667	0,5	-0,005550
0,217000	0,5	-0,004700
0,225333	0,5	-0,006950
0,233667	0,5	-0,003850
0,242000	0,5	-0,011500
0,250333	0,5	-0,008100
0,258667	0,5	-0,002300
0,267000	0,5	-0,023550
0,275333	0,5	-0,018900
0,283667	0,5	0,010450
0,292000	0,5	-0,014050
0,300333	0,5	0,011600
0,308667	0,5	0,059050
0,317000	0,5	0,008050
0,325333	0,5	0,004100
0,333667	0,5	-0,026350
0,342000	0,5	-0,022750
0,350333	0,5	-0,023450
0,358667	0,5	-0,018150
0,367000	0,5	-0,026450
0,375333	0,5	-0,015900
0,383667	0,5	-0,020150
0,392000	0,5	-0,024550
0,400333	0,5	-0,026300
0,408667	0,5	-0,030100
0,417000	0,5	-0,048950
0,425333	0,5	-0,033950
0,433667	0,5	-0,028850
0,442000	0,5	-0,047650
0,450333	0,5	-0,054550
0,458667	0,5	-0,042150
0,467000	0,5	-0,008150
0,475333	0,5	0,004550
0,483667	0,5	-0,002600
0,492000	0,5	-0,019600
0,500333	0,5	-0,019150
0,508667	0,5	-0,035650
0,517000	0,5	-0,030100
0,525333	0,5	-0,034750
0,533667	0,5	-0,027150
0,542000	0,5	-0,035100
0,550333	0,5	-0,030150
0,558667	0,5	-0,031950
0,567000	0,5	-0,044300
0,575333	0,5	-0,030850
0,583667	0,5	-0,031950
0,592000	0,5	-0,041800
0,600333	0,5	-0,044000
0,608667	0,5	-0,032800
0,617000	0,5	0,003200
0,625333	0,5	0,013250
0,633667	0,5	-0,010150
0,642000	0,5	-0,006550
0,650333	0,5	-0,007050
0,658667	0,5	-0,008650
0,667000	0,5	-0,013900
0,675333	0,5	-0,011450
0,683667	0,5	-0,017600
0,692000	0,5	-0,013150
0,700333	0,5	-0,018500
0,708667	0,5	-0,024800
0,717000	0,5	-0,039050
0,725333	0,5	-0,008700
0,733667	0,5	-0,034950
0,742000	0,5	-0,033450
0,750333	0,5	-0,035600
0,758667	0,5	-0,006700
0,767000	0,5	0,025750
0,775333	0,5	0,027350
0,783667	0,5	0,025200
