File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/971.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_4b
Injection Number	29
Position	RC7
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	02:16:44
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,929700
Signal Max.	46,173101
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,035600
0,008667	0,5	-0,071700
0,017000	0,5	-0,069600
0,025333	0,5	-0,042300
0,033667	0,5	0,006700
0,042000	0,5	-0,009100
0,050333	0,5	-0,014950
0,058667	0,5	0,000650
0,067000	0,5	-0,002650
0,075333	0,5	0,005850
0,083667	0,5	0,010700
0,092000	0,5	0,006350
0,100333	0,5	0,014650
0,108667	0,5	0,012650
0,117000	0,5	0,027300
0,125333	0,5	-0,005050
0,133667	0,5	0,017200
0,142000	0,5	0,019850
0,150333	0,5	0,001800
0,158667	0,5	-0,005100
0,167000	0,5	0,014650
0,175333	0,5	0,040950
0,183667	0,5	0,065650
0,192000	0,5	0,038550
0,200333	0,5	0,051800
0,208667	0,5	0,044400
0,217000	0,5	0,039800
0,225333	0,5	0,023200
0,233667	0,5	0,029450
0,242000	0,5	0,020750
0,250333	0,5	0,021450
0,258667	0,5	0,024300
0,267000	0,5	0,015650
0,275333	0,5	0,003000
0,283667	0,5	0,024900
0,292000	0,5	0,017850
0,300333	0,5	0,026750
0,308667	0,5	0,076800
0,317000	0,5	0,053950
0,325333	0,5	0,033150
0,333667	0,5	0,026750
0,342000	0,5	0,025750
0,350333	0,5	0,016450
0,358667	0,5	0,024350
0,367000	0,5	0,006400
0,375333	0,5	0,016200
0,383667	0,5	0,008400
0,392000	0,5	0,008850
0,400333	0,5	0,009650
0,408667	0,5	0,009550
0,417000	0,5	0,008300
0,425333	0,5	-0,005300
0,433667	0,5	0,006250
0,442000	0,5	-0,007800
0,450333	0,5	-0,014100
0,458667	0,5	-0,020500
0,467000	0,5	0,006950
0,475333	0,5	0,028500
0,483667	0,5	0,043650
0,492000	0,5	0,014350
0,500333	0,5	0,030650
0,508667	0,5	0,016950
0,517000	0,5	0,021200
0,525333	0,5	0,012450
0,533667	0,5	0,015800
0,542000	0,5	0,005000
0,550333	0,5	0,009000
0,558667	0,5	0,009100
0,567000	0,5	-0,012550
0,575333	0,5	-0,004600
0,583667	0,5	0,011600
0,592000	0,5	-0,019000
0,600333	0,5	-0,015350
0,608667	0,5	-0,013000
0,617000	0,5	0,025950
0,625333	0,5	0,049100
0,633667	0,5	0,040000
0,642000	0,5	0,034600
0,650333	0,5	0,028950
0,658667	0,5	0,030500
0,667000	0,5	0,015350
0,675333	0,5	0,023450
0,683667	0,5	0,011350
0,692000	0,5	0,014050
0,700333	0,5	0,017050
0,708667	0,5	0,002700
0,717000	0,5	-0,023500
0,725333	0,5	0,021450
0,733667	0,5	-0,001350
0,742000	0,5	-0,010650
0,750333	0,5	-0,009850
0,758667	0,5	0,002250
0,767000	0,5	0,047200
0,775333	0,5	0,052600
0,783667	0,5	0,039100
0,792000	0,5	0,035500
0,800333	0,5	0,039850
0,808667	0,5	0,042850
0,817000	0,5	0,043850
0,825333	0,5	0,043250
0,833667	0,5	0,040800
0,842000	0,5	0,034650
0,850333	0,5	0,039150
0,858667	0,5	0,020600
0,867000	0,5	0,020750
0,875333	0,5	0,051450
0,883667	0,5	0,032250
0,892000	0,5	0,018700
0,900333	0,5	0,031950
0,908667	0,5	0,043300
0,917000	0,5	0,093100
0,925333	0,5	0,079250
0,933667	0,5	0,067400
0,942000	0,5	0,061300
0,950333	0,5	0,070250
0,958667	0,5	0,062200
0,967000	0,5	0,064600
0,975333	0,5	0,060800
0,983667	0,5	0,052750
0,992000	0,5	0,061300
1,000333	0,5	0,074550
1,008667	0,5	0,081200
1,017000	0,5	0,080500
1,025333	0,5	0,099550
1,033667	0,5	0,070600
1,042000	0,5	0,061200
1,050333	0,5	0,068900
1,058667	0,5	0,089750
1,067000	0,5	0,089700
1,075333	0,5	0,105350
1,083667	0,5	0,091600
1,092000	0,5	0,108200
1,100333	0,5	0,099250
1,108667	0,5	0,113500
1,117000	0,5	0,112900
1,125333	0,5	0,116300
1,133667	0,5	0,109700
1,142000	0,5	0,107950
1,150333	0,5	0,118400
1,158667	0,5	0,099000
1,167000	0,5	0,123550
1,175333	0,5	0,117750
1,183667	0,5	0,105850
1,192000	0,5	0,107300
1,200333	0,5	0,134400
1,208667	0,5	0,173600
1,217000	0,5	0,185300
1,225333	0,5	0,157600
1,233667	0,5	0,165100
1,242000	0,5	0,165900
1,250333	0,5	0,173050
1,258667	0,5	0,165600
1,267000	0,5	0,173050
1,275333	0,5	0,166650
1,283667	0,5	0,173900
1,292000	0,5	0,182450
1,300333	0,5	0,185150
1,308667	0,5	0,170400
1,317000	0,5	0,200950
1,325333	0,5	0,188250
1,333667	0,5	0,186100
1,342000	0,5	0,192800
1,350333	0,5	0,208900
1,358667	0,5	0,253150
1,367000	0,5	0,260250
1,375333	0,5	0,270850
1,383667	0,5	0,257450
1,392000	0,5	0,267300
1,400333	0,5	0,272150
1,408667	0,5	0,285800
1,417000	0,5	0,281650
1,425333	0,5	0,284800
1,433667	0,5	0,288100
1,442000	0,5	0,297050
1,450333	0,5	0,288050
1,458667	0,5	0,299050
1,467000	0,5	0,313250
1,475333	0,5	0,302950
1,483667	0,5	0,303650
1,492000	0,5	0,319050
1,500333	0,5	0,354100
1,508667	0,5	0,391500
1,517000	0,5	0,398100
1,525333	0,5	0,394000
1,533667	0,5	0,395800
1,542000	0,5	0,399000
1,550333	0,5	0,398100
1,558667	0,5	0,403500
1,567000	0,5	0,394500
1,575333	0,5	0,281250
1,583667	0,5	-0,121450
1,592000	0,5	-0,995700
1,600333	0,5	-1,584200
1,608667	0,5	-0,755000
1,617000	0,5	1,143600
1,625333	0,5	2,989550
1,633667	0,5	4,819050
1,642000	0,5	6,749200
1,650333	0,5	8,288500
1,658667	0,5	8,849850
1,667000	0,5	8,558650
1,675333	0,5	7,915900
1,683667	0,5	7,224950
1,692000	0,5	6,555950
1,700333	0,5	6,006800
1,708667	0,5	5,688100
1,717000	0,5	5,824500
1,725333	0,5	6,794400
1,733667	0,5	8,215900
1,742000	0,5	8,853300
1,750333	0,5	8,090900
1,758667	0,5	6,738450
1,767000	0,5	5,541150
1,775333	0,5	4,852300
1,783667	0,5	4,844900
1,792000	0,5	5,876250
1,800333	0,5	8,108800
1,808667	0,5	10,642750
1,817000	0,5	12,268700
1,825333	0,5	12,682950
1,833667	0,5	11,990150
1,842000	0,5	10,604200
1,850333	0,5	9,140000
1,858667	0,5	7,938400
1,867000	0,5	7,018900
1,875333	0,5	6,331800
1,883667	0,5	5,811100
1,892000	0,5	5,370600
1,900333	0,5	5,026350
1,908667	0,5	4,759050
1,917000	0,5	4,479250
1,925333	0,5	4,254200
1,933667	0,5	4,086900
1,942000	0,5	3,959300
1,950333	0,5	3,894250
1,958667	0,5	3,804250
1,967000	0,5	3,769500
1,975333	0,5	3,740200
1,983667	0,5	3,752800
1,992000	0,5	3,766600
2,000333	0,5	3,801150
2,008667	0,5	3,820550
2,017000	0,5	3,869300
2,025333	0,5	3,971500
2,033667	0,5	4,176400
2,042000	0,5	4,611900
2,050333	0,5	5,302250
2,058667	0,5	6,047000
2,067000	0,5	6,785750
2,075333	0,5	7,744650
2,083667	0,5	8,906350
2,092000	0,5	9,966450
2,100333	0,5	10,689000
2,108667	0,5	11,049550
2,117000	0,5	11,198350
2,125333	0,5	11,285850
2,133667	0,5	11,370650
2,142000	0,5	11,581050
2,150333	0,5	11,940200
2,158667	0,5	12,551050
2,167000	0,5	13,331200
2,175333	0,5	13,783950
2,183667	0,5	13,478300
2,192000	0,5	12,657750
2,200333	0,5	11,899900
2,208667	0,5	11,335550
2,217000	0,5	10,954100
2,225333	0,5	10,697450
2,233667	0,5	10,553550
2,242000	0,5	10,489700
2,250333	0,5	10,472400
2,258667	0,5	10,429000
2,267000	0,5	10,399600
2,275333	0,5	10,355650
2,283667	0,5	10,330950
2,292000	0,5	10,310000
2,300333	0,5	10,317950
2,308667	0,5	10,313700
2,317000	0,5	10,327700
2,325333	0,5	10,350800
2,333667	0,5	10,379500
2,342000	0,5	10,404950
2,350333	0,5	10,490450
2,358667	0,5	10,521400
2,367000	0,5	10,586900
2,375333	0,5	10,647500
2,383667	0,5	10,739200
2,392000	0,5	10,869150
2,400333	0,5	10,992650
2,408667	0,5	11,175900
2,417000	0,5	11,432950
2,425333	0,5	11,756950
2,433667	0,5	11,932250
2,442000	0,5	11,872450
2,450333	0,5	11,711300
2,458667	0,5	11,654350
2,467000	0,5	11,680000
2,475333	0,5	11,728050
2,483667	0,5	11,756950
2,492000	0,5	11,800100
2,500333	0,5	11,834650
2,508667	0,5	11,830550
2,517000	0,5	11,835900
2,525333	0,5	11,843300
2,533667	0,5	11,868300
2,542000	0,5	11,924650
2,550333	0,5	11,978850
2,558667	0,5	12,090450
2,567000	0,5	12,300300
2,575333	0,5	12,684000
2,583667	0,5	13,321600
2,592000	0,5	14,272550
2,600333	0,5	15,478750
2,608667	0,5	16,744850
2,617000	0,5	17,860750
2,625333	0,5	18,642800
2,633667	0,5	19,118000
2,642000	0,5	19,397550
2,650333	0,5	19,559600
2,658667	0,5	19,634350
2,667000	0,5	19,610800
2,675333	0,5	19,432550
2,683667	0,5	19,149850
2,692000	0,5	18,851000
2,700333	0,5	18,747650
2,708667	0,5	19,144050
2,717000	0,5	20,389350
2,725333	0,5	22,688900
2,733667	0,5	26,047650
2,742000	0,5	30,067100
2,750333	0,5	34,245701
2,758667	0,5	38,119501
2,767000	0,5	41,237151
2,775333	0,5	43,160851
2,783667	0,5	43,615301
2,792000	0,5	42,763301
2,800333	0,5	40,883051
2,808667	0,5	38,466651
2,817000	0,5	35,825201
2,825333	0,5	33,250800
2,833667	0,5	31,146800
2,842000	0,5	30,088900
2,850333	0,5	30,819650
2,858667	0,5	33,841801
2,867000	0,5	38,594751
2,875333	0,5	43,402201
2,883667	0,5	46,173101
2,892000	0,5	45,793801
2,900333	0,5	42,645601
2,908667	0,5	38,061951
2,917000	0,5	33,356050
2,925333	0,5	29,214150
2,933667	0,5	25,804250
2,942000	0,5	22,949750
2,950333	0,5	20,434350
2,958667	0,5	18,213550
2,967000	0,5	16,282750
2,975333	0,5	14,640350
2,983667	0,5	13,268100
2,992000	0,5	12,077500
3,000333	0,5	11,111200
3,008667	0,5	10,295200
3,017000	0,5	9,621000
3,025333	0,5	9,027100
3,033667	0,5	8,523950
3,042000	0,5	8,072050
3,050333	0,5	7,676350
3,058667	0,5	7,325250
3,067000	0,5	7,007550
3,075333	0,5	6,699650
3,083667	0,5	6,440750
3,092000	0,5	6,184600
3,100333	0,5	5,937200
3,108667	0,5	5,707700
