File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/466.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_C-NE
Injection Number	61
Position	GB5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	17:37:48
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,452450
Signal Max.	39,684051
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,079600
0,008667	0,5	-0,101950
0,017000	0,5	-0,099600
0,025333	0,5	-0,082150
0,033667	0,5	-0,072950
0,042000	0,5	-0,058900
0,050333	0,5	-0,048500
0,058667	0,5	-0,021900
0,067000	0,5	-0,051900
0,075333	0,5	-0,061750
0,083667	0,5	-0,046600
0,092000	0,5	-0,007900
0,100333	0,5	0,010650
0,108667	0,5	0,007500
0,117000	0,5	-0,003600
0,125333	0,5	-0,001500
0,133667	0,5	-0,001350
0,142000	0,5	-0,012250
0,150333	0,5	-0,003850
0,158667	0,5	-0,015800
0,167000	0,5	-0,014900
0,175333	0,5	-0,022250
0,183667	0,5	-0,013100
0,192000	0,5	-0,028800
0,200333	0,5	0,009250
0,208667	0,5	-0,003650
0,217000	0,5	-0,021300
0,225333	0,5	-0,033000
0,233667	0,5	-0,025050
0,242000	0,5	0,003550
0,250333	0,5	0,019250
0,258667	0,5	-0,002700
0,267000	0,5	-0,010050
0,275333	0,5	-0,009100
0,283667	0,5	-0,014150
0,292000	0,5	-0,007700
0,300333	0,5	0,031600
0,308667	0,5	0,062450
0,317000	0,5	0,016650
0,325333	0,5	-0,012050
0,333667	0,5	-0,024150
0,342000	0,5	-0,026150
0,350333	0,5	0,000350
0,358667	0,5	-0,017250
0,367000	0,5	-0,038200
0,375333	0,5	-0,039900
0,383667	0,5	-0,037000
0,392000	0,5	0,022550
0,400333	0,5	0,018550
0,408667	0,5	0,003100
0,417000	0,5	-0,004450
0,425333	0,5	-0,004650
0,433667	0,5	-0,010800
0,442000	0,5	-0,009500
0,450333	0,5	-0,015400
0,458667	0,5	-0,024450
0,467000	0,5	-0,020150
0,475333	0,5	-0,023650
0,483667	0,5	-0,015650
0,492000	0,5	-0,031800
0,500333	0,5	0,018800
0,508667	0,5	-0,023300
0,517000	0,5	-0,019900
0,525333	0,5	-0,028100
0,533667	0,5	-0,007350
0,542000	0,5	0,030150
0,550333	0,5	0,022500
0,558667	0,5	-0,000400
0,567000	0,5	0,015300
0,575333	0,5	0,008950
0,583667	0,5	0,014400
0,592000	0,5	0,005700
0,600333	0,5	0,020400
0,608667	0,5	0,012000
0,617000	0,5	0,013500
0,625333	0,5	0,021950
0,633667	0,5	0,007550
0,642000	0,5	0,004750
0,650333	0,5	0,018000
0,658667	0,5	0,002050
0,667000	0,5	-0,003950
0,675333	0,5	0,004750
0,683667	0,5	0,037750
0,692000	0,5	0,084400
0,700333	0,5	0,069950
0,708667	0,5	0,073400
0,717000	0,5	0,067450
0,725333	0,5	0,070500
0,733667	0,5	0,058850
0,742000	0,5	0,064100
0,750333	0,5	0,056250
0,758667	0,5	0,061500
0,767000	0,5	0,060300
0,775333	0,5	0,052500
0,783667	0,5	0,038000
0,792000	0,5	0,060300
0,800333	0,5	0,064550
0,808667	0,5	0,055750
0,817000	0,5	0,061550
0,825333	0,5	0,070150
0,833667	0,5	0,109550
0,842000	0,5	0,123950
0,850333	0,5	0,132400
0,858667	0,5	0,121950
0,867000	0,5	0,126250
0,875333	0,5	0,123750
0,883667	0,5	0,125500
0,892000	0,5	0,125950
0,900333	0,5	0,125150
0,908667	0,5	0,122500
0,917000	0,5	0,137500
0,925333	0,5	0,123850
0,933667	0,5	0,130450
0,942000	0,5	0,140700
0,950333	0,5	0,131650
0,958667	0,5	0,120750
0,967000	0,5	0,126250
0,975333	0,5	0,145350
0,983667	0,5	0,190500
0,992000	0,5	0,200300
1,000333	0,5	0,191700
1,008667	0,5	0,203950
1,017000	0,5	0,206200
1,025333	0,5	0,191400
1,033667	0,5	0,196200
1,042000	0,5	0,204650
1,050333	0,5	0,197850
1,058667	0,5	0,205300
1,067000	0,5	0,206300
1,075333	0,5	0,213850
1,083667	0,5	0,223350
1,092000	0,5	0,235850
1,100333	0,5	0,216400
1,108667	0,5	0,222800
1,117000	0,5	0,228000
1,125333	0,5	0,269150
1,133667	0,5	0,286750
1,142000	0,5	0,287650
1,150333	0,5	0,280650
1,158667	0,5	0,296950
1,167000	0,5	0,294450
1,175333	0,5	0,298750
1,183667	0,5	0,302450
1,192000	0,5	0,303050
1,200333	0,5	0,314350
1,208667	0,5	0,316650
1,217000	0,5	0,333600
1,225333	0,5	0,317750
1,233667	0,5	0,351700
1,242000	0,5	0,355650
1,250333	0,5	0,348800
1,258667	0,5	0,352200
1,267000	0,5	0,370850
1,275333	0,5	0,414000
1,283667	0,5	0,433350
1,292000	0,5	0,424150
1,300333	0,5	0,435500
1,308667	0,5	0,441400
1,317000	0,5	0,457900
1,325333	0,5	0,458700
1,333667	0,5	0,474200
1,342000	0,5	0,469150
1,350333	0,5	0,482700
1,358667	0,5	0,504600
1,367000	0,5	0,513650
1,375333	0,5	0,506400
1,383667	0,5	0,545450
1,392000	0,5	0,528000
1,400333	0,5	0,532700
1,408667	0,5	0,539850
1,417000	0,5	0,559700
1,425333	0,5	0,624900
1,433667	0,5	0,612150
1,442000	0,5	0,617450
1,450333	0,5	0,621250
1,458667	0,5	0,634400
1,467000	0,5	0,623750
1,475333	0,5	0,643600
1,483667	0,5	0,646850
1,492000	0,5	0,649500
1,500333	0,5	0,656000
1,508667	0,5	0,657500
1,517000	0,5	0,681900
1,525333	0,5	0,684100
1,533667	0,5	0,707300
1,542000	0,5	0,689750
1,550333	0,5	0,686950
1,558667	0,5	0,688400
1,567000	0,5	0,685550
1,575333	0,5	0,564650
1,583667	0,5	0,019100
1,592000	0,5	-0,992000
1,600333	0,5	-1,430850
1,608667	0,5	-0,293150
1,617000	0,5	1,769950
1,625333	0,5	3,828150
1,633667	0,5	6,105300
1,642000	0,5	8,567150
1,650333	0,5	10,499550
1,658667	0,5	11,293950
1,667000	0,5	11,111950
1,675333	0,5	10,460450
1,683667	0,5	9,677300
1,692000	0,5	8,891450
1,700333	0,5	8,352500
1,708667	0,5	8,361650
1,717000	0,5	9,612500
1,725333	0,5	12,309500
1,733667	0,5	14,619250
1,742000	0,5	14,454400
1,750333	0,5	12,212300
1,758667	0,5	9,724200
1,767000	0,5	7,879800
1,775333	0,5	6,776500
1,783667	0,5	6,439300
1,792000	0,5	7,079950
