File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/796.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_CelS2
Injection Number	9
Position	RA5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	15:52:03
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-4,768850
Signal Max.	45,533351
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,068300
0,008500	0,5	-0,089750
0,016833	0,5	-0,089950
0,025167	0,5	-0,080450
0,033500	0,5	-0,069050
0,041833	0,5	-0,043200
0,050167	0,5	-0,059450
0,058500	0,5	-0,027150
0,066833	0,5	-0,015250
0,075167	0,5	-0,041750
0,083500	0,5	-0,052050
0,091833	0,5	-0,039750
0,100167	0,5	-0,013800
0,108500	0,5	0,008500
0,116833	0,5	-0,007450
0,125167	0,5	-0,015600
0,133500	0,5	-0,006350
0,141833	0,5	-0,015800
0,150167	0,5	-0,016100
0,158500	0,5	-0,019700
0,166833	0,5	-0,017550
0,175167	0,5	-0,025850
0,183500	0,5	-0,006350
0,191833	0,5	-0,011000
0,200167	0,5	-0,029500
0,208500	0,5	-0,007350
0,216833	0,5	-0,008300
0,225167	0,5	-0,029800
0,233500	0,5	-0,032400
0,241833	0,5	-0,024400
0,250167	0,5	0,012550
0,258500	0,5	0,013350
0,266833	0,5	-0,015200
0,275167	0,5	-0,019200
0,283500	0,5	-0,005750
0,291833	0,5	-0,005600
0,300167	0,5	-0,000500
0,308500	0,5	0,033800
0,316833	0,5	-0,006150
0,325167	0,5	-0,028950
0,333500	0,5	-0,033500
0,341833	0,5	-0,024300
0,350167	0,5	-0,044900
0,358500	0,5	-0,014050
0,366833	0,5	-0,044900
0,375167	0,5	-0,042800
0,383500	0,5	-0,045200
0,391833	0,5	-0,024950
0,400167	0,5	0,000150
0,408500	0,5	0,003350
0,416833	0,5	-0,018450
0,425167	0,5	-0,004200
0,433500	0,5	-0,014400
0,441833	0,5	-0,017700
0,450167	0,5	-0,018650
0,458500	0,5	-0,023150
0,466833	0,5	-0,030100
0,475167	0,5	-0,032000
0,483500	0,5	-0,016450
0,491833	0,5	-0,043550
0,500167	0,5	-0,046650
0,508500	0,5	-0,028250
0,516833	0,5	-0,058750
0,525167	0,5	-0,057300
0,533500	0,5	-0,047650
0,541833	0,5	-0,029300
0,550167	0,5	0,012300
0,558500	0,5	-0,006800
0,566833	0,5	-0,015400
0,575167	0,5	-0,015300
0,583500	0,5	-0,004650
0,591833	0,5	-0,020050
0,600167	0,5	-0,021400
0,608500	0,5	-0,027100
0,616833	0,5	-0,030800
0,625167	0,5	-0,026500
0,633500	0,5	-0,035450
0,641833	0,5	-0,048350
0,650167	0,5	-0,038250
0,658500	0,5	-0,033750
0,666833	0,5	-0,060700
0,675167	0,5	-0,049000
0,683500	0,5	-0,054150
0,691833	0,5	-0,018000
0,700167	0,5	-0,006750
0,708500	0,5	-0,004150
0,716833	0,5	-0,020350
0,725167	0,5	-0,017500
0,733500	0,5	-0,029200
0,741833	0,5	-0,026150
0,750167	0,5	-0,040300
0,758500	0,5	-0,045600
0,766833	0,5	-0,049250
0,775167	0,5	-0,044450
0,783500	0,5	-0,040300
0,791833	0,5	-0,048900
0,800167	0,5	-0,037450
0,808500	0,5	-0,048000
0,816833	0,5	-0,071600
0,825167	0,5	-0,065800
0,833500	0,5	-0,057800
0,841833	0,5	-0,029250
0,850167	0,5	-0,022550
0,858500	0,5	-0,041100
0,866833	0,5	-0,036800
0,875167	0,5	-0,043700
0,883500	0,5	-0,039450
0,891833	0,5	-0,050800
0,900167	0,5	-0,044550
0,908500	0,5	-0,052000
0,916833	0,5	-0,051750
0,925167	0,5	-0,054200
0,933500	0,5	-0,069050
0,941833	0,5	-0,075950
0,950167	0,5	-0,044100
0,958500	0,5	-0,069000
0,966833	0,5	-0,080350
0,975167	0,5	-0,073000
0,983500	0,5	-0,052250
