File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/286.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_BMCC_WT
Injection Number	17
Position	RB3
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	20:31:29
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,028350
Signal Max.	37,742601
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,114150
0,008667	0,5	-0,112100
0,017000	0,5	-0,064300
0,025333	0,5	-0,049550
0,033667	0,5	-0,065000
0,042000	0,5	-0,064350
0,050333	0,5	-0,043600
0,058667	0,5	-0,033600
0,067000	0,5	-0,033400
0,075333	0,5	-0,031050
0,083667	0,5	-0,041850
0,092000	0,5	-0,035250
0,100333	0,5	-0,040400
0,108667	0,5	-0,020200
0,117000	0,5	-0,049650
0,125333	0,5	-0,005750
0,133667	0,5	-0,051000
0,142000	0,5	-0,047950
0,150333	0,5	-0,055500
0,158667	0,5	-0,012500
0,167000	0,5	0,016550
0,175333	0,5	0,013300
0,183667	0,5	-0,004000
0,192000	0,5	0,000250
0,200333	0,5	-0,010050
0,208667	0,5	-0,016350
0,217000	0,5	-0,019350
0,225333	0,5	-0,026600
0,233667	0,5	-0,029700
0,242000	0,5	-0,033700
0,250333	0,5	-0,031900
0,258667	0,5	-0,039300
0,267000	0,5	-0,035400
0,275333	0,5	-0,022050
0,283667	0,5	-0,052300
0,292000	0,5	-0,038150
0,300333	0,5	0,027250
0,308667	0,5	0,041400
0,317000	0,5	0,015550
0,325333	0,5	-0,024100
0,333667	0,5	-0,027850
0,342000	0,5	-0,038600
0,350333	0,5	-0,031450
0,358667	0,5	-0,033800
0,367000	0,5	-0,031900
0,375333	0,5	-0,038550
0,383667	0,5	-0,047500
0,392000	0,5	-0,042850
0,400333	0,5	-0,047250
0,408667	0,5	-0,055250
0,417000	0,5	-0,033050
0,425333	0,5	-0,044200
0,433667	0,5	-0,070800
0,442000	0,5	-0,060450
0,450333	0,5	-0,060300
0,458667	0,5	-0,006750
0,467000	0,5	-0,002600
0,475333	0,5	-0,010750
0,483667	0,5	-0,034200
0,492000	0,5	-0,028900
0,500333	0,5	-0,040800
0,508667	0,5	-0,038800
0,517000	0,5	-0,051750
0,525333	0,5	-0,057150
0,533667	0,5	-0,061100
0,542000	0,5	-0,050850
0,550333	0,5	-0,047950
0,558667	0,5	-0,036450
0,567000	0,5	-0,018750
0,575333	0,5	-0,056600
0,583667	0,5	-0,069750
0,592000	0,5	-0,068000
0,600333	0,5	-0,050150
0,608667	0,5	-0,022300
0,617000	0,5	-0,023000
0,625333	0,5	-0,045850
0,633667	0,5	-0,035600
0,642000	0,5	-0,046150
0,650333	0,5	-0,050600
0,658667	0,5	-0,047200
0,667000	0,5	-0,043600
0,675333	0,5	-0,059600
0,683667	0,5	-0,061350
0,692000	0,5	-0,064700
0,700333	0,5	-0,075800
0,708667	0,5	-0,071050
