File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/604.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_2a
Injection Number	34
Position	RD4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	04:40:34
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,940350
Signal Max.	35,967101
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,136500
0,008500	0,5	-0,136050
0,016833	0,5	-0,122200
0,025167	0,5	-0,105250
0,033500	0,5	-0,082700
0,041833	0,5	-0,079700
0,050167	0,5	-0,074850
0,058500	0,5	-0,061950
0,066833	0,5	-0,055700
0,075167	0,5	-0,073100
0,083500	0,5	-0,064100
0,091833	0,5	-0,051900
0,100167	0,5	-0,080950
0,108500	0,5	-0,070800
0,116833	0,5	-0,054700
0,125167	0,5	-0,018550
0,133500	0,5	0,004050
0,141833	0,5	-0,002600
0,150167	0,5	-0,027300
0,158500	0,5	-0,012250
0,166833	0,5	-0,021250
0,175167	0,5	-0,020150
0,183500	0,5	-0,026650
0,191833	0,5	-0,028450
0,200167	0,5	-0,040200
0,208500	0,5	-0,038400
0,216833	0,5	-0,029350
0,225167	0,5	-0,035550
0,233500	0,5	-0,024200
0,241833	0,5	-0,036100
0,250167	0,5	-0,053950
0,258500	0,5	-0,054900
0,266833	0,5	-0,041500
0,275167	0,5	-0,010900
0,283500	0,5	0,013900
0,291833	0,5	0,000050
0,300167	0,5	0,047000
0,308500	0,5	0,071450
0,316833	0,5	0,018450
0,325167	0,5	-0,031100
0,333500	0,5	-0,038600
0,341833	0,5	-0,048300
0,350167	0,5	-0,041450
0,358500	0,5	-0,039500
0,366833	0,5	-0,052150
0,375167	0,5	-0,059750
0,383500	0,5	-0,044600
0,391833	0,5	-0,064700
0,400167	0,5	-0,074800
0,408500	0,5	-0,077650
0,416833	0,5	-0,041100
0,425167	0,5	-0,002250
0,433500	0,5	-0,015800
0,441833	0,5	-0,029000
0,450167	0,5	-0,028000
0,458500	0,5	-0,026150
0,466833	0,5	-0,032700
0,475167	0,5	-0,028900
0,483500	0,5	-0,042300
0,491833	0,5	-0,044350
0,500167	0,5	-0,046600
0,508500	0,5	-0,050350
0,516833	0,5	-0,079450
0,525167	0,5	-0,053400
0,533500	0,5	-0,055800
0,541833	0,5	-0,062250
0,550167	0,5	-0,070650
