File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/151.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_2b
Injection Number	42
Position	RE2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	08:30:44
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,883200
Signal Max.	42,291401
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,016350
0,008500	0,5	-0,065200
0,016833	0,5	-0,061550
0,025167	0,5	-0,051400
0,033500	0,5	-0,031500
0,041833	0,5	-0,021100
0,050167	0,5	0,003200
0,058500	0,5	-0,009050
0,066833	0,5	-0,000050
0,075167	0,5	0,001450
0,083500	0,5	-0,000100
0,091833	0,5	-0,019800
0,100167	0,5	0,028850
0,108500	0,5	0,002250
0,116833	0,5	-0,007150
0,125167	0,5	-0,010350
0,133500	0,5	0,018250
0,141833	0,5	0,058200
0,150167	0,5	0,061250
0,158500	0,5	0,048800
0,166833	0,5	0,037750
0,175167	0,5	0,045050
0,183500	0,5	0,029950
0,191833	0,5	0,033450
0,200167	0,5	0,028500
0,208500	0,5	0,030700
0,216833	0,5	0,020850
0,225167	0,5	0,034700
0,233500	0,5	0,026150
0,241833	0,5	0,028550
0,250167	0,5	0,030650
0,258500	0,5	0,012650
0,266833	0,5	0,000500
0,275167	0,5	0,001600
0,283500	0,5	0,022950
0,291833	0,5	0,057650
0,300167	0,5	0,098700
0,308500	0,5	0,140050
0,316833	0,5	0,123450
0,325167	0,5	0,057350
0,333500	0,5	0,019000
0,341833	0,5	0,014900
0,350167	0,5	0,016850
0,358500	0,5	0,005050
0,366833	0,5	0,012150
0,375167	0,5	0,008600
0,383500	0,5	0,016650
0,391833	0,5	0,018150
0,400167	0,5	0,029300
0,408500	0,5	-0,000300
0,416833	0,5	0,001250
0,425167	0,5	-0,003500
0,433500	0,5	0,038550
0,441833	0,5	0,047550
0,450167	0,5	0,035750
0,458500	0,5	0,029050
0,466833	0,5	0,034200
0,475167	0,5	0,021650
0,483500	0,5	0,017550
0,491833	0,5	0,014100
0,500167	0,5	0,013600
0,508500	0,5	0,016300
0,516833	0,5	0,009600
0,525167	0,5	0,011950
0,533500	0,5	-0,003250
0,541833	0,5	0,034350
0,550167	0,5	0,008600
0,558500	0,5	-0,003250
0,566833	0,5	-0,005850
0,575167	0,5	0,011100
0,583500	0,5	0,048600
0,591833	0,5	0,053350
0,600167	0,5	0,045000
0,608500	0,5	0,054450
0,616833	0,5	0,043700
0,625167	0,5	0,043600
0,633500	0,5	0,035450
0,641833	0,5	0,037000
0,650167	0,5	0,025500
0,658500	0,5	0,032650
0,666833	0,5	0,040700
0,675167	0,5	0,014800
0,683500	0,5	0,013250
0,691833	0,5	0,043350
0,700167	0,5	0,021600
0,708500	0,5	0,021200
0,716833	0,5	0,028350
0,725167	0,5	0,039150
0,733500	0,5	0,076950
0,741833	0,5	0,056350
0,750167	0,5	0,059850
