File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/131.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_3a
Injection Number	48
Position	RE8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	11:23:22
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,179600
Signal Max.	45,880201
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,071400
0,008500	0,5	-0,111850
0,016833	0,5	-0,103400
0,025167	0,5	-0,092700
0,033500	0,5	-0,075550
0,041833	0,5	-0,070800
0,050167	0,5	-0,050600
0,058500	0,5	-0,052700
0,066833	0,5	-0,042350
0,075167	0,5	-0,025800
0,083500	0,5	-0,036300
0,091833	0,5	-0,015100
0,100167	0,5	-0,043900
0,108500	0,5	-0,055950
0,116833	0,5	-0,052300
0,125167	0,5	-0,021750
0,133500	0,5	0,011250
0,141833	0,5	0,022750
0,150167	0,5	0,011150
0,158500	0,5	0,020000
0,166833	0,5	-0,000150
0,175167	0,5	-0,000300
0,183500	0,5	-0,009650
0,191833	0,5	0,000250
0,200167	0,5	-0,012950
0,208500	0,5	-0,003900
0,216833	0,5	-0,010700
0,225167	0,5	-0,026750
0,233500	0,5	-0,034300
0,241833	0,5	-0,012800
0,250167	0,5	-0,033700
0,258500	0,5	-0,032300
0,266833	0,5	-0,030900
0,275167	0,5	0,001450
0,283500	0,5	0,028300
0,291833	0,5	0,025550
0,300167	0,5	0,057300
0,308500	0,5	0,099150
0,316833	0,5	0,076350
0,325167	0,5	0,007600
0,333500	0,5	-0,014800
0,341833	0,5	-0,020100
0,350167	0,5	-0,015500
0,358500	0,5	-0,013700
0,366833	0,5	-0,023250
0,375167	0,5	-0,043650
0,383500	0,5	-0,015100
0,391833	0,5	-0,029850
0,400167	0,5	-0,040450
0,408500	0,5	-0,040100
0,416833	0,5	-0,030850
0,425167	0,5	0,003900
0,433500	0,5	0,016650
0,441833	0,5	0,016500
0,450167	0,5	0,016300
0,458500	0,5	0,010450
0,466833	0,5	-0,002050
0,475167	0,5	-0,004500
0,483500	0,5	-0,005550
0,491833	0,5	-0,006300
0,500167	0,5	-0,015000
0,508500	0,5	-0,009400
0,516833	0,5	-0,033400
0,525167	0,5	-0,033700
0,533500	0,5	-0,004900
0,541833	0,5	-0,018850
0,550167	0,5	-0,030100
0,558500	0,5	-0,008350
0,566833	0,5	-0,007900
0,575167	0,5	0,042350
0,583500	0,5	0,029050
0,591833	0,5	0,023850
0,600167	0,5	0,013800
0,608500	0,5	0,021100
0,616833	0,5	0,009150
0,625167	0,5	0,005850
0,633500	0,5	0,005200
0,641833	0,5	0,002150
0,650167	0,5	0,010150
0,658500	0,5	0,010100
0,666833	0,5	0,011750
0,675167	0,5	0,012800
0,683500	0,5	0,040600
0,691833	0,5	0,010300
0,700167	0,5	-0,000450
0,708500	0,5	0,002800
0,716833	0,5	0,023950
0,725167	0,5	0,059750
0,733500	0,5	0,045450
0,741833	0,5	0,031250
0,750167	0,5	0,050950
0,758500	0,5	0,044750
0,766833	0,5	0,047750
0,775167	0,5	0,045950
0,783500	0,5	0,049900
0,791833	0,5	0,039500
0,800167	0,5	0,041000
0,808500	0,5	0,046600
0,816833	0,5	0,028100
0,825167	0,5	0,044150
0,833500	0,5	0,044150
0,841833	0,5	0,035300
0,850167	0,5	0,033500
0,858500	0,5	0,062800
0,866833	0,5	0,084900
0,875167	0,5	0,111400
0,883500	0,5	0,085750
0,891833	0,5	0,088750
0,900167	0,5	0,084700
0,908500	0,5	0,087700
0,916833	0,5	0,081400
0,925167	0,5	0,092200
0,933500	0,5	0,084250
0,941833	0,5	0,087850
0,950167	0,5	0,097950
0,958500	0,5	0,093250
0,966833	0,5	0,068700
0,975167	0,5	0,102350
0,983500	0,5	0,090000
0,991833	0,5	0,089400
1,000167	0,5	0,088750
1,008500	0,5	0,108100
1,016833	0,5	0,145350
1,025167	0,5	0,143650
1,033500	0,5	0,143700
1,041833	0,5	0,135250
1,050167	0,5	0,155900
1,058500	0,5	0,153300
1,066833	0,5	0,162000
1,075167	0,5	0,152300
1,083500	0,5	0,155100
1,091833	0,5	0,156450
1,100167	0,5	0,168500
1,108500	0,5	0,155550
1,116833	0,5	0,157050
1,125167	0,5	0,185100
1,133500	0,5	0,166350
1,141833	0,5	0,164750
1,150167	0,5	0,178300
1,158500	0,5	0,205200
1,166833	0,5	0,248950
1,175167	0,5	0,253500
1,183500	0,5	0,240550
1,191833	0,5	0,247650
1,200167	0,5	0,244550
1,208500	0,5	0,248000
1,216833	0,5	0,248050
1,225167	0,5	0,258950
1,233500	0,5	0,253000
1,241833	0,5	0,269650
1,250167	0,5	0,281400
1,258500	0,5	0,289200
1,266833	0,5	0,291750
1,275167	0,5	0,314200
1,283500	0,5	0,291250
1,291833	0,5	0,304700
1,300167	0,5	0,309400
1,308500	0,5	0,349500
1,316833	0,5	0,378900
1,325167	0,5	0,376900
1,333500	0,5	0,378200
1,341833	0,5	0,396800
1,350167	0,5	0,397600
1,358500	0,5	0,416450
1,366833	0,5	0,425300
1,375167	0,5	0,420550
1,383500	0,5	0,432400
1,391833	0,5	0,437550
1,400167	0,5	0,449100
1,408500	0,5	0,442500
1,416833	0,5	0,476550
1,425167	0,5	0,470800
1,433500	0,5	0,464700
1,441833	0,5	0,477100
1,450167	0,5	0,499700
1,458500	0,5	0,546050
1,466833	0,5	0,562650
1,475167	0,5	0,559650
1,483500	0,5	0,572500
1,491833	0,5	0,573750
1,500167	0,5	0,578750
1,508500	0,5	0,579000
1,516833	0,5	0,593300
1,525167	0,5	0,592500
1,533500	0,5	0,603100
1,541833	0,5	0,622500
1,550167	0,5	0,596200
1,558500	0,5	0,606500
1,566833	0,5	0,637150
1,575167	0,5	0,567650
1,583500	0,5	0,170600
1,591833	0,5	-0,862850
1,600167	0,5	-1,681150
1,608500	0,5	-0,803050
1,616833	0,5	1,268150
1,625167	0,5	3,275100
1,633500	0,5	5,323700
1,641833	0,5	7,507850
1,650167	0,5	9,020750
1,658500	0,5	9,345500
1,666833	0,5	8,823450
1,675167	0,5	8,023200
1,683500	0,5	7,232900
1,691833	0,5	6,524150
1,700167	0,5	5,958250
1,708500	0,5	5,671500
1,716833	0,5	5,874050
1,725167	0,5	6,682100
1,733500	0,5	7,480850
1,741833	0,5	7,366300
1,750167	0,5	6,413550
1,758500	0,5	5,351400
1,766833	0,5	4,629500
1,775167	0,5	4,446550
1,783500	0,5	5,208400
1,791833	0,5	7,522300
1,800167	0,5	11,334450
1,808500	0,5	14,913050
1,816833	0,5	16,862300
1,825167	0,5	16,850050
1,833500	0,5	15,093550
1,841833	0,5	12,621250
1,850167	0,5	10,429000
1,858500	0,5	8,857650
1,866833	0,5	7,719850
1,875167	0,5	6,903650
1,883500	0,5	6,291300
1,891833	0,5	5,811800
1,900167	0,5	5,429100
1,908500	0,5	5,106950
1,916833	0,5	4,806150
1,925167	0,5	4,593500
1,933500	0,5	4,438950
1,941833	0,5	4,341950
1,950167	0,5	4,297300
1,958500	0,5	4,283900
1,966833	0,5	4,245200
1,975167	0,5	4,240300
1,983500	0,5	4,280100
1,991833	0,5	4,335250
2,000167	0,5	4,386750
2,008500	0,5	4,516050
2,016833	0,5	4,624550
2,025167	0,5	4,866600
2,033500	0,5	5,362100
2,041833	0,5	6,152400
2,050167	0,5	6,991950
2,058500	0,5	7,700350
2,066833	0,5	8,411800
2,075167	0,5	9,066400
2,083500	0,5	9,455350
2,091833	0,5	9,552950
2,100167	0,5	9,530900
2,108500	0,5	9,499100
2,116833	0,5	9,538350
2,125167	0,5	9,754200
2,133500	0,5	10,230800
2,141833	0,5	11,120100
2,150167	0,5	12,799050
2,158500	0,5	14,887850
2,166833	0,5	15,836300
2,175167	0,5	14,949050
2,183500	0,5	13,156550
2,191833	0,5	11,596650
2,200167	0,5	10,547950
2,208500	0,5	9,819000
2,216833	0,5	9,301000
2,225167	0,5	8,932500
2,233500	0,5	8,672350
2,241833	0,5	8,482100
2,250167	0,5	8,363650
2,258500	0,5	8,288250
2,266833	0,5	8,223050
2,275167	0,5	8,208300
2,283500	0,5	8,181300
2,291833	0,5	8,172800
2,300167	0,5	8,183850
2,308500	0,5	8,207700
2,316833	0,5	8,214900
2,325167	0,5	8,256300
2,333500	0,5	8,299600
2,341833	0,5	8,378400
2,350167	0,5	8,455400
2,358500	0,5	8,517700
2,366833	0,5	8,569750
2,375167	0,5	8,648300
2,383500	0,5	8,714550
2,391833	0,5	8,802300
2,400167	0,5	8,907700
2,408500	0,5	9,052500
2,416833	0,5	9,235150
2,425167	0,5	9,416000
2,433500	0,5	9,482750
2,441833	0,5	9,414000
2,450167	0,5	9,395450
2,458500	0,5	9,417700
2,466833	0,5	9,473750
2,475167	0,5	9,541700
2,483500	0,5	9,604100
2,491833	0,5	9,667150
2,500167	0,5	9,711350
2,508500	0,5	9,719550
2,516833	0,5	9,735000
2,525167	0,5	9,738500
2,533500	0,5	9,766650
2,541833	0,5	9,814500
2,550167	0,5	9,923850
2,558500	0,5	10,119200
2,566833	0,5	10,453200
2,575167	0,5	11,025000
2,583500	0,5	12,010750
2,591833	0,5	13,738850
2,600167	0,5	16,457550
2,608500	0,5	20,014100
2,616833	0,5	23,853900
2,625167	0,5	27,189950
2,633500	0,5	29,417850
2,641833	0,5	30,287200
2,650167	0,5	29,759900
2,658500	0,5	28,119200
2,666833	0,5	25,785750
2,675167	0,5	23,321800
2,683500	0,5	21,157800
2,691833	0,5	19,544950
2,700167	0,5	18,619300
2,708500	0,5	18,538150
2,716833	0,5	19,497700
2,725167	0,5	21,665250
2,733500	0,5	25,072900
2,741833	0,5	29,663100
2,750167	0,5	35,063501
2,758500	0,5	40,420551
2,766833	0,5	44,403601
2,775167	0,5	45,880201
2,783500	0,5	44,538351
2,791833	0,5	40,924551
2,800167	0,5	36,130051
2,808500	0,5	31,228500
2,816833	0,5	27,052300
2,825167	0,5	24,056050
2,833500	0,5	22,578100
2,841833	0,5	22,850850
2,850167	0,5	24,784200
2,858500	0,5	27,513000
2,866833	0,5	29,592650
2,875167	0,5	29,834150
2,883500	0,5	28,055550
2,891833	0,5	25,026100
2,900167	0,5	21,622550
2,908500	0,5	18,518600
2,916833	0,5	15,951050
2,925167	0,5	13,914750
2,933500	0,5	12,347750
2,941833	0,5	11,104000
2,950167	0,5	10,107500
2,958500	0,5	9,329800
2,966833	0,5	8,700050
2,975167	0,5	8,161700
2,983500	0,5	7,708000
2,991833	0,5	7,319400
3,000167	0,5	6,968500
3,008500	0,5	6,663850
3,016833	0,5	6,387700
3,025167	0,5	6,144200
3,033500	0,5	5,904050
3,041833	0,5	5,726150
3,050167	0,5	5,509300
3,058500	0,5	5,333700
3,066833	0,5	5,154350
3,075167	0,5	4,996200
3,083500	0,5	4,849100
3,091833	0,5	4,672850
3,100167	0,5	4,513850
3,108500	0,5	4,378250
3,116833	0,5	4,258500
3,125167	0,5	4,154350
3,133500	0,5	4,082450
3,141833	0,5	4,035000
3,150167	0,5	4,017750
3,158500	0,5	4,043200
3,166833	0,5	4,125150
3,175167	0,5	4,247450
3,183500	0,5	4,533450
3,191833	0,5	5,074900
3,200167	0,5	5,963250
3,208500	0,5	7,318800
3,216833	0,5	9,000200
3,225167	0,5	10,679400
3,233500	0,5	11,909500
3,241833	0,5	12,281900
3,250167	0,5	11,782550
3,258500	0,5	10,589850
3,266833	0,5	9,078700
3,275167	0,5	7,558950
3,283500	0,5	6,270850
3,291833	0,5	5,265700
3,300167	0,5	4,519350
3,308500	0,5	3,975150
3,316833	0,5	3,559950
3,325167	0,5	3,242600
3,333500	0,5	2,993350
3,341833	0,5	2,785000
3,350167	0,5	2,600050
3,358500	0,5	2,459750
3,366833	0,5	2,344300
3,375167	0,5	2,263900
3,383500	0,5	2,177300
3,391833	0,5	2,082550
3,400167	0,5	1,999500
3,408500	0,5	1,932350
3,416833	0,5	1,859300
3,425167	0,5	1,806150
3,433500	0,5	1,740900
3,441833	0,5	1,686350
3,450167	0,5	1,626550
3,458500	0,5	1,579700
3,466833	0,5	1,543600
3,475167	0,5	1,493050
3,483500	0,5	1,467200
3,491833	0,5	1,414650
3,500167	0,5	1,367100
3,508500	0,5	1,332450
3,516833	0,5	1,314850
