File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/967.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_3b
Injection Number	54
Position	GA6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	14:16:06
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,305500
Signal Max.	39,310451
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,055000
0,008500	0,5	-0,104100
0,016833	0,5	-0,096950
0,025167	0,5	-0,049600
0,033500	0,5	-0,051500
0,041833	0,5	-0,039500
0,050167	0,5	-0,034050
0,058500	0,5	-0,023750
0,066833	0,5	-0,014850
0,075167	0,5	-0,007700
0,083500	0,5	-0,020650
0,091833	0,5	-0,014800
0,100167	0,5	-0,012250
0,108500	0,5	0,003750
0,116833	0,5	-0,035500
0,125167	0,5	-0,015000
0,133500	0,5	-0,009800
0,141833	0,5	-0,029750
0,150167	0,5	-0,034200
0,158500	0,5	-0,011100
0,166833	0,5	0,016100
0,175167	0,5	0,044900
0,183500	0,5	0,028800
0,191833	0,5	0,031350
0,200167	0,5	0,033200
0,208500	0,5	0,023400
0,216833	0,5	0,015950
0,225167	0,5	0,012450
0,233500	0,5	0,015400
0,241833	0,5	0,005550
0,250167	0,5	0,015000
0,258500	0,5	0,006900
0,266833	0,5	0,000750
0,275167	0,5	0,004550
0,283500	0,5	-0,001800
0,291833	0,5	-0,012150
0,300167	0,5	0,024400
0,308500	0,5	0,097650
0,316833	0,5	0,113300
0,325167	0,5	0,052700
0,333500	0,5	0,018000
0,341833	0,5	0,003450
0,350167	0,5	0,016550
0,358500	0,5	0,005900
0,366833	0,5	0,009300
0,375167	0,5	0,003050
0,383500	0,5	-0,003650
0,391833	0,5	0,002000
0,400167	0,5	0,002350
0,408500	0,5	0,006300
0,416833	0,5	-0,013900
0,425167	0,5	0,005500
0,433500	0,5	-0,022100
0,441833	0,5	-0,021450
0,450167	0,5	-0,033450
0,458500	0,5	-0,006600
0,466833	0,5	0,017000
0,475167	0,5	0,026400
