File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/429.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_4a
Injection Number	22
Position	RB8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	22:55:20
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-6,967400
Signal Max.	42,070801
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,095500
0,008667	0,5	-0,099450
0,017000	0,5	-0,087650
0,025333	0,5	-0,077450
0,033667	0,5	-0,062600
0,042000	0,5	-0,045450
0,050333	0,5	-0,059150
0,058667	0,5	-0,062250
0,067000	0,5	-0,007100
0,075333	0,5	-0,047400
0,083667	0,5	-0,049650
0,092000	0,5	-0,027700
0,100333	0,5	-0,022950
0,108667	0,5	0,027900
0,117000	0,5	-0,004650
0,125333	0,5	-0,003350
0,133667	0,5	-0,015700
0,142000	0,5	-0,004400
0,150333	0,5	-0,011050
0,158667	0,5	-0,005050
0,167000	0,5	-0,017950
0,175333	0,5	-0,023000
0,183667	0,5	-0,023050
0,192000	0,5	-0,009050
0,200333	0,5	-0,043300
0,208667	0,5	-0,036950
0,217000	0,5	-0,028850
0,225333	0,5	-0,050400
0,233667	0,5	-0,051250
0,242000	0,5	-0,041150
0,250333	0,5	-0,015650
0,258667	0,5	0,018550
0,267000	0,5	0,008000
0,275333	0,5	-0,009300
0,283667	0,5	-0,007050
0,292000	0,5	-0,001850
0,300333	0,5	0,049950
0,308667	0,5	0,062450
0,317000	0,5	0,008550
0,325333	0,5	-0,033950
0,333667	0,5	-0,040550
0,342000	0,5	-0,046600
0,350333	0,5	-0,052050
0,358667	0,5	-0,045500
0,367000	0,5	-0,041400
0,375333	0,5	-0,065050
0,383667	0,5	-0,063100
0,392000	0,5	-0,038550
0,400333	0,5	-0,008700
0,408667	0,5	0,008250
0,417000	0,5	-0,017400
0,425333	0,5	-0,020600
0,433667	0,5	-0,017500
