File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/921.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_4b
Injection Number	28
Position	RC6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	01:47:58
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-7,950950
Signal Max.	32,228400
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,067650
0,008667	0,5	-0,108800
0,017000	0,5	-0,098750
0,025333	0,5	-0,091600
0,033667	0,5	-0,073400
0,042000	0,5	-0,076350
0,050333	0,5	-0,042400
0,058667	0,5	-0,050250
0,067000	0,5	-0,042250
0,075333	0,5	-0,002650
0,083667	0,5	-0,035300
0,092000	0,5	-0,062300
0,100333	0,5	-0,036550
0,108667	0,5	-0,021900
0,117000	0,5	0,022000
0,125333	0,5	0,008000
0,133667	0,5	-0,003550
0,142000	0,5	-0,007100
0,150333	0,5	-0,009400
0,158667	0,5	-0,018400
0,167000	0,5	-0,022200
0,175333	0,5	-0,013850
0,183667	0,5	-0,031850
0,192000	0,5	-0,022000
0,200333	0,5	-0,016350
0,208667	0,5	-0,004650
0,217000	0,5	-0,027350
0,225333	0,5	0,012200
0,233667	0,5	-0,032350
0,242000	0,5	-0,036900
0,250333	0,5	-0,037350
0,258667	0,5	-0,008500
0,267000	0,5	0,016500
0,275333	0,5	-0,012300
0,283667	0,5	-0,033100
0,292000	0,5	-0,020900
0,300333	0,5	0,022550
0,308667	0,5	0,072750
0,317000	0,5	0,041150
0,325333	0,5	-0,028700
0,333667	0,5	-0,049750
0,342000	0,5	-0,051000
0,350333	0,5	-0,037150
0,358667	0,5	-0,052550
0,367000	0,5	-0,041650
0,375333	0,5	-0,041350
0,383667	0,5	-0,052500
0,392000	0,5	-0,067700
0,400333	0,5	-0,048500
0,408667	0,5	-0,020450
0,417000	0,5	0,003250
0,425333	0,5	-0,033200
0,433667	0,5	-0,019200
0,442000	0,5	-0,032750
0,450333	0,5	-0,029150
0,458667	0,5	-0,041700
0,467000	0,5	-0,040250
0,475333	0,5	-0,045700
0,483667	0,5	-0,052750
0,492000	0,5	-0,046500
0,500333	0,5	-0,054450
0,508667	0,5	-0,065300
0,517000	0,5	-0,041750
0,525333	0,5	-0,060900
0,533667	0,5	-0,068650
0,542000	0,5	-0,068000
0,550333	0,5	-0,051800
0,558667	0,5	-0,012400
0,567000	0,5	-0,012050
0,575333	0,5	-0,012950
0,583667	0,5	-0,033050
0,592000	0,5	-0,025350
0,600333	0,5	-0,035350
0,608667	0,5	-0,023750
0,617000	0,5	-0,026850
0,625333	0,5	-0,035200
0,633667	0,5	-0,032950
0,642000	0,5	-0,029600
0,650333	0,5	-0,036850
0,658667	0,5	-0,030350
0,667000	0,5	-0,017900
0,675333	0,5	-0,039700
0,683667	0,5	-0,046350
0,692000	0,5	-0,049600
0,700333	0,5	-0,023450
0,708667	0,5	0,013200
0,717000	0,5	0,024850
0,725333	0,5	0,008800
0,733667	0,5	0,010000
0,742000	0,5	0,003200
0,750333	0,5	0,003750
0,758667	0,5	-0,013350
0,767000	0,5	-0,006950
0,775333	0,5	-0,016450
0,783667	0,5	-0,013450
0,792000	0,5	-0,015450
0,800333	0,5	-0,003450
0,808667	0,5	0,007700
0,817000	0,5	0,014750
0,825333	0,5	-0,013300
0,833667	0,5	-0,011900
0,842000	0,5	-0,008750
0,850333	0,5	0,020900
0,858667	0,5	0,045850
0,867000	0,5	0,032300
0,875333	0,5	0,028950
0,883667	0,5	0,019350
0,892000	0,5	0,019150
0,900333	0,5	0,013150
0,908667	0,5	0,031150
0,917000	0,5	0,022700
0,925333	0,5	0,024400
0,933667	0,5	0,024250
0,942000	0,5	0,024650
0,950333	0,5	0,006450
0,958667	0,5	0,049000
0,967000	0,5	0,027300
0,975333	0,5	0,016200
0,983667	0,5	0,013850
0,992000	0,5	0,023700
1,000333	0,5	0,057650
1,008667	0,5	0,072700
1,017000	0,5	0,059300
1,025333	0,5	0,060500
1,033667	0,5	0,064100
1,042000	0,5	0,061300
1,050333	0,5	0,063300
1,058667	0,5	0,057200
1,067000	0,5	0,059800
1,075333	0,5	0,055500
1,083667	0,5	0,059450
1,092000	0,5	0,054850
1,100333	0,5	0,062850
1,108667	0,5	0,102550
1,117000	0,5	0,073600
1,125333	0,5	0,058550
1,133667	0,5	0,064800
1,142000	0,5	0,074000
1,150333	0,5	0,126300
1,158667	0,5	0,111000
1,167000	0,5	0,104600
1,175333	0,5	0,104650
1,183667	0,5	0,106350
1,192000	0,5	0,096100
1,200333	0,5	0,102750
1,208667	0,5	0,125250
1,217000	0,5	0,111850
1,225333	0,5	0,121200
1,233667	0,5	0,132000
1,242000	0,5	0,154700
1,250333	0,5	0,155650
1,258667	0,5	0,169950
1,267000	0,5	0,146800
1,275333	0,5	0,146250
1,283667	0,5	0,151600
1,292000	0,5	0,173800
1,300333	0,5	0,209250
1,308667	0,5	0,197950
1,317000	0,5	0,187400
1,325333	0,5	0,196100
1,333667	0,5	0,193900
1,342000	0,5	0,211900
1,350333	0,5	0,218750
1,358667	0,5	0,213900
1,367000	0,5	0,216150
1,375333	0,5	0,223850
1,383667	0,5	0,248650
1,392000	0,5	0,241700
1,400333	0,5	0,272000
1,408667	0,5	0,275900
1,417000	0,5	0,259300
1,425333	0,5	0,256400
1,433667	0,5	0,279250
1,442000	0,5	0,307350
1,450333	0,5	0,341000
1,458667	0,5	0,309350
1,467000	0,5	0,330950
1,475333	0,5	0,325200
1,483667	0,5	0,337950
1,492000	0,5	0,332450
1,500333	0,5	0,342950
1,508667	0,5	0,349200
1,517000	0,5	0,354000
1,525333	0,5	0,360200
1,533667	0,5	0,371100
1,542000	0,5	0,359700
1,550333	0,5	0,394250
1,558667	0,5	0,377450
1,567000	0,5	0,373550
1,575333	0,5	0,308150
1,583667	0,5	-0,028200
1,592000	0,5	-0,936500
1,600333	0,5	-1,783200
1,608667	0,5	-1,127550
1,617000	0,5	0,878300
1,625333	0,5	2,892100
1,633667	0,5	4,777550
1,642000	0,5	6,773400
1,650333	0,5	8,306000
1,658667	0,5	8,816550
1,667000	0,5	8,466800
1,675333	0,5	7,778850
1,683667	0,5	7,015350
1,692000	0,5	6,325300
1,700333	0,5	5,756400
1,708667	0,5	5,392950
1,717000	0,5	5,509750
1,725333	0,5	6,374750
1,733667	0,5	7,648000
1,742000	0,5	8,153700
1,750333	0,5	7,374200
1,758667	0,5	6,035950
1,767000	0,5	4,948100
1,775333	0,5	4,343350
1,783667	0,5	4,383400
1,792000	0,5	5,428200
1,800333	0,5	7,690500
1,808667	0,5	10,322700
1,817000	0,5	12,094900
1,825333	0,5	12,600650
1,833667	0,5	11,836200
1,842000	0,5	10,226600
1,850333	0,5	8,523500
1,858667	0,5	7,155500
1,867000	0,5	6,194150
1,875333	0,5	5,497750
1,883667	0,5	5,017800
1,892000	0,5	4,621450
1,900333	0,5	4,273450
1,908667	0,5	3,981100
1,917000	0,5	3,732300
1,925333	0,5	3,528800
1,933667	0,5	3,369100
1,942000	0,5	3,268250
1,950333	0,5	3,214600
1,958667	0,5	3,205950
1,967000	0,5	3,183550
1,975333	0,5	3,149000
1,983667	0,5	3,117700
1,992000	0,5	3,147350
2,000333	0,5	3,146600
2,008667	0,5	3,161900
2,017000	0,5	3,204000
2,025333	0,5	3,281200
2,033667	0,5	3,454350
2,042000	0,5	3,841000
2,050333	0,5	4,486800
2,058667	0,5	5,179250
2,067000	0,5	5,747150
2,075333	0,5	6,269600
2,083667	0,5	6,695450
2,092000	0,5	6,889250
2,100333	0,5	6,916450
2,108667	0,5	6,896200
2,117000	0,5	6,904600
2,125333	0,5	6,948700
2,133667	0,5	7,155050
2,142000	0,5	7,549150
2,150333	0,5	8,188000
2,158667	0,5	9,344500
2,167000	0,5	10,905550
2,175333	0,5	11,887100
