File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/416.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_C-NE
Injection Number	60
Position	GB4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	28.04.2022
Injection Time	17:09:01
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-8,399450
Signal Max.	30,604000
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,013750
0,008667	0,5	-0,080950
0,017000	0,5	-0,089700
0,025333	0,5	-0,067800
0,033667	0,5	-0,024200
0,042000	0,5	0,002350
0,050333	0,5	-0,007350
0,058667	0,5	0,006700
0,067000	0,5	0,003300
0,075333	0,5	0,001250
0,083667	0,5	-0,007950
0,092000	0,5	-0,002300
0,100333	0,5	-0,012800
0,108667	0,5	0,003150
0,117000	0,5	0,013900
0,125333	0,5	0,005750
0,133667	0,5	0,014750
0,142000	0,5	0,026600
0,150333	0,5	0,000500
0,158667	0,5	-0,007350
0,167000	0,5	0,004450
0,175333	0,5	0,034300
0,183667	0,5	0,051850
0,192000	0,5	0,028100
0,200333	0,5	0,025050
0,208667	0,5	0,022200
0,217000	0,5	0,030750
0,225333	0,5	0,020350
0,233667	0,5	0,027100
0,242000	0,5	0,016250
0,250333	0,5	0,018000
0,258667	0,5	0,010200
0,267000	0,5	0,009150
0,275333	0,5	-0,020650
0,283667	0,5	0,024250
0,292000	0,5	0,003850
0,300333	0,5	0,011800
0,308667	0,5	0,050550
0,317000	0,5	0,107300
