File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/666.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_CelS2
Injection Number	8
Position	RA4
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	15:23:14
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-3,567800
Signal Max.	67,034051
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,044250
0,008667	0,5	-0,086250
0,017000	0,5	-0,075500
0,025333	0,5	-0,066100
0,033667	0,5	-0,080500
0,042000	0,5	-0,066750
0,050333	0,5	-0,055100
0,058667	0,5	-0,005600
0,067000	0,5	0,011300
0,075333	0,5	-0,000600
0,083667	0,5	0,005950
0,092000	0,5	0,001400
0,100333	0,5	-0,000550
0,108667	0,5	-0,005850
0,117000	0,5	-0,001500
0,125333	0,5	-0,015800
0,133667	0,5	-0,007900
0,142000	0,5	-0,013600
0,150333	0,5	-0,013050
0,158667	0,5	-0,026850
0,167000	0,5	0,017850
0,175333	0,5	-0,009400
0,183667	0,5	-0,021450
0,192000	0,5	-0,025200
0,200333	0,5	-0,007500
0,208667	0,5	0,022550
0,217000	0,5	0,007250
0,225333	0,5	-0,007300
0,233667	0,5	-0,003650
0,242000	0,5	-0,004500
0,250333	0,5	-0,006600
0,258667	0,5	-0,004950
0,267000	0,5	-0,009200
0,275333	0,5	-0,006050
0,283667	0,5	-0,010900
0,292000	0,5	-0,000150
0,300333	0,5	-0,023500
0,308667	0,5	0,023800
0,317000	0,5	0,014950
0,325333	0,5	-0,028650
0,333667	0,5	-0,050500
0,342000	0,5	-0,042150
0,350333	0,5	-0,024050
0,358667	0,5	0,002900
0,367000	0,5	-0,014650
0,375333	0,5	-0,011000
0,383667	0,5	-0,016350
0,392000	0,5	-0,020250
0,400333	0,5	-0,024700
0,408667	0,5	-0,018250
0,417000	0,5	-0,024250
0,425333	0,5	-0,033750
0,433667	0,5	-0,028500
0,442000	0,5	-0,028550
0,450333	0,5	-0,040500
0,458667	0,5	-0,023700
0,467000	0,5	-0,032500
0,475333	0,5	-0,045050
0,483667	0,5	-0,048900
0,492000	0,5	-0,046150
0,500333	0,5	-0,007000
0,508667	0,5	-0,012750
0,517000	0,5	-0,021000
0,525333	0,5	-0,033100
0,533667	0,5	-0,018750
0,542000	0,5	-0,035250
0,550333	0,5	-0,032950
0,558667	0,5	-0,039600
0,567000	0,5	-0,040200
0,575333	0,5	-0,036350
0,583667	0,5	-0,039150
0,592000	0,5	-0,017800
0,600333	0,5	-0,042550
0,608667	0,5	-0,022500
0,617000	0,5	-0,048650
0,625333	0,5	-0,058050
0,633667	0,5	-0,066550
0,642000	0,5	-0,048650
0,650333	0,5	-0,019500
0,658667	0,5	-0,015250
0,667000	0,5	-0,036000
0,675333	0,5	-0,025500
0,683667	0,5	-0,040850
0,692000	0,5	-0,040300
0,700333	0,5	-0,050300
0,708667	0,5	-0,046400
0,717000	0,5	-0,062550
0,725333	0,5	-0,054750
0,733667	0,5	-0,056100
0,742000	0,5	-0,061000
0,750333	0,5	-0,072750
0,758667	0,5	-0,055600
0,767000	0,5	-0,086950
0,775333	0,5	-0,081000
0,783667	0,5	-0,089250
0,792000	0,5	-0,067800
0,800333	0,5	-0,039000
0,808667	0,5	-0,059250
0,817000	0,5	-0,059400
0,825333	0,5	-0,059050
0,833667	0,5	-0,063050
0,842000	0,5	-0,072700
0,850333	0,5	-0,068950
0,858667	0,5	-0,084750
0,867000	0,5	-0,085800
0,875333	0,5	-0,088150
0,883667	0,5	-0,094200
0,892000	0,5	-0,110050
0,900333	0,5	-0,090300
0,908667	0,5	-0,099900
0,917000	0,5	-0,113100
0,925333	0,5	-0,115450
0,933667	0,5	-0,118300
0,942000	0,5	-0,080200
0,950333	0,5	-0,066850
0,958667	0,5	-0,072350
0,967000	0,5	-0,086150
0,975333	0,5	-0,069500
0,983667	0,5	-0,086600
0,992000	0,5	-0,087550
1,000333	0,5	-0,100850
1,008667	0,5	-0,096700
1,017000	0,5	-0,110050
1,025333	0,5	-0,098400
1,033667	0,5	-0,106350
1,042000	0,5	-0,117850
1,050333	0,5	-0,099150
1,058667	0,5	-0,115700
1,067000	0,5	-0,132300
1,075333	0,5	-0,122050
1,083667	0,5	-0,123300
1,092000	0,5	-0,087050
1,100333	0,5	-0,092550
1,108667	0,5	-0,098100
1,117000	0,5	-0,107450
1,125333	0,5	-0,106500
1,133667	0,5	-0,113550
1,142000	0,5	-0,118000
1,150333	0,5	-0,116350
1,158667	0,5	-0,133700
1,167000	0,5	-0,124550
1,175333	0,5	-0,125300
1,183667	0,5	-0,120550
1,192000	0,5	-0,126500
1,200333	0,5	-0,096150
1,208667	0,5	-0,130450
1,217000	0,5	-0,137750
1,225333	0,5	-0,142650
1,233667	0,5	-0,121250
1,242000	0,5	-0,099050
1,250333	0,5	-0,117650
1,258667	0,5	-0,127800
1,267000	0,5	-0,117900
1,275333	0,5	-0,118400
1,283667	0,5	-0,127200
1,292000	0,5	-0,136350
1,300333	0,5	-0,131400
1,308667	0,5	-0,133550
1,317000	0,5	-0,136750
1,325333	0,5	-0,127950
1,333667	0,5	-0,151250
1,342000	0,5	-0,137450
1,350333	0,5	-0,139650
1,358667	0,5	-0,158250
1,367000	0,5	-0,166200
