File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/248.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	T24h_PASC_WT
Injection Number	16
Position	RB2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	27.04.2022
Injection Time	20:02:42
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-6,933750
Signal Max.	38,983601
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,088400
0,008667	0,5	-0,101100
0,017000	0,5	-0,099350
0,025333	0,5	-0,085850
0,033667	0,5	-0,066850
0,042000	0,5	-0,050600
0,050333	0,5	-0,064500
0,058667	0,5	-0,000100
0,067000	0,5	-0,040850
0,075333	0,5	-0,038800
0,083667	0,5	-0,036800
0,092000	0,5	-0,026600
0,100333	0,5	0,018900
0,108667	0,5	0,004450
0,117000	0,5	-0,000450
0,125333	0,5	-0,007400
0,133667	0,5	-0,005350
0,142000	0,5	-0,011600
0,150333	0,5	-0,007650
0,158667	0,5	-0,003100
0,167000	0,5	-0,007000
0,175333	0,5	-0,002200
0,183667	0,5	0,000000
0,192000	0,5	-0,032700
0,200333	0,5	-0,026500
0,208667	0,5	-0,000550
0,217000	0,5	-0,026050
0,225333	0,5	-0,038900
0,233667	0,5	-0,020450
0,242000	0,5	-0,009300
0,250333	0,5	0,038550
0,258667	0,5	0,003250
0,267000	0,5	-0,003700
0,275333	0,5	0,008600
0,283667	0,5	0,006750
0,292000	0,5	0,001650
0,300333	0,5	0,048350
0,308667	0,5	0,079650
0,317000	0,5	0,027750
0,325333	0,5	-0,012850
0,333667	0,5	-0,025900
0,342000	0,5	-0,028350
0,350333	0,5	-0,017050
0,358667	0,5	-0,008650
0,367000	0,5	-0,037950
0,375333	0,5	-0,033750
0,383667	0,5	-0,030400
0,392000	0,5	0,000000
0,400333	0,5	0,021000
0,408667	0,5	0,003400
0,417000	0,5	-0,017300
0,425333	0,5	-0,009200
0,433667	0,5	-0,022300
0,442000	0,5	-0,015000
0,450333	0,5	-0,013050
0,458667	0,5	-0,025900
0,467000	0,5	-0,026350
0,475333	0,5	-0,013950
0,483667	0,5	-0,014800
0,492000	0,5	-0,043900
0,500333	0,5	-0,020600
0,508667	0,5	-0,039250
0,517000	0,5	-0,049650
0,525333	0,5	-0,053400
