File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220427_Cell_Amandas_mutants.seq/156.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	Wash
Injection Number	10
Position	RA6
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_WashWith100B_1h_ED1
Type	Blank
Status	Finished
Injection Date	27.04.2022
Injection Time	16:19:00
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	75,000167
Data Points	9001
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-22,564100
Signal Max.	7,214450
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,001700
0,008500	0,5	0,004750
0,016833	0,5	-0,004900
0,025167	0,5	-0,005900
0,033500	0,5	0,004700
0,041833	0,5	0,005550
0,050167	0,5	0,003850
0,058500	0,5	0,003650
0,066833	0,5	0,003050
0,075167	0,5	0,012900
0,083500	0,5	0,004350
0,091833	0,5	0,007050
0,100167	0,5	0,000100
0,108500	0,5	0,002500
0,116833	0,5	-0,002350
0,125167	0,5	-0,002800
0,133500	0,5	0,004800
0,141833	0,5	0,008650
0,150167	0,5	-0,000250
0,158500	0,5	0,011650
0,166833	0,5	0,001250
0,175167	0,5	-0,000450
0,183500	0,5	-0,001500
0,191833	0,5	-0,000650
0,200167	0,5	0,012200
0,208500	0,5	0,021100
0,216833	0,5	0,012400
0,225167	0,5	0,004500
0,233500	0,5	0,007450
0,241833	0,5	-0,000700
0,250167	0,5	0,005850
0,258500	0,5	0,000900
0,266833	0,5	0,004900
0,275167	0,5	-0,001300
0,283500	0,5	0,004050
0,291833	0,5	0,007450
0,300167	0,5	0,020050
0,308500	0,5	0,009250
0,316833	0,5	0,002700
0,325167	0,5	0,018100
0,333500	0,5	-0,000200
0,341833	0,5	0,006300
0,350167	0,5	-0,000550
0,358500	0,5	0,006350
0,366833	0,5	0,013500
0,375167	0,5	0,021750
0,383500	0,5	0,009800
0,391833	0,5	0,012200
0,400167	0,5	0,018350
0,408500	0,5	0,020250
0,416833	0,5	0,013750
0,425167	0,5	0,012100
0,433500	0,5	0,012800
0,441833	0,5	0,010750
0,450167	0,5	0,007000
0,458500	0,5	0,008800
0,466833	0,5	0,007450
0,475167	0,5	0,001250
0,483500	0,5	0,009200
0,491833	0,5	0,017800
0,500167	0,5	0,002850
0,508500	0,5	0,005550
0,516833	0,5	0,005750
0,525167	0,5	0,013000
0,533500	0,5	0,030850
0,541833	0,5	0,028900
0,550167	0,5	0,023300
0,558500	0,5	0,018950
