File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/802.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_00.5h-EGS_1
Injection Number	116
Position	BB8
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	22:55:44
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,420300
Signal Max.	2 130,420932
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	0,003950
0,008500	0,5	-0,039100
0,016833	0,5	-0,034200
0,025167	0,5	-0,025950
0,033500	0,5	-0,002050
0,041833	0,5	0,010400
0,050167	0,5	0,022350
0,058500	0,5	0,012950
0,066833	0,5	0,016900
0,075167	0,5	0,005150
0,083500	0,5	0,017050
0,091833	0,5	0,011500
0,100167	0,5	0,016400
0,108500	0,5	-0,008200
0,116833	0,5	0,031950
0,125167	0,5	-0,009600
0,133500	0,5	-0,004950
0,141833	0,5	-0,012800
0,150167	0,5	0,011600
0,158500	0,5	0,044400
0,166833	0,5	0,044700
0,175167	0,5	0,032550
0,183500	0,5	0,041000
0,191833	0,5	0,032650
0,200167	0,5	0,029350
0,208500	0,5	0,023150
0,216833	0,5	0,014850
0,225167	0,5	0,018300
0,233500	0,5	0,012650
0,241833	0,5	0,017700
0,250167	0,5	-0,002150
0,258500	0,5	0,000450
0,266833	0,5	0,005150
0,275167	0,5	-0,016500
0,283500	0,5	-0,013650
0,291833	0,5	0,008550
0,300167	0,5	0,081150
0,308500	0,5	0,118950
0,316833	0,5	0,080450
