File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/353.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_00.5h-EGS_2
Injection Number	117
Position	BC1
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	14.06.2022
Injection Time	23:24:31
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,298200
Signal Max.	2 150,418282
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,015700
0,008500	0,5	-0,082700
0,016833	0,5	-0,086000
0,025167	0,5	-0,072600
0,033500	0,5	-0,055950
0,041833	0,5	-0,039300
0,050167	0,5	-0,053800
0,058500	0,5	-0,023900
0,066833	0,5	-0,044950
0,075167	0,5	-0,060800
0,083500	0,5	-0,053850
0,091833	0,5	-0,029000
0,100167	0,5	-0,008100
0,108500	0,5	0,005750
0,116833	0,5	-0,003750
0,125167	0,5	0,003650
0,133500	0,5	-0,001950
0,141833	0,5	-0,005000
0,150167	0,5	-0,009300
0,158500	0,5	-0,015550
0,166833	0,5	-0,015650
0,175167	0,5	-0,023700
0,183500	0,5	-0,017500
0,191833	0,5	-0,051250
0,200167	0,5	-0,046650
0,208500	0,5	-0,031000
0,216833	0,5	-0,039900
0,225167	0,5	-0,054350
0,233500	0,5	-0,046550
0,241833	0,5	-0,034500
0,250167	0,5	-0,007250
0,258500	0,5	-0,001700
0,266833	0,5	-0,003250
0,275167	0,5	-0,011950
0,283500	0,5	-0,007750
0,291833	0,5	-0,012800
0,300167	0,5	0,025600
0,308500	0,5	0,048650
0,316833	0,5	0,028150
0,325167	0,5	-0,016750
0,333500	0,5	-0,054450
0,341833	0,5	-0,075050
0,350167	0,5	-0,067000
0,358500	0,5	-0,058050
0,366833	0,5	-0,065600
0,375167	0,5	-0,069400
0,383500	0,5	-0,070350
0,391833	0,5	-0,041000
0,400167	0,5	-0,026200
0,408500	0,5	-0,014250
0,416833	0,5	-0,026800
0,425167	0,5	-0,024200
0,433500	0,5	-0,035250
0,441833	0,5	-0,030500
0,450167	0,5	-0,040350
0,458500	0,5	-0,038150
0,466833	0,5	-0,039300
0,475167	0,5	-0,044800
0,483500	0,5	-0,041450
0,491833	0,5	-0,058700
0,500167	0,5	-0,037900
0,508500	0,5	-0,042150
0,516833	0,5	-0,058200
0,525167	0,5	-0,059550
0,533500	0,5	-0,050250
0,541833	0,5	-0,015700
0,550167	0,5	-0,007950
0,558500	0,5	-0,025000
0,566833	0,5	-0,012750
0,575167	0,5	-0,022200
0,583500	0,5	-0,006250
0,591833	0,5	-0,019850
0,600167	0,5	-0,009350
0,608500	0,5	-0,019350
0,616833	0,5	-0,014550
0,625167	0,5	-0,015850
0,633500	0,5	-0,027250
0,641833	0,5	-0,039300
0,650167	0,5	0,004050
0,658500	0,5	-0,020700
0,666833	0,5	-0,027000
0,675167	0,5	-0,026100
0,683500	0,5	-0,014300
0,691833	0,5	0,025750
0,700167	0,5	0,016650
0,708500	0,5	0,016300
0,716833	0,5	0,011400
0,725167	0,5	0,024450
0,733500	0,5	0,017850
0,741833	0,5	0,025650
0,750167	0,5	0,013850
0,758500	0,5	0,016350
0,766833	0,5	0,015050
0,775167	0,5	0,032050
0,783500	0,5	0,019100
0,791833	0,5	0,019700
0,800167	0,5	0,042800
0,808500	0,5	0,021000
0,816833	0,5	0,014200
0,825167	0,5	0,021350
0,833500	0,5	0,030600
0,841833	0,5	0,071900
0,850167	0,5	0,062250
0,858500	0,5	0,057300
0,866833	0,5	0,057050
0,875167	0,5	0,060150
0,883500	0,5	0,061550
0,891833	0,5	0,064700
0,900167	0,5	0,067150
0,908500	0,5	0,061200
0,916833	0,5	0,063200
0,925167	0,5	0,067500
0,933500	0,5	0,073400
0,941833	0,5	0,067150
0,950167	0,5	0,086650
0,958500	0,5	0,056150
0,966833	0,5	0,060900
0,975167	0,5	0,061800
0,983500	0,5	0,091000
0,991833	0,5	0,115100
1,000167	0,5	0,109750
1,008500	0,5	0,105950
1,016833	0,5	0,109950
1,025167	0,5	0,107400
1,033500	0,5	0,107400
1,041833	0,5	0,100500
1,050167	0,5	0,098100
1,058500	0,5	0,099950
1,066833	0,5	0,100850
1,075167	0,5	0,103000
1,083500	0,5	0,095300
1,091833	0,5	0,118000
1,100167	0,5	0,104650
1,108500	0,5	0,087700
1,116833	0,5	0,085550
1,125167	0,5	0,100000
1,133500	0,5	0,123150
1,141833	0,5	0,149300
1,150167	0,5	0,132900
1,158500	0,5	0,142600
1,166833	0,5	0,129800
1,175167	0,5	0,137600
1,183500	0,5	0,131900
1,191833	0,5	0,135100
1,200167	0,5	0,126300
1,208500	0,5	0,128550
1,216833	0,5	0,127700
1,225167	0,5	0,112100
1,233500	0,5	0,115850
1,241833	0,5	0,127350
1,250167	0,5	0,115450
1,258500	0,5	0,106950
1,266833	0,5	0,113650
1,275167	0,5	0,129650
1,283500	0,5	0,159300
1,291833	0,5	0,160550
1,300167	0,5	0,163250
1,308500	0,5	0,152950
1,316833	0,5	0,160450
1,325167	0,5	0,146550
1,333500	0,5	0,157150
1,341833	0,5	0,143450
1,350167	0,5	0,144700
1,358500	0,5	0,141700
1,366833	0,5	0,148850
1,375167	0,5	0,137200
1,383500	0,5	0,154800
1,391833	0,5	0,152350
1,400167	0,5	0,136800
1,408500	0,5	0,130250
1,416833	0,5	0,136050
1,425167	0,5	0,158100
1,433500	0,5	0,170800
1,441833	0,5	0,175250
1,450167	0,5	0,164900
1,458500	0,5	0,171850
1,466833	0,5	0,170350
1,475167	0,5	0,175400
1,483500	0,5	0,162550
1,491833	0,5	0,166000
1,500167	0,5	0,158450
1,508500	0,5	0,167300
1,516833	0,5	0,158600
1,525167	0,5	0,151200
1,533500	0,5	0,167050
1,541833	0,5	0,161250
1,550167	0,5	0,148100
1,558500	0,5	0,175350
1,566833	0,5	0,286350
1,575167	0,5	0,649050
1,583500	0,5	1,450500
1,591833	0,5	4,461800
1,600167	0,5	20,879750
1,608500	0,5	92,988601
1,616833	0,5	347,720805
1,625167	0,5	1 022,283515
1,633500	0,5	1 553,224623
1,641833	0,5	2 150,418282
1,650167	0,5	2 031,205980
1,658500	0,5	1 986,811130
1,666833	0,5	1 979,194929
1,675167	0,5	1 967,484179
1,683500	0,5	1 778,924627
1,691833	0,5	1 389,333871
1,700167	0,5	985,762115
1,708500	0,5	700,801310
1,716833	0,5	524,741058
1,725167	0,5	419,205956
1,733500	0,5	347,833055
1,741833	0,5	294,739654
1,750167	0,5	252,724604
1,758500	0,5	219,498403
1,766833	0,5	192,478253
1,775167	0,5	169,452103
