File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/233.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_00h-EGS_1
Injection Number	127
Position	BD2
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	04:10:31
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000167
Time Max. (min)	26,000167
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,378100
Signal Max.	2 097,790681
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000167	n.a.	-0,084800
0,008500	0,5	-0,079950
0,016833	0,5	-0,070150
0,025167	0,5	-0,051350
0,033500	0,5	-0,022700
0,041833	0,5	-0,027600
0,050167	0,5	-0,002650
0,058500	0,5	-0,029350
0,066833	0,5	-0,051650
0,075167	0,5	-0,038700
0,083500	0,5	-0,026050
0,091833	0,5	0,003700
0,100167	0,5	0,009300
0,108500	0,5	-0,007000
0,116833	0,5	-0,003400
0,125167	0,5	-0,014650
0,133500	0,5	-0,006600
0,141833	0,5	-0,011750
0,150167	0,5	-0,010600
0,158500	0,5	-0,024300
0,166833	0,5	-0,018000
0,175167	0,5	-0,019700
0,183500	0,5	-0,034450
0,191833	0,5	-0,038100
0,200167	0,5	-0,006800
0,208500	0,5	-0,042650
0,216833	0,5	-0,050950
0,225167	0,5	-0,042050
0,233500	0,5	-0,032200
0,241833	0,5	-0,004650
0,250167	0,5	-0,024900
0,258500	0,5	-0,020150
0,266833	0,5	-0,016950
0,275167	0,5	-0,013550
0,283500	0,5	-0,012250
0,291833	0,5	0,029550
0,300167	0,5	0,037450
0,308500	0,5	0,009600
0,316833	0,5	-0,036100
0,325167	0,5	-0,061950
0,333500	0,5	-0,081500
0,341833	0,5	-0,065900
0,350167	0,5	-0,056100
0,358500	0,5	-0,064950
0,366833	0,5	-0,072200
0,375167	0,5	-0,060050
0,383500	0,5	-0,041800
0,391833	0,5	-0,016950
0,400167	0,5	-0,030500
0,408500	0,5	-0,034650
0,416833	0,5	-0,038400
0,425167	0,5	-0,042950
0,433500	0,5	-0,044850
