File Path	chrom://chromeleon01/ikbm_chromeleon/2022/ICS-5000/ED1/Esteban/20220612_Cell_7_4_eg.seq/441.smp/ED_1.channel/ED_1.chm
Channel	ED_1

Injection Information:
Data Vault	ikbm_chromeleon
Injection	4_00h-EGS_NA
Injection Number	130
Position	BD5
Comment	
Processing Method	Stop sequence after Cell Death
Instrument Method	ICS5000_PA200_FullNative_Ox_26min_ED1
Type	Unknown
Status	Finished
Injection Date	15.06.2022
Injection Time	05:36:55
Injection Volume (µl)	5,0
Dilution Factor	1,0000
Weight	1,0000

Chromatogram Data Information:
Time Min. (min)	0,000333
Time Max. (min)	26,000333
Data Points	3121
Detector	EDet1
Generating Data System	Chromeleon 7.2.9.11323
Exporting Data System	Chromeleon 7.2.9.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	nC
Signal Min.	-2,760550
Signal Max.	2 221,216283
Channel	ED_1
Driver Name	DC-5000
Channel Type	Evaluation
Min. Step (s)	0,5
Max. Step (s)	0,5
Average Step (s)	0,5

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (nC)
0,000333	n.a.	-0,060450
0,008667	0,5	-0,065550
0,017000	0,5	-0,047350
0,025333	0,5	-0,045350
0,033667	0,5	-0,050650
0,042000	0,5	-0,042400
0,050333	0,5	-0,039800
0,058667	0,5	0,004550
0,067000	0,5	-0,004600
0,075333	0,5	0,006850
0,083667	0,5	-0,006150
0,092000	0,5	0,003200
0,100333	0,5	-0,007900
0,108667	0,5	-0,005500
0,117000	0,5	-0,015300
0,125333	0,5	-0,014600
0,133667	0,5	-0,019400
0,142000	0,5	-0,025500
0,150333	0,5	-0,022600
0,158667	0,5	-0,027550
0,167000	0,5	-0,000300
0,175333	0,5	-0,026000
0,183667	0,5	-0,042950
0,192000	0,5	-0,045400
0,200333	0,5	-0,037850
0,208667	0,5	-0,006350
0,217000	0,5	-0,008850
0,225333	0,5	-0,021000
0,233667	0,5	-0,012600
0,242000	0,5	-0,025300
0,250333	0,5	-0,018200
0,258667	0,5	-0,033850
0,267000	0,5	-0,031900
0,275333	0,5	-0,040250
0,283667	0,5	-0,023950
0,292000	0,5	0,016500
0,300333	0,5	0,044500
0,308667	0,5	0,009400
0,317000	0,5	-0,004300
0,325333	0,5	-0,067050
0,333667	0,5	-0,079150
0,342000	0,5	-0,080050
0,350333	0,5	-0,064200
0,358667	0,5	-0,031700
0,367000	0,5	-0,038900
0,375333	0,5	-0,040600
0,383667	0,5	-0,042450
0,392000	0,5	-0,038100
0,400333	0,5	-0,039750
0,408667	0,5	-0,028650
0,417000	0,5	-0,042400
0,425333	0,5	-0,037800
0,433667	0,5	-0,048000
0,442000	0,5	-0,039700
0,450333	0,5	-0,063750
0,458667	0,5	-0,046150
0,467000	0,5	-0,033250
0,475333	0,5	-0,058650
0,483667	0,5	-0,059000
